Player,totals.Pos,totals.Age,totals.Tm,totals.G,totals.GS,totals.MP,totals.FG,totals.FGA,totals.FG.,totals.3P,totals.3PA,totals.3P.,totals.2P,totals.2PA,totals.2P.,totals.FT,totals.FTA,totals.FT.,totals.ORB,totals.DRB,totals.TRB,totals.AST,totals.STL,totals.BLK,totals.TOV,totals.PF,totals.PTS,advanced.PER,advanced.TS.,advanced.eFG.,advanced.FTr,advanced.3PAr,advanced.ORB.,advanced.DRB.,advanced.TRB.,advanced.AST.,advanced.STL.,advanced.BLK.,advanced.TOV.,advanced.USG.,advanced.ORtg,advanced.DRtg,advanced.OWS,advanced.DWS,advanced.WS,advanced.WS48,Pts.Won,Salary
Deron Williams,PG,25,UTA,76,76,2802,494,1053,0.469,96,259,0.371,398,794,0.501,335,418,0.801,50,253,303,798,96,16,252,208,1419,20.6,0.574,0.515,0.397,0.246,2.2,10.4,6.4,44.5,1.8,0.5,16.9,23.8,116,107,7.4,3,10.3,0.177,0.002188868,0.005863974
Dirk Nowitzki,PF,31,DAL,81,80,3039,720,1496,0.481,51,121,0.421,669,1375,0.487,536,586,0.915,80,540,620,218,70,79,149,208,2027,22.9,0.578,0.498,0.392,0.081,3.1,20.1,11.7,13,1.2,2,7.8,28.8,116,105,8.4,3.9,12.3,0.194,0.017198249,0.009419222
Dwight Howard,C,24,ORL,82,82,2843,510,834,0.612,0,7,0,510,827,0.617,483,816,0.592,284,798,1082,144,75,228,274,287,1503,24,0.63,0.612,0.978,0.008,12,31.3,22,8.7,1.4,6,18.7,23.9,113,95,6.1,7.1,13.2,0.223,0.149468418,0.007233716
Dwyane Wade,SG,28,MIA,77,77,2792,719,1511,0.476,73,243,0.3,646,1268,0.509,534,702,0.761,107,266,373,501,142,82,252,181,2045,28,0.562,0.5,0.465,0.161,4.5,11.1,7.8,36.4,2.7,2.4,12.2,34.9,113,103,8.5,4.6,13,0.224,0.037210757,0.007508418
Joe Johnson,SG,28,ATL,76,76,2886,635,1386,0.458,129,350,0.369,506,1036,0.488,220,269,0.818,74,279,353,369,82,5,145,145,1619,19.3,0.538,0.505,0.194,0.253,3,11.4,7.1,22,1.5,0.1,8.8,26.3,112,109,6,2.4,8.4,0.14,0.000312695,0.007126258
Kevin Durant,SF,21,OKC,82,82,3239,794,1668,0.476,128,351,0.365,666,1317,0.506,756,840,0.9,105,518,623,231,112,84,271,171,2472,26.2,0.607,0.514,0.504,0.21,3.8,17.9,11,13.5,1.8,1.9,11.7,32,118,104,11.1,5,16.1,0.238,0.19043152,0.002282458
Kobe Bryant,SG,31,LAL,73,73,2835,716,1569,0.456,99,301,0.329,617,1268,0.487,439,541,0.811,78,313,391,365,113,20,233,187,1970,21.9,0.545,0.488,0.345,0.192,3.1,12.2,7.7,23.8,2.1,0.5,11.4,32.3,109,104,5.4,4,9.4,0.16,0.187304565,0.01096025
LeBron James,SF,25,CLE,76,76,2966,768,1528,0.503,129,387,0.333,639,1141,0.56,593,773,0.767,71,483,554,651,125,77,261,119,2258,31.1,0.604,0.545,0.506,0.253,3,18.5,11.1,41.8,2.2,2,12.3,33.5,121,102,13.3,5.2,18.5,0.299,0.376797999,0.007508418
Manu Ginobili,SG,32,SAS,75,21,2150,398,903,0.441,132,350,0.377,266,553,0.481,309,355,0.87,68,216,284,370,103,24,154,154,1237,22.5,0.584,0.514,0.393,0.388,3.8,11.6,7.7,28.2,2.5,0.8,12.7,25.8,118,104,6.5,3.2,9.7,0.216,0.000938086,0.005104673
Stephen Jackson,SG,31,TOT,81,81,3129,600,1418,0.423,129,393,0.328,471,1025,0.46,338,434,0.779,78,323,401,300,132,43,259,197,1667,15.6,0.518,0.469,0.306,0.277,3,12.2,7.7,17.7,2.2,1.1,13.9,27.5,100,104,0.5,4.6,5,0.077,0.000312695,0.003640033
Steve Nash,PG,35,PHO,81,81,2660,499,985,0.507,124,291,0.426,375,694,0.54,211,225,0.938,34,234,268,892,42,12,295,108,1333,21.6,0.615,0.57,0.228,0.295,1.5,9.4,5.7,50.9,0.8,0.3,21.4,22.9,121,114,9.1,0.8,9.9,0.178,0.015322076,0.006245155
Amar'e Stoudemire,C,28,NYK,78,78,2870,744,1482,0.502,10,23,0.435,734,1459,0.503,473,597,0.792,198,438,636,202,71,150,250,274,1971,22.7,0.565,0.505,0.403,0.016,7.8,17.6,12.7,13.2,1.2,3.8,12.5,30.9,109,108,5.4,2.6,8,0.134,0.002860776,0.008187119
Blake Griffin,PF,21,LAC,82,82,3112,696,1376,0.506,7,24,0.292,689,1352,0.51,446,695,0.642,270,719,989,312,63,45,223,252,1845,21.9,0.549,0.508,0.505,0.017,10.2,26.9,18.6,18.7,1,1.1,11.7,27.3,111,107,6.5,3.4,9.8,0.152,0.00158932,0.002660382
Chris Paul,PG,25,NOH,80,80,2880,430,928,0.463,71,183,0.388,359,745,0.482,337,384,0.878,38,289,327,782,188,5,177,196,1268,23.7,0.578,0.502,0.414,0.197,1.6,12.3,6.9,45.8,3.5,0.1,13.9,21.1,122,103,9.5,4.4,13.9,0.232,0.000635728,0.007419161
Derrick Rose,PG,22,CHI,81,81,3026,711,1597,0.445,128,385,0.332,583,1212,0.481,476,555,0.858,81,249,330,623,85,51,278,136,2026,23.5,0.55,0.485,0.348,0.241,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,113,103,8.3,4.8,13.1,0.208,0.375715194,0.002754179
Dirk Nowitzki,PF,32,DAL,73,73,2504,610,1179,0.517,66,168,0.393,544,1011,0.538,395,443,0.892,50,463,513,190,38,47,137,172,1681,23.4,0.612,0.545,0.376,0.142,2.4,20.8,12,14.2,0.8,1.4,9.1,28.2,118,105,7.8,3.3,11.1,0.213,0.035918627,0.008580424
Dwight Howard,C,25,ORL,78,78,2935,619,1044,0.593,0,7,0,619,1037,0.597,546,916,0.596,309,789,1098,107,107,186,279,258,1784,26.1,0.616,0.593,0.877,0.007,12.6,30.6,21.8,6.8,1.9,4.9,16.2,27.2,113,94,6.7,7.7,14.4,0.235,0.204386523,0.008266857
Dwyane Wade,SG,29,MIA,76,76,2823,692,1384,0.5,63,206,0.306,629,1178,0.534,494,652,0.758,123,362,485,346,111,87,237,197,1941,25.6,0.581,0.523,0.471,0.149,5.5,14.4,10.2,23.5,2.1,2.4,12.4,31.6,114,102,8.1,4.7,12.8,0.218,0.007628735,0.007051607
Kevin Durant,SF,22,OKC,78,78,3038,711,1538,0.462,145,414,0.35,566,1124,0.504,594,675,0.88,57,476,533,214,88,76,218,159,2161,23.6,0.589,0.509,0.439,0.269,2.3,17.7,10.3,13.2,1.5,1.8,10.6,30.6,115,107,8.6,3.3,12,0.189,0.060394151,0.003006201
Kobe Bryant,SG,32,LAL,82,82,2779,740,1639,0.451,115,356,0.323,625,1283,0.487,483,583,0.828,83,336,419,388,99,12,243,172,2078,23.9,0.548,0.487,0.356,0.217,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,111,105,6.8,3.5,10.3,0.178,0.136045772,0.01231859
LeBron James,SF,26,MIA,79,79,3063,758,1485,0.51,92,279,0.33,666,1206,0.552,503,663,0.759,80,510,590,554,124,50,284,163,2111,27.3,0.594,0.541,0.446,0.188,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,116,102,10.3,5.3,15.6,0.244,0.165924984,0.007200584
Manu Ginobili,SG,33,SAS,80,79,2426,441,1018,0.433,154,441,0.349,287,577,0.497,357,410,0.871,42,253,295,393,123,28,174,163,1393,21.7,0.581,0.509,0.403,0.433,2.1,11.8,7.1,26.4,2.6,0.8,12.7,26,116,105,6.6,3.2,9.9,0.195,0.006357279,0.005886892
Rajon Rondo,PG,24,BOS,68,68,2527,318,670,0.475,10,43,0.233,308,627,0.491,75,132,0.568,87,210,297,760,153,11,234,120,721,17.1,0.495,0.482,0.197,0.064,4.5,9.7,7.2,47.1,3.2,0.3,24.3,18.3,104,100,1.8,4.8,6.6,0.126,0.00158932,0.004514474
Tony Parker,PG,28,SAS,78,78,2528,555,1069,0.519,25,70,0.357,530,999,0.531,233,303,0.769,30,208,238,513,90,3,200,135,1368,20.4,0.569,0.531,0.283,0.065,1.4,9.3,5.5,35.2,1.9,0.1,14.3,25.5,113,108,5.8,2.4,8.2,0.156,0.000953592,0.006703992
