Player,totals.Pos,totals.Age,totals.Tm,totals.G,totals.GS,totals.MP,totals.FG,totals.FGA,totals.FG.,totals.3P,totals.3PA,totals.3P.,totals.2P,totals.2PA,totals.2P.,totals.FT,totals.FTA,totals.FT.,totals.ORB,totals.DRB,totals.TRB,totals.AST,totals.STL,totals.BLK,totals.TOV,totals.PF,totals.PTS,advanced.PER,advanced.TS.,advanced.eFG.,advanced.FTr,advanced.3PAr,advanced.ORB.,advanced.DRB.,advanced.TRB.,advanced.AST.,advanced.STL.,advanced.BLK.,advanced.TOV.,advanced.USG.,advanced.ORtg,advanced.DRtg,advanced.OWS,advanced.DWS,advanced.WS,advanced.WS48,Pts.Won,Salary
Tracy McGrady,SG,28,HOU,66,62,2440,548,1307,0.419,86,295,0.292,462,1012,0.457,245,358,0.684,42,297,339,387,68,30,160,91,1427,18.4,0.487,0.452,0.274,0.226,2,13.5,7.8,29.6,1.5,0.9,9.8,30.4,104,103,2,3.8,5.8,0.115,0.005799756,0.009249889
Brandon Roy,SG,24,POR,78,78,2903,633,1318,0.48,83,220,0.377,550,1098,0.501,416,505,0.824,104,266,370,400,88,22,152,127,1765,24,0.573,0.512,0.383,0.167,4.4,11.6,7.9,25.4,1.7,0.6,9,27.4,123,109,10.9,2.6,13.5,0.223,0.002225048,0.001434559
Chauncey Billups,PG,32,TOT,79,79,2789,410,980,0.418,162,397,0.408,248,583,0.425,418,458,0.913,32,207,239,506,93,18,177,161,1400,18.8,0.592,0.501,0.467,0.405,1.4,8.4,5,28.9,1.7,0.5,13,21.7,121,110,7.9,2.2,10.1,0.174,0.01048951,0.00513964
Chris Paul,PG,23,NOH,78,78,3002,631,1255,0.503,64,176,0.364,567,1079,0.525,455,524,0.868,69,363,432,861,216,10,231,212,1781,30,0.599,0.528,0.418,0.14,2.8,14.6,8.7,54.5,3.9,0.3,13.5,27.5,124,103,13.3,5,18.3,0.292,0.061029879,0.002127573
Dirk Nowitzki,PF,30,DAL,81,81,3050,774,1616,0.479,61,170,0.359,713,1446,0.493,485,545,0.89,88,593,681,197,61,63,157,176,2094,23.1,0.564,0.498,0.337,0.105,3.3,22.1,12.8,12.1,1,1.5,7.8,30.3,114,108,7.5,3.4,10.9,0.171,0.000953592,0.008408499
Dwight Howard,C,23,ORL,79,79,2821,560,979,0.572,0,2,0,560,977,0.573,504,849,0.594,336,757,1093,112,77,231,240,270,1624,25.4,0.6,0.572,0.867,0.002,13.8,29.5,21.8,7.3,1.4,5.9,15.1,26.1,113,95,6.2,7.6,13.8,0.234,0.104259377,0.0063992
Dwyane Wade,SG,27,MIA,79,79,3048,854,1739,0.491,88,278,0.317,766,1461,0.524,590,771,0.765,89,309,398,589,173,106,272,178,2386,30.4,0.574,0.516,0.443,0.16,3.5,12.2,7.8,40.3,3,2.8,11.6,36.2,115,105,10.3,4.4,14.7,0.232,0.216147489,0.006702732
Kobe Bryant,SG,30,LAL,82,82,2960,800,1712,0.467,118,336,0.351,682,1376,0.496,483,564,0.856,90,339,429,399,120,37,210,189,2201,24.4,0.561,0.502,0.329,0.196,3.5,12.8,8.2,23.8,2.1,1,9.7,32.2,115,106,8.6,4,12.7,0.206,0.22186904,0.009889736
LeBron James,SF,24,CLE,81,81,3054,789,1613,0.489,132,384,0.344,657,1229,0.535,594,762,0.78,106,507,613,587,137,93,241,139,2304,31.7,0.591,0.53,0.472,0.238,4.3,19,11.9,38,2.4,2.4,11,33.8,122,99,13.7,6.5,20.3,0.318,0.372536554,0.006702732
Paul Pierce,SF,31,BOS,81,81,3035,540,1181,0.457,119,304,0.391,421,877,0.48,459,553,0.83,56,401,457,294,80,27,228,215,1658,17.7,0.582,0.508,0.468,0.257,2.4,15.4,9.2,16.3,1.4,0.7,13.8,25.4,112,104,5.5,4.8,10.3,0.164,0.006675143,0.008408499
Tim Duncan,C,32,SAS,75,75,2524,558,1107,0.504,0,2,0,558,1105,0.505,334,483,0.692,201,599,800,264,38,126,165,173,1450,24.4,0.549,0.504,0.436,0.002,9.6,27.9,18.9,19.3,0.8,3.7,11.1,28.5,111,100,5,5,10.1,0.191,0.000635728,0.009580988
Tony Parker,PG,26,SAS,72,71,2456,639,1263,0.506,19,65,0.292,620,1198,0.518,284,363,0.782,27,196,223,496,67,4,186,110,1581,23.4,0.556,0.513,0.287,0.051,1.3,9.4,5.4,40.1,1.5,0.1,11.6,31.7,112,107,5.6,3,8.6,0.168,0.002860776,0.005372202
Yao Ming,C,28,HOU,77,77,2589,566,1032,0.548,1,1,1,565,1031,0.548,381,440,0.866,204,557,761,137,30,150,234,257,1514,22.7,0.618,0.549,0.426,0.001,9.6,24.1,17.1,10,0.6,4.2,16,26.2,114,101,5.6,5,10.6,0.196,0.000317864,0.007009701
Amar'e Stoudemire,PF,27,PHO,82,82,2838,704,1264,0.557,1,6,0.167,703,1258,0.559,487,632,0.771,230,502,732,82,52,83,213,281,1896,22.6,0.615,0.557,0.5,0.005,9.7,18.9,14.5,4.8,0.9,2.1,12.1,27.3,117,109,8.2,2.5,10.7,0.181,0.001563477,0.007793156
Carmelo Anthony,SF,25,DEN,69,69,2634,688,1502,0.458,59,187,0.316,629,1315,0.478,508,612,0.83,152,302,454,222,88,30,209,225,1943,22.2,0.548,0.478,0.407,0.125,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,110,109,5.6,2.4,7.9,0.145,0.020325203,0.007508418
Chauncey Billups,PG,33,DEN,73,73,2490,402,962,0.418,157,407,0.386,245,555,0.441,466,512,0.91,25,203,228,409,82,9,177,153,1427,20.2,0.601,0.499,0.532,0.423,1.2,9.3,5.3,26.1,1.7,0.3,13,24.3,120,110,7.7,1.7,9.5,0.182,0.000312695,0.005757438
Chris Bosh,C,25,TOR,70,70,2526,600,1158,0.518,8,22,0.364,592,1136,0.521,470,590,0.797,205,554,759,166,43,68,169,170,1678,25,0.592,0.522,0.509,0.019,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,117,111,7.9,1.7,9.6,0.182,0.000312695,0.007508418
