"","X","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1342",134,"Dirk Nowitzki",302,"PF",29,"DAL",77,77,2769,630,1314,0.479,79,220,0.359,551,1094,0.504,478,544,0.879,95,564,659,266,51,71,160,198,1817,24.6,0.585,0.51,0.414,0.167,4.1,22.8,13.8,17.8,1,1.9,9.3,28.8,118,104,8.9,4,12.9,0.223,0,25
"140",140,"Dwight Howard",192,"C",22,"ORL",82,82,3088,583,974,0.599,0,4,0,583,970,0.601,529,897,0.59,279,882,1161,110,74,176,263,274,1695,22.9,0.619,0.599,0.921,0.004,10.9,31.6,21.7,6.1,1.2,4.2,16.1,24.2,113,99,6.4,6.4,12.9,0.2,0,19
"2451",245,"Kevin Garnett",144,"PF",31,"BOS",71,71,2328,534,990,0.539,0,11,0,534,979,0.545,269,336,0.801,135,520,655,244,100,89,138,163,1337,25.3,0.588,0.539,0.339,0.011,7.3,25.1,16.8,19.9,2.3,3.1,10.8,25.5,118,94,6.6,6.2,12.9,0.265,0,18
"2512",251,"Kobe Bryant",66,"SG",29,"LAL",82,82,3192,775,1690,0.459,150,415,0.361,625,1275,0.49,623,742,0.84,94,423,517,441,151,40,257,227,2323,24.2,0.576,0.503,0.439,0.246,3.4,14.1,9,23.9,2.4,0.9,11.3,31.4,115,105,9.5,4.3,13.8,0.208,0,9
"264",264,"LeBron James",211,"SF",23,"CLE",75,74,3027,794,1642,0.484,113,359,0.315,681,1283,0.531,549,771,0.712,133,459,592,539,138,81,255,165,2250,29.1,0.568,0.518,0.47,0.219,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,116,104,10.7,4.6,15.2,0.242,0,5
"282",282,"Manu Ginobili",152,"SG",30,"SAS",74,23,2299,453,984,0.46,156,389,0.401,297,595,0.499,380,442,0.86,63,291,354,332,109,33,200,173,1442,24.3,0.612,0.54,0.449,0.395,3.3,14.7,9.1,26.4,2.6,1.1,14.5,28.7,116,100,6.6,4.5,11.1,0.232,0,4
"3411",341,"Paul Pierce",328,"SF",30,"BOS",80,80,2874,509,1098,0.464,143,365,0.392,366,733,0.499,409,485,0.843,53,358,411,363,101,36,221,200,1570,19.6,0.599,0.529,0.442,0.332,2.3,14,8.5,21.8,1.9,1,14.4,24.8,115,100,6.7,5.7,12.4,0.207,0,3
"356",356,"Rasheed Wallace",415,"C",33,"DET",77,76,2346,376,870,0.432,112,315,0.356,264,555,0.476,115,150,0.767,84,427,511,137,91,129,86,213,979,17.2,0.523,0.497,0.172,0.362,4.3,21.8,13,9.7,2.1,4.3,8.4,20.5,108,98,2.5,5.1,7.6,0.155,0,1
"410",410,"Steve Nash",293,"PG",33,"PHO",81,81,2780,485,962,0.504,179,381,0.47,306,581,0.527,222,245,0.906,28,254,282,898,53,5,295,113,1371,21.1,0.641,0.597,0.255,0.396,1.2,9.6,5.7,47.3,0.9,0.1,21.6,22,121,112,9,1.4,10.5,0.181,0,1
"4221",422,"Tim Duncan",118,"C",31,"SAS",78,78,2651,585,1178,0.497,0,4,0,585,1174,0.498,338,463,0.73,237,644,881,218,56,152,178,185,1508,24.4,0.546,0.497,0.393,0.003,10.7,28.3,19.6,15.7,1.1,4.3,11.4,28.2,110,97,4.9,6.2,11.1,0.201,0,1
"426",426,"Tracy McGrady",270,"SG",28,"HOU",66,62,2440,548,1307,0.419,86,295,0.292,462,1012,0.457,245,358,0.684,42,297,339,387,68,30,160,91,1427,18.4,0.487,0.452,0.274,0.226,2,13.5,7.8,29.6,1.5,0.9,9.8,30.4,104,103,2,3.8,5.8,0.115,0,1
"53",53,"Brandon Roy",351,"SG",24,"POR",78,78,2903,633,1318,0.48,83,220,0.377,550,1098,0.501,416,505,0.824,104,266,370,400,88,22,152,127,1765,24,0.573,0.512,0.383,0.167,4.4,11.6,7.9,25.4,1.7,0.6,9,27.4,123,109,10.9,2.6,13.5,0.223,109,1172
"761",76,"Chauncey Billups",45,"PG",32,"TOT",79,79,2789,410,980,0.418,162,397,0.408,248,583,0.425,418,458,0.913,32,207,239,506,93,18,177,161,1400,18.8,0.592,0.501,0.467,0.405,1.4,8.4,5,28.9,1.7,0.5,13,21.7,121,110,7.9,2.2,10.1,0.174,2,698
"841",84,"Chris Paul",317,"PG",23,"NOH",78,78,3002,631,1255,0.503,64,176,0.364,567,1079,0.525,455,524,0.868,69,363,432,861,216,10,231,212,1781,30,0.599,0.528,0.418,0.14,2.8,14.6,8.7,54.5,3.9,0.3,13.5,27.5,124,103,13.3,5,18.3,0.292,7,680
"1291",129,"Dirk Nowitzki",303,"PF",30,"DAL",81,81,3050,774,1616,0.479,61,170,0.359,713,1446,0.493,485,545,0.89,88,593,681,197,61,63,157,176,2094,23.1,0.564,0.498,0.337,0.105,3.3,22.1,12.8,12.1,1,1.5,7.8,30.3,114,108,7.5,3.4,10.9,0.171,1,328
"1371",137,"Dwight Howard",191,"C",23,"ORL",79,79,2821,560,979,0.572,0,2,0,560,977,0.573,504,849,0.594,336,757,1093,112,77,231,240,270,1624,25.4,0.6,0.572,0.867,0.002,13.8,29.5,21.8,7.3,1.4,5.9,15.1,26.1,113,95,6.2,7.6,13.8,0.234,2,192
"138",138,"Dwyane Wade",406,"SG",27,"MIA",79,79,3048,854,1739,0.491,88,278,0.317,766,1461,0.524,590,771,0.765,89,309,398,589,173,106,272,178,2386,30.4,0.574,0.516,0.443,0.16,3.5,12.2,7.8,40.3,3,2.8,11.6,36.2,115,105,10.3,4.4,14.7,0.232,0,33
"2433",243,"Kobe Bryant",68,"SG",30,"LAL",82,82,2960,800,1712,0.467,118,336,0.351,682,1376,0.496,483,564,0.856,90,339,429,399,120,37,210,189,2201,24.4,0.561,0.502,0.329,0.196,3.5,12.8,8.2,23.8,2.1,1,9.7,32.2,115,106,8.6,4,12.7,0.206,0,21
"256",256,"LeBron James",208,"SF",24,"CLE",81,81,3054,789,1613,0.489,132,384,0.344,657,1229,0.535,594,762,0.78,106,507,613,587,137,93,241,139,2304,31.7,0.591,0.53,0.472,0.238,4.3,19,11.9,38,2.4,2.4,11,33.8,122,99,13.7,6.5,20.3,0.318,0,9
"332",332,"Paul Pierce",323,"SF",31,"BOS",81,81,3035,540,1181,0.457,119,304,0.391,421,877,0.48,459,553,0.83,56,401,457,294,80,27,228,215,1658,17.7,0.582,0.508,0.468,0.257,2.4,15.4,9.2,16.3,1.4,0.7,13.8,25.4,112,104,5.5,4.8,10.3,0.164,0,7
"4131",413,"Tim Duncan",120,"C",32,"SAS",75,75,2524,558,1107,0.504,0,2,0,558,1105,0.505,334,483,0.692,201,599,800,264,38,126,165,173,1450,24.4,0.549,0.504,0.436,0.002,9.6,27.9,18.9,19.3,0.8,3.7,11.1,28.5,111,100,5,5,10.1,0.191,0,2
"417",417,"Tony Parker",316,"PG",26,"SAS",72,71,2456,639,1263,0.506,19,65,0.292,620,1198,0.518,284,363,0.782,27,196,223,496,67,4,186,110,1581,23.4,0.556,0.513,0.287,0.051,1.3,9.4,5.4,40.1,1.5,0.1,11.6,31.7,112,107,5.6,3,8.6,0.168,0,3
"440",440,"Yao Ming",283,"C",28,"HOU",77,77,2589,566,1032,0.548,1,1,1,565,1031,0.548,381,440,0.866,204,557,761,137,30,150,234,257,1514,22.7,0.618,0.549,0.426,0.001,9.6,24.1,17.1,10,0.6,4.2,16,26.2,114,101,5.6,5,10.6,0.196,0,1
"141",14,"Amar'e Stoudemire",377,"PF",27,"PHO",82,82,2838,704,1264,0.557,1,6,0.167,703,1258,0.559,487,632,0.771,230,502,732,82,52,83,213,281,1896,22.6,0.615,0.557,0.5,0.005,9.7,18.9,14.5,4.8,0.9,2.1,12.1,27.3,117,109,8.2,2.5,10.7,0.181,116,1205
"64",64,"Carmelo Anthony",14,"SF",25,"DEN",69,69,2634,688,1502,0.458,59,187,0.316,629,1315,0.478,508,612,0.83,152,302,454,222,88,30,209,225,1943,22.2,0.548,0.478,0.407,0.125,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,110,109,5.6,2.4,7.9,0.145,4,609
"722",72,"Chauncey Billups",45,"PG",33,"DEN",73,73,2490,402,962,0.418,157,407,0.386,245,555,0.441,466,512,0.91,25,203,228,409,82,9,177,153,1427,20.2,0.601,0.499,0.532,0.423,1.2,9.3,5.3,26.1,1.7,0.3,13,24.3,120,110,7.7,1.7,9.5,0.182,0,599
"741",74,"Chris Bosh",54,"C",25,"TOR",70,70,2526,600,1158,0.518,8,22,0.364,592,1136,0.521,470,590,0.797,205,554,759,166,43,68,169,170,1678,25,0.592,0.522,0.509,0.019,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,117,111,7.9,1.7,9.6,0.182,3,478
"1164",116,"Deron Williams",425,"PG",25,"UTA",76,76,2802,494,1053,0.469,96,259,0.371,398,794,0.501,335,418,0.801,50,253,303,798,96,16,252,208,1419,20.6,0.574,0.515,0.397,0.246,2.2,10.4,6.4,44.5,1.8,0.5,16.9,23.8,116,107,7.4,3,10.3,0.177,0,119
"1262",126,"Dirk Nowitzki",309,"PF",31,"DAL",81,80,3039,720,1496,0.481,51,121,0.421,669,1375,0.487,536,586,0.915,80,540,620,218,70,79,149,208,2027,22.9,0.578,0.498,0.392,0.081,3.1,20.1,11.7,13,1.2,2,7.8,28.8,116,105,8.4,3.9,12.3,0.194,0,65
"1321",132,"Dwight Howard",201,"C",24,"ORL",82,82,2843,510,834,0.612,0,7,0,510,827,0.617,483,816,0.592,284,798,1082,144,75,228,274,287,1503,24,0.63,0.612,0.978,0.008,12,31.3,22,8.7,1.4,6,18.7,23.9,113,95,6.1,7.1,13.2,0.223,0,55
"133",133,"Dwyane Wade",405,"SG",28,"MIA",77,77,2792,719,1511,0.476,73,243,0.3,646,1268,0.509,534,702,0.761,107,266,373,501,142,82,252,181,2045,28,0.562,0.5,0.465,0.161,4.5,11.1,7.8,36.4,2.7,2.4,12.2,34.9,113,103,8.5,4.6,13,0.224,0,49
"2112",211,"Joe Johnson",236,"SG",28,"ATL",76,76,2886,635,1386,0.458,129,350,0.369,506,1036,0.488,220,269,0.818,74,279,353,369,82,5,145,145,1619,19.3,0.538,0.505,0.194,0.253,3,11.4,7.1,22,1.5,0.1,8.8,26.3,112,109,6,2.4,8.4,0.14,0,7
"2411",241,"Kevin Durant",125,"SF",21,"OKC",82,82,3239,794,1668,0.476,128,351,0.365,666,1317,0.506,756,840,0.9,105,518,623,231,112,84,271,171,2472,26.2,0.607,0.514,0.504,0.21,3.8,17.9,11,13.5,1.8,1.9,11.7,32,118,104,11.1,5,16.1,0.238,0,5
"2482",248,"Kobe Bryant",68,"SG",31,"LAL",73,73,2835,716,1569,0.456,99,301,0.329,617,1268,0.487,439,541,0.811,78,313,391,365,113,20,233,187,1970,21.9,0.545,0.488,0.345,0.192,3.1,12.2,7.7,23.8,2.1,0.5,11.4,32.3,109,104,5.4,4,9.4,0.16,0,3
"2611",261,"LeBron James",222,"SF",25,"CLE",76,76,2966,768,1528,0.503,129,387,0.333,639,1141,0.56,593,773,0.767,71,483,554,651,125,77,261,119,2258,31.1,0.604,0.545,0.506,0.253,3,18.5,11.1,41.8,2.2,2,12.3,33.5,121,102,13.3,5.2,18.5,0.299,0,1
"2752",275,"Manu Ginobili",157,"SG",32,"SAS",75,21,2150,398,903,0.441,132,350,0.377,266,553,0.481,309,355,0.87,68,216,284,370,103,24,154,154,1237,22.5,0.584,0.514,0.393,0.388,3.8,11.6,7.7,28.2,2.5,0.8,12.7,25.8,118,104,6.5,3.2,9.7,0.216,0,1
"3971",397,"Stephen Jackson",221,"SG-PF",31,"TOT",81,81,3129,600,1418,0.423,129,393,0.328,471,1025,0.46,338,434,0.779,78,323,401,300,132,43,259,197,1667,15.6,0.518,0.469,0.306,0.277,3,12.2,7.7,17.7,2.2,1.1,13.9,27.5,100,104,0.5,4.6,5,0.077,0,1
"399",399,"Steve Nash",303,"PG",35,"PHO",81,81,2660,499,985,0.507,124,291,0.426,375,694,0.54,211,225,0.938,34,234,268,892,42,12,295,108,1333,21.6,0.615,0.57,0.228,0.295,1.5,9.4,5.7,50.9,0.8,0.3,21.4,22.9,121,114,9.1,0.8,9.9,0.178,0,1
"1211",12,"Amar'e Stoudemire",385,"C",28,"NYK",78,78,2870,744,1482,0.502,10,23,0.435,734,1459,0.503,473,597,0.792,198,438,636,202,71,150,250,274,1971,22.7,0.565,0.505,0.403,0.016,7.8,17.6,12.7,13.2,1.2,3.8,12.5,30.9,109,108,5.4,2.6,8,0.134,113,1182
"441",44,"Blake Griffin",181,"PF",21,"LAC",82,82,3112,696,1376,0.506,7,24,0.292,689,1352,0.51,446,695,0.642,270,719,989,312,63,45,223,252,1845,21.9,0.549,0.508,0.505,0.017,10.2,26.9,18.6,18.7,1,1.1,11.7,27.3,111,107,6.5,3.4,9.8,0.152,3,643
"803",80,"Chris Paul",326,"PG",25,"NOH",80,80,2880,430,928,0.463,71,183,0.388,359,745,0.482,337,384,0.878,38,289,327,782,188,5,177,196,1268,23.7,0.578,0.502,0.414,0.197,1.6,12.3,6.9,45.8,3.5,0.1,13.9,21.1,122,103,9.5,4.4,13.9,0.232,4,522
"123",123,"Derrick Rose",356,"PG",22,"CHI",81,81,3026,711,1597,0.445,128,385,0.332,583,1212,0.481,476,555,0.858,81,249,330,623,85,51,278,136,2026,23.5,0.55,0.485,0.348,0.241,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,113,103,8.3,4.8,13.1,0.208,1,428
"1301",130,"Dirk Nowitzki",313,"PF",32,"DAL",73,73,2504,610,1179,0.517,66,168,0.393,544,1011,0.538,395,443,0.892,50,463,513,190,38,47,137,172,1681,23.4,0.612,0.545,0.376,0.142,2.4,20.8,12,14.2,0.8,1.4,9.1,28.2,118,105,7.8,3.3,11.1,0.213,0,190
"1362",136,"Dwight Howard",211,"C",25,"ORL",78,78,2935,619,1044,0.593,0,7,0,619,1037,0.597,546,916,0.596,309,789,1098,107,107,186,279,258,1784,26.1,0.616,0.593,0.877,0.007,12.6,30.6,21.8,6.8,1.9,4.9,16.2,27.2,113,94,6.7,7.7,14.4,0.235,0,113
"1372",137,"Dwyane Wade",413,"SG",29,"MIA",76,76,2823,692,1384,0.5,63,206,0.306,629,1178,0.534,494,652,0.758,123,362,485,346,111,87,237,197,1941,25.6,0.581,0.523,0.471,0.149,5.5,14.4,10.2,23.5,2.1,2.4,12.4,31.6,114,102,8.1,4.7,12.8,0.218,0,24
"2521",252,"Kevin Durant",128,"SF",22,"OKC",78,78,3038,711,1538,0.462,145,414,0.35,566,1124,0.504,594,675,0.88,57,476,533,214,88,76,218,159,2161,23.6,0.589,0.509,0.439,0.269,2.3,17.7,10.3,13.2,1.5,1.8,10.6,30.6,115,107,8.6,3.3,12,0.189,0,20
"259",259,"Kobe Bryant",68,"SG",32,"LAL",82,82,2779,740,1639,0.451,115,356,0.323,625,1283,0.487,483,583,0.828,83,336,419,388,99,12,243,172,2078,23.9,0.548,0.487,0.356,0.217,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,111,105,6.8,3.5,10.3,0.178,0,9
"2761",276,"LeBron James",226,"SF",26,"MIA",79,79,3063,758,1485,0.51,92,279,0.33,666,1206,0.552,503,663,0.759,80,510,590,554,124,50,284,163,2111,27.3,0.594,0.541,0.446,0.188,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,116,102,10.3,5.3,15.6,0.244,0,5
"2924",292,"Manu Ginobili",166,"SG",33,"SAS",80,79,2426,441,1018,0.433,154,441,0.349,287,577,0.497,357,410,0.871,42,253,295,393,123,28,174,163,1393,21.7,0.581,0.509,0.403,0.433,2.1,11.8,7.1,26.4,2.6,0.8,12.7,26,116,105,6.6,3.2,9.9,0.195,0,5
"353",353,"Rajon Rondo",355,"PG",24,"BOS",68,68,2527,318,670,0.475,10,43,0.233,308,627,0.491,75,132,0.568,87,210,297,760,153,11,234,120,721,17.1,0.495,0.482,0.197,0.064,4.5,9.7,7.2,47.1,3.2,0.3,24.3,18.3,104,100,1.8,4.8,6.6,0.126,0,3
"423",423,"Tony Parker",324,"PG",28,"SAS",78,78,2528,555,1069,0.519,25,70,0.357,530,999,0.531,233,303,0.769,30,208,238,513,90,3,200,135,1368,20.4,0.569,0.531,0.283,0.065,1.4,9.3,5.5,35.2,1.9,0.1,14.3,25.5,113,108,5.8,2.4,8.2,0.156,0,2
