"","X","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"4141",414,"Steve Nash",295,"PG",32,"PHO",76,76,2682,517,971,0.532,156,343,0.455,361,628,0.575,222,247,0.899,30,239,269,884,57,6,287,117,1412,23.8,0.654,0.613,0.254,0.353,1.4,9.9,5.8,50.1,1.1,0.2,21,22.9,124,110,10.8,1.7,12.6,0.225,0,3
"4241",424,"Tim Duncan",114,"C",30,"SAS",80,80,2726,618,1131,0.546,1,9,0.111,617,1122,0.55,362,568,0.637,213,633,846,273,66,190,224,203,1599,26.1,0.579,0.547,0.502,0.008,9.8,27,18.8,18.8,1.3,5.1,14,27.9,111,94,6.3,6.8,13,0.23,0,1
"428",428,"Tony Parker",319,"PG",24,"SAS",77,77,2499,570,1096,0.52,15,38,0.395,555,1058,0.525,274,350,0.783,34,216,250,420,82,6,191,137,1429,21.4,0.572,0.527,0.319,0.035,1.7,10,6,31.7,1.8,0.2,13.3,27.4,112,102,5.8,3.9,9.6,0.185,0,1
"429",429,"Tracy McGrady",271,"SG",27,"HOU",71,71,2539,638,1480,0.431,126,381,0.331,512,1099,0.466,345,488,0.707,56,322,378,458,92,36,213,136,1747,23.2,0.515,0.474,0.33,0.257,2.6,14.5,8.6,37.5,1.9,1.1,11.2,35,106,100,4.1,4.5,8.6,0.163,0,1
"1514",15,"Amar'e Stoudemire",384,"C",25,"PHO",79,79,2677,714,1211,0.59,5,31,0.161,709,1180,0.601,556,691,0.805,178,541,719,118,64,163,174,294,1989,27.6,0.656,0.592,0.571,0.026,8.2,21.1,15.2,7.5,1.2,4,10.3,28.2,124,104,10.9,3.8,14.6,0.262,82,1105
"311",31,"Antawn Jamison",213,"PF",31,"WAS",79,79,3061,618,1417,0.436,120,354,0.339,498,1063,0.468,333,438,0.76,215,591,806,120,106,34,113,195,1689,20.3,0.525,0.478,0.309,0.25,8,23.3,15.4,7.2,1.9,0.9,6.6,25.9,112,107,6,3.2,9.2,0.144,28,889
"721",72,"Carlos Boozer",51,"PF",26,"UTA",81,81,2827,709,1297,0.547,0,1,0,709,1296,0.547,290,393,0.738,197,647,844,233,100,41,210,293,1708,21.9,0.581,0.547,0.303,0.001,8.6,27.7,18.2,14.2,1.8,1.2,12.5,26.6,112,103,5.9,4.3,10.2,0.173,15,670
"74",74,"Carmelo Anthony",15,"SF",23,"DEN",77,77,2806,728,1481,0.492,58,164,0.354,670,1317,0.509,464,590,0.786,178,393,571,259,98,39,253,253,1978,21.1,0.568,0.511,0.398,0.111,7,14.9,11,16.1,1.7,1,12.7,30.2,109,107,5.2,3,8.2,0.14,1,438
"88",88,"Chris Paul",320,"PG",22,"NOH",80,80,3006,630,1291,0.488,92,249,0.369,538,1042,0.516,332,390,0.851,62,259,321,925,217,4,201,185,1684,28.3,0.576,0.524,0.302,0.193,2.4,10.3,6.2,52.2,3.9,0.1,12.1,25.7,125,103,13.2,4.6,17.8,0.284,0,60
"125",125,"Deron Williams",432,"PG",23,"UTA",82,82,3059,566,1117,0.507,83,210,0.395,483,907,0.533,330,411,0.803,34,209,243,862,90,23,279,200,1545,20.8,0.595,0.544,0.368,0.188,1.4,8.3,4.9,43.6,1.5,0.6,17.7,23.1,118,110,8.9,2.3,11.3,0.177,0,27
