"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","Abdul Jeelani","129","SF",25,"POR",77,NA,1286,288,565,0.51,0,6,0,288,559,0.515,161,204,0.789,114,156,270,95,40,40,117,155,737,18.7,0.563,0.51,0.361,0.011,9.6,13.5,11.5,11.6,1.5,1.8,15.2,24.6,109,104,2.3,1.5,3.8,0.141,0,0
"2","Adrian Dantley","65","SF",23,"UTA",68,NA,2674,730,1267,0.576,0,2,0,730,1265,0.577,443,526,0.842,183,333,516,191,96,14,233,211,1903,24.3,0.635,0.576,0.415,0.002,8.3,14,11.3,12.3,1.8,0.3,13.5,27.8,119,110,9.5,1.1,10.5,0.189,0,0
"3","Al Skinner","238","SG",27,"PHI",2,NA,10,1,2,0.5,0,0,NA,1,2,0.5,0,0,NA,0,0,0,2,0,0,2,1,2,-0.6,0.5,0.5,0,0,0,0,0,25.4,0,0,50,16,65,111,0,0,0,-0.152,0,0
"4","Alex English","84","SF",26,"TOT",78,NA,2401,553,1113,0.497,2,6,0.333,551,1107,0.498,210,266,0.789,269,336,605,224,73,62,214,206,1318,18,0.536,0.498,0.239,0.005,11.3,14.9,13.1,13.9,1.4,1.4,14.8,23.4,106,107,3.3,2,5.3,0.105,0,0
"5","Allan Bristow","30","SF",28,"UTA",82,NA,2304,377,785,0.48,2,7,0.286,375,778,0.482,197,243,0.811,170,342,512,341,88,6,179,211,953,16.6,0.534,0.482,0.31,0.009,9,16.7,13,21.4,1.9,0.1,16.7,20,108,110,3.2,1.2,4.4,0.091,0,0
"6","Allen Leavell","167","PG",22,"HOU",77,NA,2123,330,656,0.503,3,19,0.158,327,637,0.513,180,221,0.814,57,127,184,417,127,28,205,197,843,15.1,0.56,0.505,0.337,0.029,2.9,6.8,4.8,26.3,2.8,0.7,21.4,17.8,107,108,2.6,1.4,4,0.091,0,0
"7","Alonzo Bradley","24","SF",26,"HOU",22,NA,96,17,48,0.354,1,1,1,16,47,0.34,6,9,0.667,2,4,6,3,3,0,8,9,41,4.1,0.395,0.365,0.188,0.021,2.2,4.7,3.5,4.3,1.5,0,13.3,24.7,81,112,-0.2,0,-0.2,-0.097,0,0
"8","Alvan Adams","3","C",25,"PHO",75,NA,2168,465,875,0.531,0,2,0,465,873,0.533,188,236,0.797,158,451,609,322,108,55,218,237,1118,19.2,0.571,0.531,0.27,0.002,8.2,22.4,15.4,21.6,2.3,1.4,18.2,21.9,107,99,3.1,3.9,7,0.155,0,0
"9","Alvin Scott","229","SF",24,"PHO",79,NA,1303,127,301,0.422,1,3,0.333,126,298,0.423,95,122,0.779,89,139,228,98,47,53,92,101,350,9.9,0.493,0.424,0.405,0.01,7.7,11.5,9.6,9.3,1.7,2.2,20.6,13.6,97,103,0,1.7,1.7,0.062,0,0
"10","Andre Wakefield","259","SG",25,"UTA",8,NA,47,6,15,0.4,0,0,NA,6,15,0.4,3,3,1,0,4,4,3,1,0,8,13,15,-2,0.46,0.4,0.2,0,0,9.6,5,8.8,1,0,32.9,22.2,67,113,-0.2,0,-0.2,-0.187,0,0
"11","Anthony Roberts","218","SF",24,"DEN",23,NA,486,69,181,0.381,0,1,0,69,180,0.383,39,60,0.65,54,55,109,20,13,3,28,52,177,9.3,0.427,0.381,0.331,0.006,11.3,12.1,11.7,5.6,1.2,0.3,11.9,19,94,110,-0.2,0.2,0.1,0.009,0,0
"12","Armond Hill","120","PG",26,"ATL",79,NA,2092,177,431,0.411,1,4,0.25,176,427,0.412,124,146,0.849,31,107,138,424,107,8,171,261,479,9.2,0.484,0.412,0.339,0.009,1.6,5.5,3.5,27.4,2.5,0.2,25.7,13,97,104,0.1,2.4,2.5,0.057,0,0
"13","Artis Gilmore","100","C",30,"CHI",48,NA,1568,305,513,0.595,0,0,NA,305,513,0.595,245,344,0.712,108,324,432,133,29,59,133,167,855,19.9,0.643,0.595,0.671,0,7.9,22.7,15.5,13,0.9,2.1,16.7,20.7,117,105,4,1.7,5.6,0.172,0,0
"14","Arvid Kramer","157","C",23,"DEN",8,NA,45,7,22,0.318,0,0,NA,7,22,0.318,2,2,1,6,6,12,3,0,5,5,8,16,6.6,0.35,0.318,0.091,0,13.6,14.2,13.9,9.3,0,6,17.9,24.3,77,107,-0.1,0,-0.1,-0.102,0,0
"15","Austin Carr","41","SG",31,"CLE",77,NA,1595,390,839,0.465,2,6,0.333,388,833,0.466,127,172,0.738,81,84,165,150,39,3,108,120,909,14.3,0.497,0.466,0.205,0.007,5.1,5.8,5.5,13.2,1.1,0.1,10.6,24.6,103,110,1.3,0.6,2,0.059,0,0
"16","Ben Poquette","210","C",24,"UTA",82,NA,2349,296,566,0.523,0,2,0,296,564,0.525,139,167,0.832,124,436,560,131,45,162,103,283,731,14,0.572,0.523,0.295,0.004,6.4,20.9,13.9,7.7,0.9,3.9,13.9,13.6,112,107,3,1.8,4.9,0.099,0,0
"17","Bernard King","153","SF",23,"UTA",19,NA,419,71,137,0.518,0,0,NA,71,137,0.518,34,63,0.54,24,64,88,52,7,4,50,66,176,11.4,0.534,0.518,0.46,0,7,17.2,12.3,18.1,0.8,0.5,23.3,22,94,111,-0.2,0.1,0,-0.002,0,0
"18","Bernard Toone","253","PF",23,"PHI",23,NA,124,23,64,0.359,1,7,0.143,22,57,0.386,8,10,0.8,12,22,34,12,4,5,16,20,55,8.9,0.402,0.367,0.156,0.109,10.9,17.8,14.5,13.8,1.5,2.2,19,27.2,82,100,-0.3,0.2,-0.1,-0.036,0,0
"19","Bill Cartwright","46","C",22,"NYK",82,NA,3150,665,1215,0.547,0,0,NA,665,1215,0.547,451,566,0.797,194,532,726,165,48,101,222,279,1781,17.9,0.608,0.547,0.466,0,6.6,18.6,12.6,7,0.7,1.7,13.2,20.6,117,108,7.7,2.1,9.7,0.148,0,0
"20","Bill Robinzine","223","PF",27,"KCK",81,NA,1917,362,723,0.501,1,2,0.5,361,721,0.501,200,274,0.73,184,342,526,62,106,23,148,311,925,15.3,0.548,0.501,0.379,0.003,9.9,19.8,14.7,4.5,2.6,0.7,14.9,20.7,105,98,1.8,3.6,5.5,0.137,0,0
"21","Bill Walton","262","C",27,"SDC",14,NA,337,81,161,0.503,0,0,NA,81,161,0.503,32,54,0.593,28,98,126,34,8,38,37,37,194,22.2,0.525,0.503,0.335,0,8.7,32.5,20.2,15.5,1.1,6.1,16.7,26.3,101,101,0.2,0.5,0.8,0.108,0,0
"22","Bill Willoughby","282","SF",22,"CLE",78,NA,1447,219,457,0.479,1,9,0.111,218,448,0.487,96,127,0.756,122,207,329,72,32,62,68,189,535,12.7,0.522,0.48,0.278,0.02,8.5,15.8,12,6.2,1,2.3,11.7,15.4,109,106,1.7,1.3,3,0.099,0,0
