"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.C. Green","148","PF",33,"TOT",83,73,2492,234,484,0.483,1,20,0.05,233,464,0.502,128,197,0.65,222,434,656,69,70,16,74,145,597,12.4,0.523,0.485,0.407,0.041,10.2,20.5,15.3,4.4,1.5,0.5,11.5,11.8,111,107,2.4,2.4,4.8,0.093,0,0
"2","Aaron McKie","252","SG",24,"TOT",83,11,1625,150,365,0.411,41,103,0.398,109,262,0.416,92,110,0.836,40,181,221,161,77,22,90,130,433,12.1,0.524,0.467,0.301,0.282,3.1,13.2,8.3,15.4,2.6,1.1,17.9,14.7,105,103,1,2.4,3.5,0.103,0,0
"3","Aaron Williams","420","PF-C",25,"TOT",33,1,563,85,148,0.574,0,1,0,85,147,0.578,33,49,0.673,62,81,143,15,16,29,32,72,203,16.4,0.599,0.574,0.331,0.007,12.6,16.9,14.7,4.7,1.5,3.9,15.9,16.6,111,109,0.7,0.4,1.1,0.098,0,0
"4","Acie Earl","109","C",26,"TOT",47,0,500,67,180,0.372,0,5,0,67,175,0.383,54,84,0.643,35,61,96,20,15,28,35,61,188,10.7,0.433,0.372,0.467,0.028,8,14.7,11.3,6.7,1.6,4.5,13.9,22.7,90,107,-0.5,0.5,0,-0.004,0,0
"5","Adam Keefe","195","C",26,"UTA",62,0,915,82,160,0.513,0,1,0,82,159,0.516,71,103,0.689,75,141,216,32,30,13,45,97,235,11.7,0.572,0.513,0.644,0.006,10.9,18.2,14.7,5,1.7,1.2,18,12.7,111,104,1,1.3,2.3,0.118,0,0
"6","Adrian Caldwell","56","PF",30,"TOT",45,0,569,40,92,0.435,0,2,0,40,90,0.444,21,50,0.42,58,109,167,12,16,8,28,87,101,7.5,0.443,0.435,0.543,0.022,10.7,21.6,16,3.1,1.4,1,19.7,10.6,92,109,-0.2,0.4,0.2,0.016,0,0
"7","Alan Henderson","166","PF",24,"ATL",30,0,501,77,162,0.475,0,0,NA,77,162,0.475,45,75,0.6,47,69,116,23,21,6,29,73,199,15,0.51,0.475,0.463,0,11.4,16.1,13.8,8.3,2.3,0.9,12.9,21.1,105,101,0.5,0.9,1.3,0.126,0,0
"8","Aleksandar Djordjevic","100","SG",29,"POR",8,0,61,8,16,0.5,5,7,0.714,3,9,0.333,4,5,0.8,1,4,5,5,0,0,5,3,25,12.5,0.687,0.656,0.313,0.438,2,7.6,4.9,13.1,0,0,21.6,17.1,116,111,0.1,0,0.1,0.114,0,0
"9","Allan Houston","174","SG",25,"NYK",81,81,2681,437,1032,0.423,148,384,0.385,289,648,0.446,175,218,0.803,43,197,240,179,41,18,167,233,1197,11.3,0.531,0.495,0.211,0.372,2,8.5,5.4,11.9,0.8,0.5,12.9,22.2,103,105,1.5,3.2,4.7,0.084,0,0
"10","Allen Iverson","179","PG",21,"PHI",76,74,3045,625,1504,0.416,155,455,0.341,470,1049,0.448,382,544,0.702,115,197,312,567,157,24,337,233,1787,18,0.513,0.467,0.362,0.303,4,7.2,5.6,33.6,2.6,0.6,16.2,28.9,104,112,3.1,1,4.1,0.065,63,986
"11","Alonzo Mourning","267","C",26,"MIA",66,65,2320,473,885,0.534,1,9,0.111,472,876,0.539,363,565,0.642,189,467,656,104,56,189,226,272,1310,21.6,0.578,0.535,0.638,0.01,9.8,23.4,16.8,8.8,1.3,6.3,16.6,27.5,106,95,2.8,5.6,8.4,0.174,52,957
"12","Alton Lister","217","C",38,"BOS",53,2,516,32,77,0.416,0,0,NA,32,77,0.416,23,31,0.742,66,102,168,13,8,14,30,95,87,7.8,0.48,0.416,0.403,0,13.7,24.6,18.7,3.6,0.8,2,24.9,10,98,110,0,0.3,0.3,0.028,0,0
"13","Amal McCaskill","245","C",23,"ORL",17,1,109,10,32,0.313,0,2,0,10,30,0.333,8,12,0.667,4,18,22,7,3,5,11,7,28,6.1,0.376,0.313,0.375,0.063,4.2,19.9,11.8,10.3,1.5,3.6,22.8,20.4,72,104,-0.3,0.2,-0.2,-0.086,0,0
"14","Andrew DeClercq","93","C",23,"GSW",71,1,1065,142,273,0.52,0,0,NA,142,273,0.52,91,151,0.603,122,176,298,32,33,27,76,229,375,12.5,0.552,0.52,0.553,0,13.6,19.7,16.6,4.9,1.6,1.9,18.3,17.4,105,109,0.8,0.7,1.6,0.07,0,0
"15","Andrew Lang","210","C",30,"MIL",52,52,1194,115,248,0.464,0,0,NA,115,248,0.464,44,61,0.721,94,184,278,25,26,47,39,140,274,10.8,0.498,0.464,0.246,0,9.7,18.8,14.2,3.2,1.2,2.9,12.4,12.2,106,107,0.7,1.2,1.9,0.076,0,0
"16","Anfernee Hardaway","156","PG",25,"ORL",59,59,2221,421,941,0.447,85,267,0.318,336,674,0.499,283,345,0.82,82,181,263,332,93,35,145,123,1210,21.4,0.554,0.493,0.367,0.284,4.2,9.8,6.9,28.5,2.3,1.2,11.7,25.7,115,107,5.8,2.2,8.1,0.175,0,0
"17","Anthony Goldwire","139","PG",25,"TOT",60,30,1188,131,330,0.397,64,153,0.418,67,177,0.379,61,78,0.782,12,72,84,219,33,2,76,104,387,12.1,0.531,0.494,0.236,0.464,1.2,7,4.1,29.1,1.5,0.1,17.3,17,109,113,1.4,0.3,1.7,0.067,0,0
"18","Anthony Mason","240","PF",30,"CHH",73,73,3143,433,825,0.525,1,3,0.333,432,822,0.526,319,428,0.745,186,643,829,414,76,33,165,202,1186,18.9,0.585,0.525,0.519,0.004,7.4,24,16,21.4,1.3,0.8,14,17.6,121,106,8,3.3,11.4,0.173,0,376
