"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","Aaron Brooks","61","PG",24,"HOU",80,35,1998,316,783,0.404,113,309,0.366,203,474,0.428,149,172,0.866,33,124,157,238,46,8,125,152,894,12.9,0.521,0.476,0.22,0.395,2,7,4.6,20.2,1.2,0.3,12.7,22.9,105,108,1.4,2.2,3.6,0.086,0,0
"2","Aaron Gray","161","C",24,"CHI",56,18,715,81,167,0.485,0,1,0,81,166,0.488,34,59,0.576,84,136,220,46,14,18,40,135,196,11.5,0.508,0.485,0.353,0.006,13.5,21.7,17.6,9.6,1,1.8,17.2,14.5,107,107,0.5,0.8,1.3,0.086,0,0
"3","Acie Law","242","PG",24,"ATL",55,1,560,52,139,0.374,9,29,0.31,43,110,0.391,49,60,0.817,6,52,58,86,11,3,29,43,162,10.6,0.49,0.406,0.432,0.209,1.3,10.9,6.1,23.4,1.1,0.4,14.9,16.3,105,111,0.3,0.4,0.7,0.062,0,0
"4","Adam Morrison","289","SF",24,"TOT",52,5,711,80,223,0.359,32,96,0.333,48,127,0.378,17,23,0.739,18,62,80,41,9,4,32,77,209,5.7,0.448,0.43,0.103,0.43,3.1,10.6,6.9,9.4,0.7,0.5,12.1,17.5,92,110,-0.6,0.6,0,0.001,0,0
"5","Adonal Foyle","138","C",33,"TOT",10,0,62,7,11,0.636,0,0,NA,7,11,0.636,3,6,0.5,9,17,26,1,0,8,3,5,17,19.7,0.623,0.636,0.545,0,16.8,30.1,23.6,2.6,0,9.3,18,12.4,121,95,0.1,0.2,0.3,0.212,0,0
"6","Al Harrington","170","PF",28,"TOT",73,56,2546,532,1212,0.439,171,470,0.364,361,742,0.487,234,295,0.793,99,356,455,102,88,22,161,227,1469,15.9,0.547,0.509,0.243,0.388,4.1,15.8,9.8,6.8,1.7,0.6,10.7,25.7,105,110,1.9,2,3.9,0.073,0,0
"7","Al Horford","189","C",22,"ATL",67,67,2242,312,594,0.525,0,1,0,312,593,0.526,149,205,0.727,145,479,624,163,53,95,103,190,773,17,0.565,0.525,0.345,0.002,7.6,25,16.3,11.9,1.3,3.3,13.1,16.4,114,104,3.3,3.5,6.8,0.145,0,0
"8","Al Jefferson","213","C",24,"MIN",50,50,1836,485,975,0.497,0,4,0,485,971,0.499,186,252,0.738,172,376,548,79,39,83,92,141,1156,23.1,0.532,0.497,0.258,0.004,10.6,24.9,17.5,8.8,1.1,3.5,7.8,28.9,109,108,2.9,2,4.9,0.128,0,0
"9","Al Thornton","393","SF",25,"LAC",71,67,2654,469,1051,0.446,20,79,0.253,449,972,0.462,236,313,0.754,122,246,368,103,59,62,130,227,1194,12.6,0.502,0.456,0.298,0.075,5.2,11,8,6.9,1.2,1.7,9.9,22.6,100,114,0.2,1,1.3,0.023,0,0
"10","Alando Tucker","395","SG",24,"PHO",30,1,282,52,121,0.43,8,23,0.348,44,98,0.449,26,33,0.788,19,12,31,12,5,1,14,14,138,13,0.509,0.463,0.273,0.19,8.2,4.8,6.4,6.4,0.9,0.3,9.4,23.3,106,117,0.2,0,0.2,0.039,0,0
"11","Alex Acker","1","SG",26,"TOT",25,0,199,30,76,0.395,7,20,0.35,23,56,0.411,5,10,0.5,8,16,24,12,5,4,7,9,72,10.4,0.448,0.441,0.132,0.263,4.5,9.6,7,10.2,1.3,1.5,8,20.1,94,114,-0.1,0.1,0,-0.011,0,0
"12","Alexis Ajinca","6","PF",20,"CHA",31,4,182,25,69,0.362,0,2,0,25,67,0.373,20,28,0.714,9,21,30,3,7,6,12,34,70,7,0.43,0.362,0.406,0.029,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,86,104,-0.3,0.3,-0.1,-0.018,0,0
"13","Allen Iverson","201","PG-SG",33,"TOT",57,53,2093,348,834,0.417,28,99,0.283,320,735,0.435,271,347,0.781,30,143,173,283,88,6,146,86,995,15.8,0.504,0.434,0.416,0.119,1.7,8.2,4.9,23.1,2.3,0.2,12.9,25.7,103,109,0.9,1.9,2.9,0.066,0,0
"14","Amar'e Stoudemire","379","PF",26,"PHO",53,53,1948,404,749,0.539,3,7,0.429,401,742,0.54,323,387,0.835,116,314,430,104,49,57,150,163,1134,20.3,0.617,0.541,0.517,0.009,7.2,18.1,12.9,8.3,1.3,2.1,14,24.2,117,111,4.6,1.4,6.1,0.149,0,0
