"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.C. Green","153","PF",34,"DAL",82,68,2649,242,534,0.453,0,4,0,242,530,0.457,116,162,0.716,219,449,668,123,78,27,68,157,600,12.8,0.496,0.453,0.303,0.007,9,19.3,14,7.3,1.6,0.7,10.1,11.6,110,106,2.8,2.4,5.2,0.095,0,0
"2","Aaron McKie","256","SF",25,"TOT",81,32,1813,139,381,0.365,12,63,0.19,127,318,0.399,42,55,0.764,58,173,231,175,101,13,76,164,332,8.6,0.41,0.381,0.144,0.165,3.7,11.2,7.4,15,3,0.5,15.8,12,92,104,-0.7,2,1.4,0.036,0,0
"3","Aaron Williams","417","PF",26,"SEA",65,9,757,115,220,0.523,0,1,0,115,219,0.525,66,85,0.776,48,99,147,14,19,38,50,119,296,13.4,0.575,0.523,0.386,0.005,7.7,15.4,11.6,3,1.3,3.8,16.3,18.8,105,103,0.7,1,1.7,0.105,0,0
"4","Adam Keefe","205","C",27,"UTA",80,75,2047,229,424,0.54,0,0,NA,229,424,0.54,162,200,0.81,179,259,438,89,52,24,71,172,620,14.5,0.605,0.54,0.472,0,11.6,14.8,13.3,6.7,1.4,0.9,12.2,13.2,125,107,4.8,1.7,6.5,0.153,0,0
"5","Adonal Foyle","133","C",22,"GSW",55,1,656,69,170,0.406,0,1,0,69,169,0.408,27,62,0.435,73,111,184,14,13,52,50,94,165,9.2,0.418,0.406,0.365,0.006,11.5,18.6,15,3.5,1,5.4,20.2,16.4,82,102,-1,0.9,-0.1,-0.009,0,0
"6","Adrian Caldwell","57","PF",31,"DAL",1,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,117,0,0,0,-0.022,0,0
"7","Alan Henderson","168","PF",25,"ATL",69,33,2000,365,753,0.485,3,6,0.5,362,747,0.485,253,388,0.652,200,242,442,73,42,36,110,175,986,18.4,0.534,0.487,0.515,0.008,12.2,13.8,13,6.7,1.1,1.3,10.6,23.9,111,106,4.2,1.8,6,0.144,0,0
"8","Allan Houston","180","SG",26,"NYK",82,82,2848,571,1277,0.447,82,213,0.385,489,1064,0.46,285,335,0.851,43,231,274,212,63,24,200,207,1509,15.1,0.53,0.479,0.262,0.167,1.8,9.8,5.8,14.3,1.2,0.7,12.3,26.7,102,103,2.5,3.5,6.1,0.102,0,0
"9","Allen Iverson","187","SG",22,"PHI",80,80,3150,649,1407,0.461,70,235,0.298,579,1172,0.494,390,535,0.729,86,210,296,494,176,25,244,200,1758,20.4,0.535,0.486,0.38,0.167,3.1,7.7,5.4,30.6,3,0.6,12.9,26.9,109,106,6.3,2.8,9,0.138,0,0
"10","Alonzo Mourning","270","C",27,"MIA",58,56,1939,403,732,0.551,0,0,NA,403,732,0.551,309,465,0.665,193,365,558,52,40,130,179,208,1115,22.4,0.595,0.551,0.635,0,12.1,21.4,16.9,5.2,1.1,4.9,16,26.8,109,99,3.9,3.6,7.5,0.185,0,0
