"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","Adrian Dantley","61","SF",25,"UTA",81,81,3222,904,1586,0.57,1,3,0.333,903,1583,0.57,648,818,0.792,231,283,514,324,95,14,299,252,2457,24.2,0.631,0.57,0.516,0.002,7.6,9.6,8.6,15.5,1.4,0.2,13.3,27.9,121,114,11.9,0.7,12.6,0.187,40,507
"2","Al Wood","310","SG",23,"TOT",48,5,930,179,381,0.47,3,24,0.125,176,357,0.493,93,119,0.782,51,83,134,58,31,9,71,108,454,13.2,0.524,0.474,0.312,0.063,6.3,10.7,8.4,9.1,1.6,0.6,14.1,22.5,103,112,0.5,0.4,0.9,0.046,0,0
"3","Alan Hardy","110","SG",24,"DET",38,0,310,62,136,0.456,0,5,0,62,131,0.473,18,29,0.621,14,20,34,20,9,4,20,32,142,10.5,0.477,0.456,0.213,0.037,4.8,7.3,6,9.2,1.3,0.7,11.9,21.3,97,110,0,0.2,0.2,0.028,0,0
"4","Albert King","157","SF",22,"NJN",76,52,1694,391,812,0.482,3,13,0.231,388,799,0.486,133,171,0.778,105,207,312,142,64,36,180,261,918,13.5,0.517,0.483,0.211,0.016,6.9,14,10.4,12.8,1.8,1.2,16.9,25.1,97,103,-0.2,2.6,2.4,0.067,0,0
"5","Alex Bradley","19","SF",22,"NYK",39,0,331,54,103,0.524,0,1,0,54,102,0.529,29,48,0.604,31,34,65,11,12,5,28,37,137,12.4,0.552,0.524,0.466,0.01,10.5,12,11.2,4.6,1.7,0.9,18.4,18.9,101,109,0.1,0.3,0.4,0.053,0,0
"6","Alex English","85","SF",28,"DEN",82,82,3015,855,1553,0.551,0,8,0,855,1545,0.553,372,443,0.84,210,348,558,433,87,120,261,261,2082,22.2,0.596,0.551,0.285,0.005,7.7,12,9.9,19.9,1.3,2,13,25.3,118,114,8.9,0.6,9.5,0.152,20,456
"7","Allan Bristow","27","SF",30,"DAL",82,54,2035,218,499,0.437,3,18,0.167,215,481,0.447,134,164,0.817,119,220,339,448,65,6,165,222,573,12.6,0.502,0.44,0.329,0.036,6.5,12.8,9.5,29.3,1.6,0.2,22.4,14.9,105,111,1.3,1.2,2.5,0.059,0,0
"8","Allen Leavell","172","PG",24,"HOU",79,61,2150,370,793,0.467,9,31,0.29,361,762,0.474,115,135,0.852,49,119,168,457,150,15,153,182,864,16.4,0.507,0.472,0.17,0.039,2.4,6.3,4.3,29.8,3.4,0.4,15.2,19.1,109,107,2.7,2.1,4.8,0.107,0,0
"9","Alton Lister","176","C",23,"MIL",80,23,1186,149,287,0.519,0,0,NA,149,287,0.519,64,123,0.52,108,279,387,84,18,118,129,239,362,11.5,0.531,0.519,0.429,0,10.9,26,18.7,9.2,0.7,5.8,27.4,16.3,91,97,-0.9,2.6,1.7,0.071,0,0
"10","Alvan Adams","2","C",27,"PHO",79,75,2393,507,1027,0.494,0,1,0,507,1026,0.494,182,233,0.781,138,448,586,356,114,78,196,269,1196,18.6,0.529,0.494,0.227,0.001,6.6,20.2,13.6,22.1,2.3,1.9,14.8,22.8,106,99,2.5,4.7,7.2,0.144,0,0
"11","Alvin Scott","251","SF",26,"PHO",81,38,1740,189,380,0.497,0,2,0,189,378,0.5,108,148,0.73,97,197,294,149,59,70,98,169,486,11.7,0.546,0.497,0.389,0.005,6.3,12.2,9.4,11,1.6,2.3,18,12.9,107,103,1.2,2.7,3.8,0.106,0,0
"12","Andrew Toney","275","SG",24,"PHI",77,1,1909,511,979,0.522,25,59,0.424,486,920,0.528,227,306,0.742,43,91,134,283,64,17,214,269,1274,17.2,0.572,0.535,0.313,0.06,2.7,5.1,4,23.1,1.6,0.5,16.1,29,105,108,2.3,1.7,4,0.1,0,0
"13","Armond Hill","122","PG",28,"TOT",40,18,723,53,126,0.421,0,2,0,53,124,0.427,39,55,0.709,12,40,52,106,21,5,66,88,145,5.5,0.483,0.421,0.437,0.016,1.9,6.3,4.1,17.8,1.4,0.4,30.5,12.2,88,113,-0.6,0.2,-0.4,-0.024,0,0
"14","Artis Gilmore","96","C",32,"CHI",82,82,2796,546,837,0.652,1,1,1,545,836,0.652,424,552,0.768,224,611,835,136,49,220,227,287,1517,22.4,0.702,0.653,0.659,0.001,9.5,23.7,16.9,7.5,0.8,4.3,17.4,19.6,124,104,8.3,3.8,12.1,0.208,0,0
"15","Ben Poquette","227","PF",26,"UTA",82,56,1698,220,428,0.514,3,10,0.3,217,418,0.519,97,120,0.808,117,294,411,94,51,65,69,235,540,13.1,0.562,0.518,0.28,0.023,7.3,18.9,13,6.9,1.4,2.1,12.6,13,115,110,2.2,1.2,3.4,0.096,0,0
