,X,Player,totals.Pos,totals.Age,totals.Tm,totals.G,totals.GS,totals.MP,totals.FG,totals.FGA,totals.FG.,totals.3P,totals.3PA,totals.3P.,totals.2P,totals.2PA,totals.2P.,totals.FT,totals.FTA,totals.FT.,totals.ORB,totals.DRB,totals.TRB,totals.AST,totals.STL,totals.BLK,totals.TOV,totals.PF,totals.PTS,advanced.PER,advanced.TS.,advanced.eFG.,advanced.FTr,advanced.3PAr,advanced.ORB.,advanced.DRB.,advanced.TRB.,advanced.AST.,advanced.STL.,advanced.BLK.,advanced.TOV.,advanced.USG.,advanced.ORtg,advanced.DRtg,advanced.OWS,advanced.DWS,advanced.WS,advanced.WS.48,Pts.Won
35,35,Ben Wallace,C,27,DET,80,80,2921,255,480,0.531,0,3,0,255,477,0.535,99,234,0.423,318,721,1039,115,138,278,70,178,609,18.6,0.522,0.531,0.488,0.006,12.9,28.9,21,6.2,2.5,6.7,10.7,10.5,117,93,4.3,7.2,11.6,0.19,0.273809524
77,77,Chris Webber,PF,28,SAC,54,54,2071,532,1075,0.495,5,19,0.263,527,1056,0.499,253,338,0.749,150,396,546,258,90,76,158,181,1322,24.4,0.54,0.497,0.314,0.018,7.9,20.1,14.1,21.9,2.2,2.4,11.4,29,109,98,4.8,3.9,8.6,0.2,0.212454212
124,124,Dirk Nowitzki,C,23,DAL,76,76,2891,600,1258,0.477,139,350,0.397,461,908,0.508,440,516,0.853,120,635,755,186,83,77,145,222,1779,24.1,0.599,0.532,0.41,0.278,4.7,24,14.5,10.8,1.5,1.9,8.9,25.5,120,104,10.2,3.1,13.4,0.222,0.119047619
143,143,Elton Brand,PF,22,LAC,80,80,3020,532,1010,0.527,0,0,0,532,1010,0.527,389,524,0.742,396,529,925,191,80,163,173,254,1453,23.6,0.586,0.527,0.519,0,15,19.6,17.3,11,1.4,3.7,12.2,21.1,120,103,9.9,3.7,13.6,0.216,0.02991453
159,159,Gary Payton,PG,33,SEA,82,82,3301,737,1578,0.467,74,236,0.314,663,1342,0.494,267,335,0.797,80,316,396,737,131,26,209,179,1815,22.9,0.526,0.49,0.212,0.15,2.9,11.1,7.1,39.4,2.1,0.6,10.8,27.2,114,107,10.1,2.5,12.6,0.183,0.016483516
203,203,Jason Kidd,PG,28,NJN,82,82,3056,445,1138,0.391,117,364,0.321,328,774,0.424,201,247,0.814,130,465,595,808,175,20,286,136,1208,19.1,0.484,0.442,0.217,0.32,4.7,17.2,10.9,42.5,3,0.5,18.7,22.5,103,98,3.1,5.8,8.9,0.14,0.011294261
216,216,Jerry Stackhouse,SF,27,DET,76,76,2685,524,1319,0.397,86,300,0.287,438,1019,0.43,495,577,0.858,77,238,315,403,77,37,266,163,1629,19,0.518,0.43,0.437,0.227,3.4,10.4,6.9,28.4,1.5,1,14.5,32.3,102,105,3.2,2.6,5.8,0.104,0.009462759
246,246,Kevin Garnett,PF,25,MIN,81,81,3175,659,1401,0.47,37,116,0.319,622,1285,0.484,359,448,0.801,243,738,981,422,96,126,229,184,1714,23.8,0.536,0.484,0.32,0.083,9,26.5,17.8,22.4,1.6,2.9,12.5,26,111,101,7.9,4.9,12.8,0.194,0.008852259
251,251,Kobe Bryant,SG,23,LAL,80,80,3063,749,1597,0.469,33,132,0.25,716,1465,0.489,488,589,0.829,112,329,441,438,118,35,223,228,2019,23.2,0.544,0.479,0.369,0.083,4.1,11.7,7.9,25.9,2,0.8,10.7,30.4,112,103,8.9,3.8,12.7,0.199,0.007326007
2921,292,Michael Jordan,SF,38,WAS,60,53,2093,551,1324,0.416,10,53,0.189,541,1271,0.426,263,333,0.79,50,289,339,310,85,26,162,119,1375,20.7,0.468,0.42,0.252,0.04,2.7,16.2,9.4,30.8,2.2,0.9,9.9,36,99,105,1.2,2.1,3.3,0.075,0.006715507
297,297,Mike Bibby,PG,23,SAC,80,80,2659,446,985,0.453,51,138,0.37,395,847,0.466,155,193,0.803,37,185,222,403,87,15,134,133,1098,14.9,0.513,0.479,0.196,0.14,1.5,7.3,4.5,23,1.6,0.4,11.1,19.7,107,105,3.7,2.6,6.3,0.113,0.005189255
321,321,Paul Pierce,SG,24,BOS,82,82,3302,707,1598,0.442,210,520,0.404,497,1078,0.461,520,643,0.809,81,485,566,261,154,86,241,237,2144,22.3,0.57,0.508,0.402,0.325,2.6,16.5,9.4,15.7,2.4,2,11.4,29.3,109,99,7.3,5.6,12.9,0.187,0.004884005
322,322,Peja Stojakovic,SF,24,SAC,71,71,2649,547,1130,0.484,129,310,0.416,418,820,0.51,283,323,0.876,72,301,373,175,81,14,140,120,1506,19.3,0.592,0.541,0.286,0.274,3,11.9,7.5,10.6,1.5,0.4,9.9,23.2,115,104,6.8,3,9.9,0.179,0.001526252
371,371,Shaquille O'Neal,C,29,LAL,67,66,2422,712,1229,0.579,0,1,0,712,1228,0.58,398,717,0.555,235,480,715,200,41,137,171,199,1822,29.7,0.59,0.579,0.583,0.001,10.8,21.6,16.3,16.4,0.9,4.1,10,31.8,116,99,9.2,4,13.2,0.262,0.000915751
385,385,Steve Nash,PG,27,DAL,82,82,2837,525,1088,0.483,156,343,0.455,369,745,0.495,260,293,0.887,50,204,254,634,53,4,229,164,1466,20.7,0.602,0.554,0.269,0.315,2,7.9,5,36.1,1,0.1,15.8,23,118,112,9.5,0.3,9.9,0.167,0.00030525
396,396,Tim Duncan,PF,25,SAS,82,82,3329,764,1504,0.508,1,10,0.1,763,1494,0.511,560,701,0.799,268,774,1042,307,61,203,263,217,2089,27,0.576,0.508,0.466,0.007,9.6,25.9,18,18.3,1,4.3,12.7,29,114,96,10.7,7.1,17.8,0.257,0.00030525
407,407,Tracy McGrady,SG,22,ORL,76,76,2912,715,1586,0.451,103,283,0.364,612,1303,0.47,415,555,0.748,150,447,597,400,119,73,189,139,1948,25.1,0.532,0.483,0.35,0.178,5.7,17.3,11.5,25.8,2.1,1.8,9.4,31.1,111,103,8.1,3.4,11.5,0.189,0.00030525
10,10,Allen Iverson,SG,27,PHI,82,82,3485,804,1940,0.414,84,303,0.277,720,1637,0.44,570,736,0.774,68,276,344,454,225,13,286,149,2262,21.2,0.5,0.436,0.379,0.156,2.3,9.5,5.8,25.1,3.4,0.3,11.2,32.9,103,102,5,4.2,9.2,0.127,0.31092437
36,36,Ben Wallace,C,28,DET,73,73,2873,210,437,0.481,1,6,0.167,209,431,0.485,85,189,0.45,293,833,1126,120,104,230,88,179,506,17.2,0.486,0.482,0.432,0.014,11.9,34.9,23.2,6.9,2,5.9,14.5,10.2,108,90,2.7,7.9,10.6,0.176,0.281512605
79,79,Chris Webber,PF,29,SAC,67,67,2622,661,1433,0.461,5,21,0.238,656,1412,0.465,215,354,0.607,160,544,704,364,106,88,215,204,1542,20.9,0.485,0.463,0.247,0.015,6.9,21.1,14.4,24.6,2,2.2,11.9,30.4,99,96,1.7,5.3,6.9,0.127,0.160310278
