"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.C. Green","122","PF",26,"LAL",82,82,2709,385,806,0.478,13,46,0.283,372,760,0.489,278,370,0.751,262,450,712,90,66,50,116,207,1061,14.7,0.548,0.486,0.459,0.057,11.5,18.4,15.1,4.6,1.2,1.1,10.7,17.1,116,107,4.4,3.3,7.7,0.137,0,0
"2","Adrian Branch","33","SF",26,"MIN",11,0,91,25,61,0.41,1,1,1,24,60,0.4,14,22,0.636,8,12,20,4,6,0,8,14,65,16.9,0.46,0.418,0.361,0.016,9.9,16.9,13.2,8.8,3.5,0,10.2,38.1,94,105,-0.1,0.1,0,0.014,0,0
"3","Adrian Caldwell","47","PF",23,"HOU",51,0,331,42,76,0.553,0,0,NA,42,76,0.553,13,28,0.464,36,73,109,7,11,18,32,69,97,9.5,0.549,0.553,0.368,0,11.7,22.9,17.4,2.8,1.6,3.2,26.6,14.8,91,100,-0.3,0.7,0.4,0.061,0,0
"4","Adrian Dantley","70","SF",33,"DAL",45,45,1300,231,484,0.477,0,2,0,231,482,0.479,200,254,0.787,78,94,172,80,20,7,75,99,662,15.4,0.556,0.477,0.525,0.004,6.9,8.1,7.5,9.6,0.8,0.3,11.2,22.6,113,112,2.2,0.8,3.1,0.113,0,0
"5","Alex English","101","SF",36,"DEN",80,80,2211,635,1293,0.491,2,5,0.4,633,1288,0.491,161,183,0.88,119,167,286,225,51,23,93,130,1433,17.9,0.522,0.492,0.142,0.004,5.3,8.4,6.8,15.6,1.1,0.6,6.3,26,110,110,3.3,1.7,5.1,0.11,0,0
"6","Alexander Volkov","349","C",25,"ATL",72,4,937,137,284,0.482,13,34,0.382,124,250,0.496,70,120,0.583,52,67,119,83,36,22,52,166,357,11.9,0.53,0.505,0.423,0.12,6.2,8.5,7.3,12.3,1.9,1.4,13.4,17.4,110,113,1,0.4,1.4,0.074,0,0
"7","Alton Lister","197","C",31,"GSW",3,0,40,4,8,0.5,0,1,0,4,7,0.571,4,7,0.571,5,3,8,2,1,0,0,8,12,10.9,0.542,0.5,0.875,0.125,14,7.6,10.7,6.4,1.1,0,0,11,134,116,0.1,0,0.1,0.125,0,0
"8","Alvin Robertson","282","SG",27,"MIL",81,81,2599,476,946,0.503,4,26,0.154,472,920,0.513,197,266,0.741,230,329,559,445,207,17,217,280,1153,18.9,0.542,0.505,0.281,0.027,10,14.7,12.3,25.6,3.9,0.4,17,20.6,110,104,3.6,3.9,7.5,0.138,0,0
"9","Andre Turner","340","PG",25,"TOT",11,0,115,11,38,0.289,0,2,0,11,36,0.306,4,4,1,4,4,8,23,8,0,12,6,26,6.2,0.327,0.289,0.105,0.053,4,4.1,4,27.5,3.4,0,23.2,19.1,74,110,-0.4,0.1,-0.3,-0.111,0,0
"10","Andrew Lang","185","C",23,"PHO",74,0,1011,97,174,0.557,0,0,NA,97,174,0.557,64,98,0.653,83,188,271,21,22,133,41,171,258,13.2,0.594,0.557,0.563,0,9.6,19.2,14.7,2.6,1,7.4,15.9,10.6,116,101,1.1,1.9,3,0.144,0,0
"11","Anthony Bowie","31","SG",26,"HOU",66,0,918,119,293,0.406,6,21,0.286,113,272,0.415,40,54,0.741,36,82,118,96,42,5,59,80,284,8.8,0.448,0.416,0.184,0.072,4.2,9.3,6.8,13.9,2.2,0.3,15.7,16.6,93,105,-0.6,1.3,0.7,0.037,0,0
"12","Anthony Jones","166","SG",27,"DAL",66,0,650,72,194,0.371,4,13,0.308,68,181,0.376,47,69,0.681,33,49,82,29,32,16,42,77,195,7.6,0.435,0.381,0.356,0.067,5.9,8.4,7.2,6.3,2.5,1.5,15.8,18,88,107,-0.8,0.8,0,-0.001,0,0
"13","Anthony Mason","213","PF",23,"NJN",21,0,108,14,40,0.35,0,0,NA,14,40,0.35,9,15,0.6,11,23,34,7,2,2,11,20,37,6.9,0.397,0.35,0.375,0,10.2,24.2,16.7,9.7,0.9,1.1,19.1,21.4,82,107,-0.2,0.1,-0.1,-0.055,0,0
"14","Antoine Carr","50","PF",28,"TOT",77,4,1727,356,721,0.494,0,7,0,356,714,0.499,237,298,0.795,115,207,322,119,30,68,125,247,949,16.4,0.557,0.494,0.413,0.01,7.5,13.8,10.6,10.8,0.9,2.4,12.8,24.2,109,111,2.4,1.1,3.5,0.097,0,0
"15","Armen Gilliam","114","PF",25,"TOT",76,66,2426,484,940,0.515,0,2,0,484,938,0.516,303,419,0.723,211,388,599,99,69,51,183,212,1271,16.6,0.565,0.515,0.446,0.002,9.4,19,14,6.4,1.4,1.3,14,22.9,106,109,2.3,2.3,4.5,0.09,0,0
"16","Avery Johnson","155","PG",24,"SEA",53,10,575,55,142,0.387,1,4,0.25,54,138,0.391,29,40,0.725,21,22,43,162,26,1,48,55,140,11.6,0.439,0.391,0.282,0.028,4.1,4.7,4.4,36.4,2.3,0.1,23.1,15.1,103,112,0.2,0.3,0.5,0.043,0,0
"17","B.J. Armstrong","14","PG",22,"CHI",81,0,1291,190,392,0.485,3,6,0.5,187,386,0.484,69,78,0.885,19,83,102,199,46,6,83,105,452,11.9,0.53,0.489,0.199,0.015,1.7,7.6,4.7,20.7,1.8,0.3,16.3,16.9,107,112,1,0.8,1.7,0.064,0,0
"18","Ben Coleman","58","PF",28,"MIL",22,0,305,46,97,0.474,0,1,0,46,96,0.479,34,41,0.829,31,56,87,12,7,7,26,54,126,12.2,0.548,0.474,0.423,0.01,11.5,21.4,16.4,5.6,1.1,1.4,18.4,19.4,104,107,0.1,0.4,0.5,0.079,0,0
