"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.C. Green","137","PF",29,"LAL",82,55,2819,379,706,0.537,16,46,0.348,363,660,0.55,277,375,0.739,287,424,711,116,88,39,116,149,1051,16.3,0.603,0.548,0.531,0.065,11.5,17.3,14.4,5.9,1.6,0.9,11.8,15,123,109,6.1,2.6,8.6,0.147,0,0
"2","Adam Keefe","179","PF",22,"ATL",82,6,1549,188,376,0.5,0,1,0,188,375,0.501,166,237,0.7,171,261,432,80,57,16,100,195,542,13.6,0.564,0.5,0.63,0.003,11.8,19.5,15.5,7,1.8,0.7,17.2,15.5,112,109,1.9,1.4,3.3,0.102,0,0
"3","Alaa Abdelnaby","1","PF",24,"TOT",75,52,1311,245,473,0.518,0,1,0,245,472,0.519,88,116,0.759,126,211,337,27,25,26,97,189,578,13.2,0.551,0.518,0.245,0.002,11,18.1,14.6,3,1,1.2,15.6,20.5,104,108,0.7,1.3,2,0.074,0,0
"4","Alan Ogg","255","C",25,"TOT",6,0,29,5,13,0.385,0,0,NA,5,13,0.385,3,4,0.75,3,7,10,4,1,3,3,6,13,15.7,0.44,0.385,0.308,0,11.6,28,19.7,19.4,1.7,6.7,16.9,26.2,92,103,0,0,0,0.02,0,0
"5","Alec Kessler","184","PF",26,"MIA",40,2,415,57,122,0.467,5,11,0.455,52,111,0.468,36,47,0.766,25,66,91,14,4,12,21,63,155,11.5,0.543,0.488,0.385,0.09,6.8,18.6,12.6,5.2,0.5,1.9,12.8,17.1,109,109,0.4,0.4,0.8,0.088,0,0
"6","Alex Blackwell","34","SF",22,"LAL",27,0,109,14,42,0.333,0,3,0,14,39,0.359,6,8,0.75,10,13,23,7,4,2,5,14,34,8.2,0.373,0.333,0.19,0.071,10.4,13.7,12,9.1,1.8,1.1,9.9,19.8,89,109,-0.1,0.1,0,-0.016,0,0
"7","Alex Stivrins","339","PF-SF",30,"TOT",19,0,76,19,39,0.487,0,2,0,19,37,0.514,3,4,0.75,7,12,19,3,2,2,7,11,41,13.5,0.503,0.487,0.103,0.051,10.3,17.8,14.1,6.2,1.3,1.6,14.7,26.2,94,108,-0.1,0.1,0,0.013,0,0
"8","Alonzo Mourning","241","C",22,"CHH",78,78,2644,572,1119,0.511,0,3,0,572,1116,0.513,495,634,0.781,263,542,805,76,27,271,236,286,1639,20.8,0.586,0.511,0.567,0.003,11.2,21,16.4,4.3,0.5,5.8,14.4,25.5,112,106,4.8,3.4,8.2,0.148,0,0
"9","Alton Lister","206","C",34,"GSW",20,9,174,19,42,0.452,0,0,NA,19,42,0.452,7,13,0.538,15,29,44,5,0,9,18,40,45,4.3,0.472,0.452,0.31,0,9.6,18.6,14.1,3.8,0,3.2,27.4,15.4,82,110,-0.3,0.1,-0.2,-0.043,0,0
"10","Alvin Robertson","294","SG",30,"TOT",69,54,2006,247,539,0.458,40,122,0.328,207,417,0.496,84,128,0.656,107,162,269,263,155,18,133,218,618,13.2,0.519,0.495,0.237,0.226,5.8,9.4,7.6,18.6,3.9,0.6,18.3,15.6,104,107,1,2.4,3.4,0.08,0,0
"11","Andre Spencer","331","SF",28,"TOT",20,1,422,73,163,0.448,0,2,0,73,161,0.453,41,54,0.759,38,43,81,24,17,7,26,64,187,12.8,0.501,0.448,0.331,0.012,10.1,11.4,10.7,8.2,1.9,1,12.2,20.6,105,110,0.3,0.3,0.6,0.071,0,0
"12","Andrew Lang","199","C",26,"PHI",73,59,1861,149,351,0.425,1,5,0.2,148,346,0.428,87,114,0.763,136,300,436,79,46,141,89,261,386,9.3,0.481,0.426,0.325,0.014,7.9,17.4,12.7,5.8,1.2,4.5,18.2,11.1,98,108,-0.2,2,1.7,0.045,0,0
"13","Anthony Avent","20","PF",23,"MIL",82,78,2285,347,802,0.433,0,2,0,347,800,0.434,112,172,0.651,180,332,512,91,57,73,140,237,806,10.2,0.459,0.433,0.214,0.002,9,17,12.9,5.9,1.2,2.1,13.8,19.1,93,110,-1.5,1.8,0.3,0.005,0,0
"14","Anthony Bonner","41","PF",24,"SAC",70,35,1764,229,497,0.461,0,7,0,229,490,0.467,143,241,0.593,188,267,455,96,86,17,105,183,601,12.3,0.498,0.461,0.485,0.014,11.4,17.5,14.3,7.6,2.3,0.6,14.8,16.4,103,108,0.6,1.8,2.4,0.067,0,0
"15","Anthony Bowie","42","SG",29,"ORL",77,45,1761,268,569,0.471,15,48,0.313,253,521,0.486,67,84,0.798,36,158,194,175,54,14,84,131,618,11.2,0.51,0.484,0.148,0.084,2.5,9.6,6.2,14.9,1.5,0.5,12.2,16.9,105,109,0.9,1.6,2.5,0.069,0,0
"16","Anthony Mason","221","PF",26,"NYK",81,0,2482,316,629,0.502,0,0,NA,316,629,0.502,199,292,0.682,231,409,640,170,43,19,137,240,831,12.9,0.549,0.502,0.464,0,10.7,17.8,14.3,10.1,0.9,0.5,15.3,15.6,111,101,2.7,4.7,7.4,0.143,0,0
"17","Anthony Peeler","267","SG",23,"LAL",77,11,1656,297,634,0.468,46,118,0.39,251,516,0.486,162,206,0.786,64,115,179,166,60,14,123,193,802,13.9,0.553,0.505,0.325,0.186,4.4,8,6.2,15.3,1.8,0.5,14.5,21.9,107,111,1.7,1,2.7,0.078,0,0
"18","Anthony Pullard","283","PF",26,"MIL",8,0,37,8,18,0.444,0,0,NA,8,18,0.444,1,3,0.333,2,6,8,2,2,2,5,5,17,9.2,0.44,0.444,0.167,0,6.2,18.9,12.5,8.8,2.7,3.5,20.6,28.2,76,105,-0.1,0,-0.1,-0.114,0,0
"19","Antoine Carr","62","PF",31,"SAS",71,46,1947,379,705,0.538,0,5,0,379,700,0.541,174,224,0.777,107,281,388,97,35,87,96,264,932,16.1,0.58,0.538,0.318,0.007,6.6,15.8,11.4,7.8,0.9,2.8,10.7,20.3,113,107,3.2,2.3,5.5,0.136,0,0
"20","Armen Gilliam","128","PF",28,"PHI",80,26,1742,359,774,0.464,0,1,0,359,773,0.464,274,325,0.843,136,336,472,116,37,54,157,123,992,17.5,0.541,0.464,0.42,0.001,8.5,20.8,14.7,11,1,1.8,14.6,26.1,104,109,1.2,1.6,2.8,0.077,0,0
"21","Avery Johnson","169","PG",27,"SAS",75,49,2030,256,510,0.502,0,8,0,256,502,0.51,144,182,0.791,20,126,146,561,85,16,145,141,656,15.8,0.556,0.502,0.357,0.016,1.2,6.8,4.1,39.1,2.1,0.5,19.7,15.9,114,109,3.3,1.9,5.2,0.122,0,0
"22","B.J. Armstrong","15","PG",25,"CHI",82,74,2492,408,818,0.499,63,139,0.453,345,679,0.508,130,151,0.861,27,122,149,330,66,6,83,169,1009,14.7,0.57,0.537,0.185,0.17,1.2,5.8,3.4,18.6,1.4,0.2,8.6,16.8,123,111,5.7,1.7,7.5,0.144,0,0
"23","Barry Stevens","336","SF",30,"GSW",2,0,6,1,2,0.5,0,0,NA,1,2,0.5,0,0,NA,2,0,2,0,0,0,0,1,2,15.2,0.5,0.5,0,0,37.2,0,18.6,0,0,0,0,13.6,137,119,0,0,0,0.157,0,0
"24","Bart Kofoed","193","SG",28,"BOS",7,0,41,3,13,0.231,0,1,0,3,12,0.25,11,14,0.786,0,1,1,10,2,1,3,1,17,14.9,0.444,0.231,1.077,0.077,0,2.7,1.4,30.5,2.5,1.5,13.5,23.5,102,110,0,0,0,0.054,0,0
"25","Benoit Benjamin","30","C",28,"TOT",59,6,754,133,271,0.491,0,0,NA,133,271,0.491,69,104,0.663,51,158,209,22,31,48,78,134,335,13.2,0.529,0.491,0.384,0,7.7,24.5,16,4.3,2.1,4.2,19.8,22.2,94,101,-0.5,1.4,0.9,0.057,0,0
"26","Bernard King","187","SF",36,"NJN",32,2,430,91,177,0.514,2,7,0.286,89,170,0.524,39,57,0.684,35,41,76,18,11,3,21,53,223,15.7,0.552,0.52,0.322,0.04,8.9,10.5,9.7,6.8,1.3,0.4,9.4,21.8,114,108,0.7,0.4,1.2,0.134,0,0
"27","Bill Cartwright","63","C",35,"CHI",63,63,1253,141,343,0.411,0,0,NA,141,343,0.411,72,98,0.735,83,150,233,83,20,10,62,154,354,8.3,0.458,0.411,0.286,0,7.4,14.3,10.7,8.7,0.8,0.5,13.8,15.5,100,109,0.1,1.1,1.2,0.048,0,0
"28","Bill Laimbeer","197","C",35,"DET",79,41,1933,292,574,0.509,10,27,0.37,282,547,0.516,93,104,0.894,110,309,419,127,46,40,59,212,687,14.3,0.554,0.517,0.181,0.047,6,18.5,12,9.7,1.2,1.3,8.7,15.1,118,108,3.3,2.1,5.4,0.133,0,0
"29","Billy Owens","259","PF",23,"GSW",37,37,1201,247,493,0.501,1,11,0.091,246,482,0.51,117,183,0.639,108,156,264,144,35,28,106,105,612,16.9,0.534,0.502,0.371,0.022,10,14.5,12.3,18,1.4,1.4,15.6,23.1,107,110,1.3,0.9,2.2,0.087,0,0
"30","Bimbo Coles","73","PG",24,"MIA",81,37,2232,318,686,0.464,42,137,0.307,276,549,0.503,177,220,0.805,58,108,166,373,80,11,108,199,855,14.7,0.546,0.494,0.321,0.2,2.9,5.7,4.3,26.1,1.8,0.3,12.1,17.3,117,111,4.3,1.4,5.7,0.122,0,0
"31","Bison Dele","92","PF",23,"ORL",21,0,240,40,78,0.513,0,1,0,40,77,0.519,16,20,0.8,24,32,56,5,14,17,25,48,96,12.9,0.553,0.513,0.256,0.013,12,14.2,13.2,3.2,2.9,4.3,22.4,20.1,96,101,-0.1,0.4,0.3,0.069,0,0
"32","Blair Rasmussen","286","C",30,"ATL",22,6,283,30,80,0.375,2,6,0.333,28,74,0.378,9,13,0.692,20,35,55,5,5,10,12,61,71,4.8,0.414,0.388,0.163,0.075,7.6,14.3,10.8,2.4,0.9,2.2,12.3,14.3,91,111,-0.2,0.2,0,-0.002,0,0
"33","Blue Edwards","104","SF",27,"MIL",82,81,2729,554,1083,0.512,37,106,0.349,517,977,0.529,237,300,0.79,123,259,382,214,129,45,175,242,1382,16.4,0.569,0.529,0.277,0.098,5.2,11.1,8.1,12.5,2.4,1.1,12.6,21.8,110,110,3.7,2,5.7,0.101,0,0
"34","Bo Kimble","185","SG",26,"NYK",9,0,55,14,33,0.424,2,8,0.25,12,25,0.48,3,8,0.375,3,8,11,5,1,0,6,10,33,9.6,0.452,0.455,0.242,0.242,6.3,15.7,11.1,16.5,0.9,0,14.1,33.4,87,102,-0.1,0.1,0,-0.025,0,0
"35","Bob McCann","226","SF",28,"MIN",79,7,1536,200,410,0.488,0,2,0,200,408,0.49,95,152,0.625,92,190,282,68,51,58,79,202,495,10.9,0.519,0.488,0.371,0.005,7.3,14.8,11.1,7,1.7,2.4,14.2,16.1,101,111,0.2,1.1,1.3,0.041,0,0
"36","Bobby Phills","273","SG",23,"CLE",31,0,139,38,82,0.463,2,5,0.4,36,77,0.468,15,25,0.6,6,11,17,10,10,2,18,19,93,14.2,0.5,0.476,0.305,0.061,5.2,8.7,7,12.2,3.6,0.9,16.2,35.4,89,104,-0.3,0.2,-0.1,-0.027,0,0
"37","Brad Daugherty","85","C",27,"CLE",71,71,2691,520,911,0.571,1,2,0.5,519,909,0.571,391,492,0.795,164,562,726,312,53,56,150,174,1432,22,0.635,0.571,0.54,0.002,7.3,22.9,15.5,17.3,1,1.3,11.7,21.1,125,105,8.8,3.9,12.7,0.226,59,835
"38","Brad Lohaus","207","PF",28,"MIL",80,24,1766,283,614,0.461,85,230,0.37,198,384,0.516,73,101,0.723,59,217,276,127,47,74,93,178,724,13.3,0.55,0.53,0.164,0.375,3.8,14.3,9,10.8,1.3,2.7,12.4,18.2,107,110,1.4,1.3,2.7,0.073,0,0
"39","Brad Sellers","316","PF",30,"MIN",54,4,533,49,130,0.377,0,1,0,49,129,0.38,37,39,0.949,27,56,83,46,6,11,27,40,135,8.4,0.459,0.377,0.3,0.008,6.1,12.5,9.4,12.8,0.6,1.3,15.5,14.5,98,115,-0.1,0.1,0,0.004,0,0
"40","Brent Price","281","PG",24,"WSB",68,9,859,100,279,0.358,8,48,0.167,92,231,0.398,54,68,0.794,28,75,103,154,56,3,85,90,262,9.3,0.424,0.373,0.244,0.172,3.6,10,6.7,25,3.2,0.2,21.6,19.5,86,109,-1.4,0.7,-0.6,-0.035,0,0
"41","Brian Howard","159","SF",25,"DAL",68,22,1295,183,414,0.442,1,7,0.143,182,407,0.447,72,94,0.766,66,146,212,67,55,34,68,217,439,9.7,0.482,0.443,0.227,0.017,5.1,13.4,8.8,7.8,2,1.7,13,16.5,98,113,-0.2,0.5,0.3,0.011,0,0
"42","Brian Shaw","318","PG",26,"MIA",68,45,1603,197,501,0.393,43,130,0.331,154,371,0.415,61,78,0.782,70,187,257,235,48,19,96,163,498,11.3,0.465,0.436,0.156,0.259,4.9,13.7,9.2,22.3,1.5,0.8,15.2,17.1,102,109,0.4,1.4,1.8,0.054,0,0
"43","Bryant Stith","338","SG",22,"DEN",39,12,865,124,278,0.446,0,4,0,124,274,0.453,99,119,0.832,39,85,124,49,24,5,44,82,347,11.7,0.525,0.446,0.428,0.014,4.7,10.5,7.6,8.1,1.3,0.3,11.8,17.6,109,109,0.8,0.8,1.6,0.09,0,0
"44","Buck Johnson","170","SF",29,"WSB",73,19,1287,193,403,0.479,0,3,0,193,400,0.483,92,126,0.73,78,117,195,89,36,18,70,187,478,10.7,0.521,0.479,0.313,0.007,6.7,10.4,8.5,10.1,1.4,0.9,13.2,17.5,104,112,0.6,0.7,1.2,0.046,0,0
"45","Buck Williams","369","PF",32,"POR",82,82,2498,270,528,0.511,0,1,0,270,527,0.512,138,214,0.645,232,458,690,75,81,61,101,270,678,11.9,0.545,0.511,0.405,0.002,9.9,20.7,15.1,4.1,1.6,1.5,14,11.9,112,104,2.3,3.8,6.1,0.117,0,0
"46","Byron Houston","158","SG",23,"GSW",79,8,1274,145,325,0.446,2,7,0.286,143,318,0.45,129,194,0.665,119,196,315,69,44,43,87,253,421,10.6,0.513,0.449,0.597,0.022,10.4,17.2,13.8,7.1,1.7,2.1,17.5,15.9,103,108,0.5,1.3,1.8,0.068,0,0
"47","Byron Irvin","162","SG",26,"WSB",4,2,45,9,18,0.5,1,1,1,8,17,0.471,3,6,0.5,2,2,4,2,1,0,4,5,22,9.5,0.533,0.528,0.333,0.056,4.9,5.1,5,7,1.1,0,16.2,23.3,94,115,0,0,0,-0.028,0,0
"48","Byron Scott","312","SG",31,"LAL",58,53,1677,296,659,0.449,44,135,0.326,252,524,0.481,156,184,0.848,27,107,134,157,55,13,70,98,792,14.4,0.535,0.483,0.279,0.205,1.8,7.3,4.6,14.2,1.6,0.5,8.6,20.7,112,112,2.4,0.9,3.3,0.094,0,0
"49","Carl Herrera","150","PF",26,"HOU",81,12,1800,240,444,0.541,0,2,0,240,442,0.543,125,176,0.71,148,306,454,61,47,35,92,190,605,13.1,0.58,0.541,0.396,0.005,9.9,18.2,14.3,4.9,1.3,1.2,15,15,112,105,2.1,2.6,4.6,0.123,0,0
"50","Cedric Ceballos","66","SF",23,"PHO",74,46,1607,381,662,0.576,0,2,0,381,660,0.577,187,258,0.725,172,236,408,77,54,28,106,103,949,21,0.612,0.576,0.39,0.003,12.2,16,14.1,7.4,1.6,1,12,22.6,120,107,4.3,1.9,6.2,0.186,0,0
"51","Charles Barkley","24","PF",29,"PHO",76,76,2859,716,1376,0.52,67,220,0.305,649,1156,0.561,445,582,0.765,237,691,928,385,119,74,233,196,1944,25.9,0.596,0.545,0.423,0.16,9.5,26.3,18.1,21.2,2,1.6,12.5,26.9,120,103,9.6,4.8,14.4,0.242,22,647
"52","Charles Jones","176","C",35,"WSB",67,21,1206,33,63,0.524,0,1,0,33,62,0.532,22,38,0.579,87,190,277,42,38,77,38,144,88,7.8,0.552,0.524,0.603,0.016,8,18.1,12.9,4.3,1.5,3.9,32.3,4.2,107,108,0.3,1.3,1.6,0.063,0,0
