"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","Aaron McKie","273","SF",34,"LAL",10,0,131,11,17,0.647,0,0,NA,11,17,0.647,0,0,NA,1,17,18,13,4,0,8,14,22,7.5,0.647,0.647,0,0,0.9,15.1,8,14.4,1.6,0,32,8.6,101,110,0,0.1,0.1,0.039,0,0
"2","Aaron Williams","439","PF",35,"LAC",38,7,374,29,53,0.547,0,1,0,29,52,0.558,18,22,0.818,27,58,85,7,7,14,18,56,76,9.4,0.606,0.547,0.415,0.019,8.7,18.4,13.6,2.9,1,2.9,22.3,10,108,105,0.2,0.4,0.7,0.089,0,0
"3","Adam Morrison","288","PF",22,"CHA",78,23,2326,355,944,0.376,87,258,0.337,268,686,0.391,120,169,0.71,54,176,230,163,28,6,130,179,917,7.9,0.45,0.422,0.179,0.273,2.7,9.2,5.9,11.9,0.6,0.2,11.3,22.4,91,112,-2.2,0.8,-1.5,-0.03,0,0
"4","Adonal Foyle","132","C",31,"GSW",48,6,475,48,85,0.565,0,0,NA,48,85,0.565,11,25,0.44,51,75,126,19,11,50,23,61,107,13.7,0.557,0.565,0.294,0,11.5,17.7,14.6,5.5,1.1,8,19.3,10.7,110,104,0.4,0.6,1,0.104,0,0
"5","Adrian Griffin","159","SF",32,"CHI",54,1,585,61,129,0.473,0,6,0,61,123,0.496,15,19,0.789,40,69,109,59,32,4,38,78,137,10.7,0.499,0.473,0.147,0.047,7.9,13.4,10.6,15.2,2.8,0.5,21.7,13.3,99,98,0.1,1.2,1.3,0.103,0,0
"6","Al Harrington","164","PF",26,"TOT",78,78,2563,495,1083,0.457,127,293,0.433,368,790,0.466,168,242,0.694,151,345,496,149,65,24,169,269,1285,14.8,0.54,0.516,0.223,0.271,6.5,15.4,10.9,9.8,1.3,0.7,12.4,23.1,104,108,2,2.2,4.3,0.08,0,0
"7","Al Jefferson","212","C",22,"BOS",69,60,2319,453,882,0.514,0,1,0,453,881,0.514,201,295,0.681,237,519,756,88,48,106,136,232,1107,19.8,0.547,0.514,0.334,0.001,12,27.4,19.5,7.2,1.1,3.5,11.8,22.4,109,103,3.3,3.3,6.6,0.137,0,0
"8","Alan Anderson","10","SG",24,"CHA",17,0,256,37,81,0.457,5,20,0.25,32,61,0.525,19,23,0.826,11,21,32,21,7,0,22,33,98,10.1,0.538,0.488,0.284,0.247,4.9,10,7.4,13.8,1.4,0,19.4,20.1,97,110,0,0.1,0.1,0.024,0,0
"9","Alan Henderson","176","PF",34,"PHI",38,5,418,43,67,0.642,0,0,NA,43,67,0.642,33,47,0.702,48,59,107,10,9,12,12,62,119,15.7,0.679,0.642,0.701,0,13.8,16.9,15.4,3.8,1.1,2.2,12,11,136,106,1.1,0.4,1.6,0.181,0,0
"10","Alexander Johnson","215","PF",23,"MEM",59,19,753,91,169,0.538,0,0,NA,91,169,0.538,78,118,0.661,50,131,181,17,25,35,47,137,260,13.2,0.588,0.538,0.698,0,7.9,20.8,14.4,3.6,1.7,3.5,17.5,16.1,107,108,0.7,0.6,1.3,0.083,0,0
"11","Allan Ray","345","SG",22,"BOS",47,5,710,100,259,0.386,48,116,0.414,52,143,0.364,42,55,0.764,18,51,69,43,20,3,42,85,290,10,0.512,0.479,0.212,0.448,3,8.8,5.8,10.5,1.5,0.3,12.9,20.8,99,109,0.1,0.5,0.6,0.039,0,0
"12","Allen Iverson","199","SG-PG",31,"TOT",65,64,2761,581,1313,0.442,62,197,0.315,519,1116,0.465,485,610,0.795,23,170,193,468,123,13,268,95,1709,19.6,0.54,0.466,0.465,0.15,1,6.9,4,29.6,2.2,0.3,14.5,29.3,106,108,4,2.2,6.2,0.108,0,0
"13","Alonzo Mourning","289","C",36,"MIA",77,43,1572,238,425,0.56,0,0,NA,238,425,0.56,185,308,0.601,126,224,350,18,13,178,129,219,661,16.7,0.59,0.56,0.725,0,9.7,16.4,13.1,2,0.4,9,18.7,20.8,103,102,1,2.5,3.5,0.107,0,0
