"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.C. Green","149","PF",30,"PHO",82,55,2825,465,926,0.502,8,35,0.229,457,891,0.513,266,362,0.735,275,478,753,137,70,38,100,142,1204,17,0.555,0.506,0.391,0.038,11.1,18.8,15,6.9,1.2,0.8,8.4,17.6,120,107,6.7,2.6,9.3,0.157,0,0
"2","Aaron Williams","382","PF",22,"UTA",6,0,12,2,8,0.25,0,0,NA,2,8,0.25,0,1,0,1,2,3,1,0,0,1,4,4,-7,0.237,0.25,0.125,0,9.8,19,14.4,13,0,0,10.6,34.8,58,106,-0.1,0,-0.1,-0.327,0,0
"3","Acie Earl","106","C",23,"BOS",74,8,1149,151,372,0.406,0,1,0,151,371,0.407,108,160,0.675,85,162,247,12,24,53,72,178,410,9.2,0.463,0.406,0.43,0.003,8.3,16,12.1,1.5,1,2.9,14,19.4,92,108,-0.7,0.9,0.2,0.008,0,0
"4","Adam Keefe","200","PF",23,"ATL",63,1,763,96,213,0.451,0,0,NA,96,213,0.451,81,111,0.73,77,124,201,34,20,9,60,80,273,12,0.521,0.451,0.521,0,11.1,17.9,14.5,6.4,1.3,0.8,18.6,18.1,101,103,0.3,1.1,1.4,0.091,0,0
"5","Adonis Jordan","198","PG",23,"DEN",6,0,79,6,23,0.261,3,10,0.3,3,13,0.231,0,0,NA,3,3,6,19,0,1,6,6,15,5.6,0.326,0.326,0,0.435,4.4,4.1,4.2,33.3,0,0.8,20.7,15.6,86,110,-0.1,0,-0.1,-0.037,0,0
"6","Alaa Abdelnaby","1","PF",25,"BOS",13,0,159,24,55,0.436,0,0,NA,24,55,0.436,16,25,0.64,12,34,46,3,2,3,17,20,64,9.2,0.485,0.436,0.455,0,8.5,24.2,16.3,2.7,0.6,1.2,20.5,22.6,86,108,-0.2,0.1,-0.1,-0.032,0,0
"7","Alec Kessler","205","PF",27,"MIA",15,0,66,11,25,0.44,5,9,0.556,6,16,0.375,6,8,0.75,4,6,10,2,1,1,5,14,33,11.8,0.579,0.54,0.32,0.36,6.9,10.3,8.6,4.7,0.8,1,14.9,21.9,109,109,0.1,0,0.1,0.102,0,0
"8","Allan Houston","175","SG",22,"DET",79,20,1519,272,671,0.405,35,117,0.299,237,554,0.428,89,108,0.824,19,101,120,100,34,13,99,165,668,9,0.465,0.431,0.161,0.174,1.4,7.5,4.4,10.5,1.1,0.6,12.1,23.6,91,114,-1.3,0.1,-1.2,-0.038,0,0
"9","Alonzo Mourning","259","C",23,"CHH",60,59,2018,427,845,0.505,0,2,0,427,843,0.507,433,568,0.762,177,433,610,86,27,188,199,207,1287,21.7,0.588,0.505,0.672,0.002,10,23,16.7,6.6,0.7,5.7,15.4,27.3,109,105,3.8,2.5,6.3,0.151,0,0
"10","Alphonso Ford","127","PG",22,"SEA",6,0,16,7,13,0.538,1,1,1,6,12,0.5,1,2,0.5,0,0,0,1,2,0,1,2,16,28.9,0.576,0.577,0.154,0.077,0,0,0,15.3,6.3,0,6.7,39.9,108,99,0,0,0.1,0.193,0,0
"11","Andre Spencer","344","SF",29,"TOT",28,1,349,52,118,0.441,0,0,NA,52,118,0.441,55,77,0.714,30,43,73,22,19,7,21,43,159,15.6,0.523,0.441,0.653,0,9.2,13.6,11.4,9.5,2.7,1.3,12.1,20.8,108,107,0.4,0.3,0.8,0.109,0,0
"12","Andres Guibert","153","C",25,"MIN",5,0,33,6,20,0.3,0,0,NA,6,20,0.3,3,6,0.5,10,6,16,2,0,1,6,6,15,6.1,0.331,0.3,0.3,0,36.4,20.8,28.4,10.5,0,1.9,20.9,37.9,74,110,-0.2,0,-0.2,-0.243,0,0
"13","Andrew Gaze","136","SG",28,"WSB",7,0,70,8,17,0.471,4,8,0.5,4,9,0.444,2,2,1,1,6,7,5,2,1,3,9,22,10.5,0.615,0.588,0.118,0.471,1.6,10.2,5.8,10.3,1.4,0.9,14.4,12.8,117,114,0.1,0,0.1,0.074,0,0
"14","Andrew Lang","218","C",27,"ATL",82,0,1608,215,458,0.469,1,4,0.25,214,454,0.471,73,106,0.689,126,187,313,51,38,87,81,192,504,11,0.499,0.471,0.231,0.009,8.6,12.8,10.7,4.6,1.2,3.5,13.8,15.6,101,103,0.5,2.4,2.9,0.087,0,0
"15","Anfernee Hardaway","158","PG",22,"ORL",82,82,3015,509,1092,0.466,50,187,0.267,459,905,0.507,245,330,0.742,192,247,439,544,190,51,292,205,1313,17.4,0.531,0.489,0.302,0.171,7.2,9.1,8.2,26.6,3.2,1.1,19.1,21.7,107,106,3.8,3.3,7.1,0.112,0,0
"16","Anthony Avent","20","PF",24,"TOT",74,40,1371,150,398,0.377,0,0,NA,150,398,0.377,89,123,0.724,144,194,338,65,33,31,85,147,389,9.2,0.43,0.377,0.309,0,11.7,16.4,14,6.8,1.2,1.5,15.8,16.9,93,109,-0.6,1,0.4,0.014,0,0
"17","Anthony Bonner","37","SF",25,"NYK",73,38,1402,162,288,0.563,0,0,NA,162,288,0.563,50,105,0.476,150,194,344,88,76,13,89,175,374,12.6,0.56,0.563,0.365,0,12.4,15.4,13.9,9.4,2.8,0.7,21,13.2,105,96,0.9,3.2,4.1,0.14,0,0
"18","Anthony Bowie","38","SG",30,"ORL",70,0,948,139,289,0.481,1,18,0.056,138,271,0.509,41,49,0.837,29,91,120,102,32,12,58,81,320,11.5,0.515,0.483,0.17,0.062,3.5,10.7,7.1,15.4,1.7,0.8,15.7,16.6,104,108,0.6,0.7,1.3,0.065,0,0
"19","Anthony Cook","76","PF",26,"TOT",25,0,203,26,54,0.481,0,1,0,26,53,0.491,10,25,0.4,20,36,56,4,3,14,12,22,62,11.3,0.477,0.481,0.463,0.019,10.7,21.6,15.8,3.1,0.8,4.6,15.6,16.4,93,107,-0.1,0.2,0.1,0.02,0,0
"20","Anthony Mason","242","PF",27,"NYK",73,12,1903,206,433,0.476,0,1,0,206,432,0.477,116,161,0.72,158,269,427,151,31,9,107,190,528,10.8,0.524,0.476,0.372,0.002,9.6,15.7,12.7,11.7,0.8,0.3,17.5,14.1,107,101,1.6,3.3,4.9,0.123,0,0
"21","Anthony Peeler","285","SG",24,"LAL",30,30,923,176,409,0.43,14,63,0.222,162,346,0.468,57,71,0.803,48,61,109,94,43,8,59,93,423,13.4,0.48,0.447,0.174,0.154,5.4,7.5,6.4,15.9,2.3,0.5,11.8,22.8,100,111,0.3,0.4,0.8,0.04,0,0
"22","Antoine Carr","61","PF",32,"SAS",34,0,465,78,160,0.488,0,1,0,78,159,0.491,42,58,0.724,12,39,51,15,9,22,15,75,198,12.8,0.534,0.488,0.363,0.006,3.1,9,6.2,5.1,1,3.1,7.5,19.3,112,106,0.7,0.5,1.2,0.124,0,0
"23","Antonio Davis","88","PF",25,"IND",81,4,1732,216,425,0.508,0,1,0,216,424,0.509,194,302,0.642,190,315,505,55,45,84,107,189,626,15.2,0.561,0.508,0.711,0.002,13.2,20.3,16.9,4.7,1.3,3.3,16.1,16.8,110,102,2.3,2.8,5,0.139,0,0
"24","Antonio Harvey","163","PF",23,"LAL",27,6,247,29,79,0.367,0,0,NA,29,79,0.367,12,26,0.462,26,33,59,5,8,19,17,39,70,8,0.387,0.367,0.329,0,11,15.1,13,2.8,1.6,4.8,15.8,18.3,82,107,-0.4,0.2,-0.2,-0.039,0,0
"25","Armen Gilliam","139","PF",29,"NJN",82,5,1969,348,682,0.51,0,1,0,348,681,0.511,274,361,0.759,197,303,500,69,38,61,106,129,970,18.5,0.577,0.51,0.529,0.001,10.4,16.5,13.4,5.6,1,1.9,11.2,20.3,117,106,4.6,2.2,6.8,0.166,0,0
"26","Avery Johnson","189","PG",28,"GSW",82,70,2332,356,724,0.492,0,12,0,356,712,0.5,178,253,0.704,41,135,176,433,113,8,172,160,890,13.9,0.533,0.492,0.349,0.017,1.9,6.2,4.1,25.3,2.3,0.2,17.1,17.8,108,109,2.6,1.5,4.1,0.085,0,0
"27","B.J. Armstrong","15","PG",26,"CHI",82,82,2770,479,1007,0.476,60,135,0.444,419,872,0.481,194,227,0.855,28,142,170,323,80,9,131,147,1212,14.5,0.547,0.505,0.225,0.134,1.2,6,3.6,18,1.5,0.2,10.6,19.8,113,107,4.9,2.6,7.5,0.13,0,0
"28","Ben Coleman","71","PF",32,"DET",9,0,77,12,25,0.48,0,0,NA,12,25,0.48,4,8,0.5,10,16,26,0,2,2,7,9,28,11.6,0.491,0.48,0.32,0,14.2,23.4,18.7,0,1.3,1.7,19.7,20.2,90,107,-0.1,0.1,0,-0.004,0,0
"29","Benoit Benjamin","28","C",29,"NJN",77,74,1817,283,589,0.48,0,0,NA,283,589,0.48,152,214,0.71,135,364,499,44,35,90,97,198,718,14.2,0.525,0.48,0.363,0,7.7,21.5,14.5,3.8,1,3.1,12.4,18.1,105,103,1.4,2.6,4.1,0.107,0,0
"30","Bill Cartwright","62","C",36,"CHI",42,41,780,98,191,0.513,0,0,NA,98,191,0.513,39,57,0.684,43,109,152,57,8,8,50,83,235,10.1,0.544,0.513,0.298,0,6.4,16.4,11.4,10.5,0.5,0.7,18.8,15.1,103,105,0.4,0.9,1.3,0.077,0,0
"31","Bill Edwards","107","PF",22,"PHI",3,0,44,2,18,0.111,0,5,0,2,13,0.154,2,5,0.4,5,9,14,4,3,1,4,6,6,-0.4,0.149,0.111,0.278,0.278,12.4,22.5,17.5,12.3,3.4,1.4,16.5,23.9,48,103,-0.3,0.1,-0.3,-0.282,0,0
"32","Bill Laimbeer","217","C",36,"DET",11,5,248,47,90,0.522,3,9,0.333,44,81,0.543,11,13,0.846,9,47,56,14,6,4,10,30,108,15.6,0.564,0.539,0.144,0.1,4,21.3,12.5,9.2,1.2,1,9.5,18.7,111,109,0.4,0.2,0.5,0.106,0,0
"33","Bill Wennington","371","C",30,"CHI",76,0,1371,235,482,0.488,0,2,0,235,480,0.49,72,88,0.818,117,236,353,70,43,29,75,214,542,14,0.52,0.488,0.183,0.004,10,20.2,15.1,7.9,1.6,1.5,12.6,19.2,106,101,1.3,2.3,3.5,0.124,0,0
