"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.C. Green","103","PF",24,"LAL",82,64,2636,322,640,0.503,0,2,0,322,638,0.505,293,379,0.773,245,465,710,93,87,45,120,204,937,14.5,0.581,0.503,0.592,0.003,11.1,19.1,15.3,4.5,1.6,1,12.9,14.7,119,106,4.5,3.4,7.9,0.144,0,0
"2","Adrian Branch","31","SF",24,"NJN",20,3,308,56,134,0.418,1,5,0.2,55,129,0.426,20,23,0.87,20,28,48,16,16,11,29,41,133,10.4,0.461,0.422,0.172,0.037,7.3,10.9,9,8.3,2.5,2.2,16.8,23.7,89,108,-0.5,0.3,-0.1,-0.021,0,0
"3","Adrian Dantley","62","SF",31,"DET",69,50,2144,444,863,0.514,0,2,0,444,861,0.516,492,572,0.86,84,143,227,171,39,10,135,144,1380,19.9,0.619,0.514,0.663,0.002,4.5,7.3,5.9,11.9,0.9,0.3,10.8,24.2,124,109,7.5,1.9,9.4,0.21,47,665
"4","Albert King","148","SF",28,"PHI",72,44,1593,211,540,0.391,17,49,0.347,194,491,0.395,78,103,0.757,71,145,216,109,39,18,93,219,517,7.2,0.442,0.406,0.191,0.091,5.2,10.6,7.9,10.1,1.2,0.7,13.7,18,94,113,-0.9,0.8,-0.1,-0.004,0,0
"5","Alex English","85","SF",34,"DEN",80,80,2818,843,1704,0.495,0,6,0,843,1698,0.496,314,379,0.828,166,207,373,377,70,23,181,193,2000,19.8,0.535,0.495,0.222,0.004,6,8,7,20.5,1.1,0.5,8.8,28.4,111,110,5.3,2.2,7.6,0.129,16,527
"6","Allen Leavell","157","SG",30,"HOU",80,54,2150,291,666,0.437,19,88,0.216,272,578,0.471,218,251,0.869,22,126,148,405,124,9,130,162,819,14.3,0.527,0.451,0.377,0.132,1.1,6.1,3.6,25.3,2.7,0.2,14.3,16.9,111,107,2.6,2.5,5.1,0.115,0,0
"7","Alton Lister","162","C",29,"SEA",82,55,1812,173,343,0.504,1,2,0.5,172,341,0.504,114,188,0.606,200,427,627,58,27,140,90,319,461,12,0.541,0.506,0.548,0.006,12.1,27.2,19.5,4,0.7,4.8,17.5,11.4,110,104,1.4,2.8,4.1,0.11,0,0
"8","Alvan Adams","3","C",33,"PHO",82,25,1646,251,506,0.496,1,2,0.5,250,504,0.496,108,128,0.844,118,247,365,183,82,41,140,245,611,13.1,0.543,0.497,0.253,0.004,8,17,12.5,14.9,2.4,1.4,19.9,17.4,103,109,0.6,1.6,2.2,0.064,0,0
"9","Alvin Robertson","235","SG",25,"SAS",82,82,2978,655,1408,0.465,27,95,0.284,628,1313,0.478,273,365,0.748,165,333,498,557,243,69,251,300,1610,18.9,0.513,0.475,0.259,0.067,5.9,12.2,9,26.1,3.8,1.3,13.8,24.1,106,109,3.1,2.8,5.8,0.094,0,0
"10","Andre Moore","192","PF-SF",23,"TOT",10,0,50,9,27,0.333,0,0,NA,9,27,0.333,6,8,0.75,6,8,14,6,2,1,4,6,24,12.1,0.393,0.333,0.296,0,12.4,17.6,14.9,16.1,1.8,1.1,11.6,27.2,90,105,-0.1,0.1,0,-0.013,0,0
