"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.J. Price","339","PG",24,"IND",50,0,795,114,320,0.356,41,149,0.275,73,171,0.427,54,81,0.667,16,56,72,111,29,1,53,61,323,10.7,0.454,0.42,0.253,0.466,2.3,7.8,5,22.7,1.8,0.1,13,22.7,95,109,-0.4,0.7,0.3,0.02,0,0
"2","Aaron Brooks","64","PG",26,"TOT",59,12,1284,220,587,0.375,70,236,0.297,150,351,0.427,124,140,0.886,20,58,78,233,34,3,99,115,634,13.1,0.489,0.434,0.239,0.402,1.8,5.2,3.5,28.9,1.3,0.2,13.2,25.9,102,113,0.7,0.4,1.1,0.04,0,0
"3","Aaron Gray","175","C",26,"NOH",41,6,531,56,99,0.566,0,0,NA,56,99,0.566,17,34,0.5,59,112,171,16,11,12,32,96,129,11,0.566,0.566,0.343,0,13.4,25.8,19.6,4.7,1.1,1.9,21.9,13.1,105,103,0.3,0.8,1.1,0.1,0,0
"4","Acie Law","256","PG",26,"TOT",51,0,726,81,186,0.435,6,36,0.167,75,150,0.5,47,64,0.734,12,51,63,84,32,0,43,61,215,9.9,0.502,0.452,0.344,0.194,1.9,8.2,5,16.3,2.2,0,16.7,15.7,100,112,0.1,0.3,0.4,0.027,0,0
"5","Al Harrington","187","PF",30,"DEN",73,3,1665,281,675,0.416,117,328,0.357,164,347,0.473,86,117,0.735,76,256,332,101,39,10,106,202,765,12.3,0.527,0.503,0.173,0.486,5.4,17.2,11.5,9.6,1.2,0.5,12.7,22.3,101,108,0.6,1.5,2.1,0.06,0,0
"6","Al Horford","209","C",24,"ATL",77,77,2704,513,921,0.557,2,4,0.5,511,917,0.557,150,188,0.798,182,536,718,266,59,80,119,193,1178,20.7,0.587,0.558,0.204,0.004,8.2,23.7,16,17.5,1.2,2.3,10.6,19.7,118,105,6.4,3.7,10.1,0.179,0,0
"7","Al Jefferson","229","C",26,"UTA",82,82,2940,654,1319,0.496,0,0,NA,654,1319,0.496,220,289,0.761,235,559,794,149,46,153,105,238,1528,20.1,0.528,0.496,0.219,0,9.6,23.2,16.3,9.2,0.8,4.2,6.8,24.2,111,108,5.1,2.7,7.8,0.128,0,0
"8","Al Thornton","399","SF-PF",27,"TOT",71,23,1383,205,431,0.476,4,26,0.154,201,405,0.496,110,142,0.775,56,157,213,62,35,12,64,143,524,11.7,0.531,0.48,0.329,0.06,4.5,13.4,8.8,7.2,1.3,0.7,11.5,17.8,105,112,1,0.6,1.6,0.054,0,0
"9","Al-Farouq Aminu","11","SF",20,"LAC",81,14,1452,160,406,0.394,45,143,0.315,115,263,0.437,92,119,0.773,75,192,267,60,59,25,103,121,457,9.6,0.499,0.45,0.293,0.352,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,94,108,-0.8,1.4,0.7,0.022,0,0
"10","Alexis Ajinca","4","C",22,"TOT",34,2,340,59,133,0.444,12,34,0.353,47,99,0.475,13,18,0.722,17,61,78,10,11,19,18,73,143,12.2,0.507,0.489,0.135,0.256,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,98,107,0,0.4,0.4,0.052,0,0
