"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.C. Green","141","PF",28,"LAL",82,53,2902,382,803,0.476,12,56,0.214,370,747,0.495,340,457,0.744,306,456,762,117,91,36,111,141,1116,16.7,0.556,0.483,0.569,0.07,11.8,18.2,14.9,6,1.6,0.8,10,16.8,119,108,5.8,2.9,8.8,0.145,0,0
"2","A.J. English","112","SG",24,"WSB",81,6,1665,366,846,0.433,6,34,0.176,360,812,0.443,148,176,0.841,74,94,168,143,32,9,89,160,886,12.5,0.48,0.436,0.208,0.04,4.8,6.3,5.5,13.7,0.9,0.3,8.8,25.6,100,113,0.1,0.7,0.9,0.025,0,0
"3","Alaa Abdelnaby","1","PF",23,"POR",71,1,934,178,361,0.493,0,0,NA,178,361,0.493,76,101,0.752,81,179,260,30,25,16,66,132,432,13.5,0.533,0.493,0.28,0,9.5,20.9,15.2,4.7,1.3,1.1,14,20.6,105,103,0.6,1.5,2.1,0.11,0,0
"4","Alan Ogg","251","C",24,"MIA",43,0,367,46,84,0.548,0,0,NA,46,84,0.548,16,30,0.533,30,44,74,7,5,28,19,73,108,9.8,0.556,0.548,0.357,0,9,13.6,11.3,2.7,0.7,4.6,16.4,13.3,106,110,0.2,0.3,0.5,0.063,0,0
"5","Albert King","186","SF",32,"WSB",6,0,59,11,30,0.367,2,7,0.286,9,23,0.391,7,8,0.875,1,10,11,5,3,0,2,7,31,14.3,0.462,0.4,0.267,0.233,1.8,19,10.2,12.8,2.5,0,5.6,25.4,101,106,0,0.1,0.1,0.072,0,0
"6","Alec Kessler","184","PF",25,"MIA",77,4,1197,158,383,0.413,0,0,NA,158,383,0.413,94,115,0.817,114,200,314,34,17,32,58,185,410,10.2,0.473,0.413,0.3,0,10.5,18.9,14.6,4.1,0.7,1.6,11.8,17.2,102,111,0.3,0.9,1.2,0.049,0,0
"7","Alexander Volkov","359","C",27,"ATL",77,27,1516,251,569,0.441,35,110,0.318,216,459,0.471,125,198,0.631,103,162,265,250,66,30,102,178,662,15.5,0.504,0.472,0.348,0.193,7.1,11.6,9.3,23.2,2.1,1.2,13.5,20.6,108,109,1.6,1.4,3,0.096,0,0
"8","Alton Lister","207","C",33,"GSW",26,12,293,44,79,0.557,0,0,NA,44,79,0.557,14,33,0.424,21,71,92,14,5,16,20,61,102,11.2,0.545,0.557,0.418,0,8,26,17.2,6,0.8,3.2,17.6,15.5,102,106,0.1,0.4,0.4,0.071,0,0
"9","Alvin Robertson","292","SG",29,"MIL",82,79,2463,396,922,0.43,67,210,0.319,329,712,0.462,151,198,0.763,175,175,350,360,210,32,223,263,1010,15,0.5,0.466,0.215,0.228,7.8,8.5,8.1,21.7,4.3,0.8,18.1,21,103,108,1,2.7,3.6,0.071,0,0
"10","Andre Turner","352","PG",27,"WSB",70,3,871,111,261,0.425,1,16,0.063,110,245,0.449,61,77,0.792,17,73,90,177,57,2,84,59,284,12.1,0.482,0.427,0.295,0.061,2.1,9.4,5.7,28.2,3.2,0.1,22.2,18.3,94,108,-0.6,0.9,0.4,0.021,0,0
