"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.C. Green","146","PF",35,"DAL",50,35,924,108,256,0.422,0,8,0,108,248,0.435,30,52,0.577,82,146,228,25,28,8,19,69,246,12.5,0.441,0.422,0.203,0.031,9.9,17.8,13.9,4.5,1.6,0.6,6.4,14.8,102,104,0.7,0.7,1.4,0.074,0,0
"2","Aaron McKie","251","SG",26,"PHI",50,4,959,95,237,0.401,6,31,0.194,89,206,0.432,44,62,0.71,27,113,140,100,63,3,57,90,240,11.4,0.454,0.414,0.262,0.131,3.2,14,8.5,17.9,3.6,0.2,17.7,15.2,93,96,-0.1,1.7,1.6,0.082,0,0
"3","Aaron Williams","418","PF",27,"SEA",40,2,458,52,123,0.423,0,1,0,52,122,0.426,54,74,0.73,54,74,128,22,14,24,30,75,158,15.2,0.508,0.423,0.602,0.008,13.4,18.9,16.1,7.8,1.6,3.9,16.2,18.4,105,103,0.6,0.4,1.1,0.11,0,0
"4","Adam Keefe","198","PF",28,"UTA",44,0,642,56,124,0.452,0,4,0,56,120,0.467,62,89,0.697,51,91,142,28,16,12,33,63,174,12.2,0.533,0.452,0.718,0.032,10.5,16.1,13.5,7.2,1.4,1.4,16.8,14.6,106,99,0.8,0.9,1.7,0.126,0,0
"5","Adonal Foyle","128","C",23,"GSW",44,0,614,52,121,0.43,0,0,NA,52,121,0.43,25,51,0.49,79,115,194,18,15,43,31,90,129,12.3,0.45,0.43,0.421,0,13.5,20.5,16.9,4.7,1.3,5.2,17.8,12.6,95,97,0.1,1,1.1,0.087,0,0
"6","Adonis Jordan","196","PG",28,"MIL",4,0,18,2,4,0.5,0,2,0,2,2,1,2,4,0.5,0,0,0,3,3,0,2,0,6,18.9,0.521,0.5,1,0.5,0,0,0,27,9.2,0,25.8,20.6,91,94,0,0,0,0.081,0,0
"7","Al Harrington","155","PF",18,"IND",21,0,160,18,56,0.321,0,5,0,18,51,0.353,9,15,0.6,20,19,39,5,4,2,11,26,45,6.4,0.359,0.321,0.268,0.089,15.1,13.8,14.5,5.2,1.4,0.9,14.9,22,82,105,-0.3,0.1,-0.2,-0.049,0,0
"8","Alan Henderson","160","SF",26,"ATL",38,37,1142,187,423,0.442,0,1,0,187,422,0.443,100,149,0.671,100,150,250,28,33,19,58,96,474,16,0.485,0.442,0.352,0.002,10.3,15.3,12.8,5.2,1.6,1.2,10.6,22.5,102,97,1.2,1.9,3.1,0.131,0,0
"9","Allan Houston","172","SG",27,"NYK",50,50,1815,294,703,0.418,57,140,0.407,237,563,0.421,168,195,0.862,20,132,152,137,35,9,130,115,813,13.1,0.515,0.459,0.277,0.199,1.3,8.3,4.9,15,1.1,0.4,14.1,24.3,98,102,1.1,1.8,2.9,0.078,0,0
"10","Allen Iverson","178","SG",23,"PHI",48,48,1990,435,1056,0.412,58,199,0.291,377,857,0.44,356,474,0.751,66,170,236,223,110,7,167,98,1284,22.2,0.508,0.439,0.449,0.188,3.8,10.1,6.9,24.2,3,0.3,11.7,32.6,105,99,4.3,2.9,7.2,0.173,44,827
"11","Alonzo Mourning","269","C",28,"MIA",46,46,1753,324,634,0.511,0,2,0,324,632,0.513,276,423,0.652,166,341,507,74,34,180,139,161,924,24.6,0.563,0.511,0.667,0.003,12.3,22,17.5,8.7,1.1,7.7,14.5,27.1,107,93,4,3.9,7.9,0.216,36,773
"12","Alvin Sims","356","SG",24,"PHO",4,0,25,4,10,0.4,1,1,1,3,9,0.333,2,5,0.4,3,1,4,5,2,0,6,2,11,10.9,0.451,0.45,0.5,0.1,13.7,4.7,9.3,34.2,4.3,0,33,33.6,77,102,-0.1,0,-0.1,-0.139,0,0
"13","Alvin Williams","419","PG",24,"TOR",50,45,1051,95,237,0.401,14,42,0.333,81,195,0.415,44,52,0.846,19,63,82,130,51,12,56,94,248,10.4,0.477,0.43,0.219,0.177,2.1,7,4.5,20.7,2.6,0.9,17.7,13.6,100,106,0.5,0.6,1.2,0.053,0,0
"14","Andrae Patterson","298","PF",23,"MIN",35,0,284,43,97,0.443,0,5,0,43,92,0.467,28,36,0.778,30,35,65,15,19,7,22,62,114,14.5,0.505,0.443,0.371,0.052,11,14.9,12.8,8.6,3.5,1.9,16.3,20.9,99,97,0.2,0.5,0.7,0.114,0,0
"15","Andrew DeClercq","99","C",25,"TOT",47,32,1102,138,276,0.5,0,0,NA,138,276,0.5,95,141,0.674,104,151,255,31,50,29,54,161,371,15,0.549,0.5,0.511,0,11.5,17,14.3,5.1,2.5,2.1,13.8,17,107,99,1.6,1.5,3.1,0.136,0,0
"16","Andrew Gaze","136","SG",33,"SAS",19,0,58,8,25,0.32,5,16,0.313,3,9,0.333,0,0,NA,2,3,5,6,2,1,4,7,21,8.5,0.42,0.42,0,0.64,4.1,5.5,4.8,17.8,1.9,1.2,13.8,23.2,88,99,-0.1,0.1,0,0.025,0,0
"17","Andrew Lang","214","C",32,"CHI",21,13,386,32,99,0.323,0,0,NA,32,99,0.323,16,23,0.696,33,60,93,13,5,12,17,43,80,7,0.367,0.323,0.232,0,9.6,19.3,14.2,6.1,0.7,2.4,13.5,15.4,81,103,-0.5,0.3,-0.1,-0.017,0,0
