"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.C. Green","147","SF",32,"PHO",82,36,2113,215,444,0.484,14,52,0.269,201,392,0.513,168,237,0.709,166,388,554,72,45,23,79,141,612,12.9,0.558,0.5,0.534,0.117,9.2,20.9,15.2,4.9,1.1,0.8,12.6,13.2,115,109,2.7,1.7,4.4,0.1,0,0
"2","Aaron McKie","244","SG",23,"POR",81,73,2259,337,722,0.467,38,117,0.325,299,605,0.494,152,199,0.764,86,218,304,205,92,21,135,205,864,13.4,0.534,0.493,0.276,0.162,4.4,10.9,7.7,14.6,2.1,0.7,14.3,18.3,108,104,2.1,3.2,5.3,0.113,0,0
"3","Acie Earl","107","C",25,"TOR",42,7,655,117,276,0.424,0,3,0,117,273,0.429,82,114,0.719,51,78,129,27,18,37,49,73,316,14.1,0.484,0.424,0.413,0.011,9.2,14.3,11.7,6.9,1.4,4.3,13.1,25.2,98,111,-0.1,0.4,0.3,0.02,0,0
"4","Adam Keefe","192","PF",25,"UTA",82,0,1708,180,346,0.52,0,4,0,180,342,0.526,139,201,0.692,176,279,455,64,51,41,88,174,499,13.8,0.574,0.52,0.581,0.012,13,19.5,16.3,5.5,1.6,2,16.8,14,114,105,2.3,2.3,4.6,0.13,0,0
"5","Adrian Caldwell","58","PF",29,"IND",51,1,327,46,83,0.554,0,0,NA,46,83,0.554,18,36,0.5,42,68,110,6,9,5,35,73,110,10.4,0.556,0.554,0.434,0,16.6,25.2,21,3,1.5,1.2,26.2,18.8,94,103,-0.2,0.5,0.3,0.044,0,0
"6","Alan Henderson","162","PF",23,"ATL",79,4,1416,192,434,0.442,0,3,0,192,431,0.445,119,200,0.595,164,192,356,51,44,43,87,217,503,12.9,0.482,0.442,0.461,0.007,13.2,16.7,14.9,5.8,1.7,2.4,14.3,19.3,102,107,0.5,1.6,2,0.069,0,0
"7","Allan Houston","171","SG",24,"DET",82,75,3072,564,1244,0.453,191,447,0.427,373,797,0.468,298,362,0.823,54,246,300,250,61,16,233,233,1617,15.7,0.576,0.53,0.291,0.359,2.2,9.3,5.9,15.5,1.1,0.4,14.2,25.4,108,108,4.2,3,7.1,0.112,0,0
"8","Alonzo Mourning","260","C",25,"MIA",70,70,2671,563,1076,0.523,9,30,0.3,554,1046,0.53,488,712,0.685,218,509,727,159,70,189,262,245,1623,22.7,0.584,0.527,0.662,0.028,9.7,21.7,15.9,11.4,1.4,5.5,15.9,28.1,109,99,4.4,5.5,9.9,0.178,109,1114
"9","Alton Lister","214","C",37,"TOT",64,19,735,51,105,0.486,0,0,NA,51,105,0.486,41,64,0.641,67,213,280,19,6,42,48,136,143,9.6,0.537,0.486,0.61,0,10.1,33.6,21.5,3.6,0.4,4,26.5,10.7,97,105,-0.1,1,0.9,0.06,0,0
"10","Alvin Heggs","161","SF",28,"HOU",4,0,14,3,5,0.6,0,0,NA,3,5,0.6,2,3,0.667,1,1,2,0,0,0,0,0,8,20.7,0.633,0.6,0.6,0,8.3,7.9,8.1,0,0,0,0,20.3,135,115,0.1,0,0.1,0.196,0,0
"11","Alvin Robertson","321","SG",33,"TOR",77,69,2478,285,607,0.47,41,151,0.272,244,456,0.535,107,158,0.677,110,232,342,323,166,36,183,268,718,12.7,0.531,0.503,0.26,0.249,5.3,11.2,8.2,19.7,3.5,1.1,21.3,15.3,103,110,0.9,1.9,2.8,0.054,0,0
"12","Andrew DeClercq","93","C",22,"GSW",22,1,203,24,50,0.48,0,1,0,24,49,0.49,11,19,0.579,18,21,39,9,7,5,4,30,59,12.1,0.505,0.48,0.38,0.02,10.1,12,11.1,6.8,1.8,1.8,6.4,13.4,116,110,0.3,0.1,0.4,0.102,0,0
"13","Andrew Lang","207","C",29,"TOT",71,69,2365,353,790,0.447,1,5,0.2,352,785,0.448,125,156,0.801,153,302,455,65,42,126,124,241,832,11.9,0.484,0.447,0.197,0.006,7.5,15.6,11.4,4.6,0.9,4.1,12.6,18.6,99,108,0.1,2.3,2.3,0.047,0,0
"14","Andy Toolson","384","SF",30,"UTA",13,0,53,8,22,0.364,3,12,0.25,5,10,0.5,3,4,0.75,0,6,6,1,0,0,2,12,22,4.4,0.463,0.432,0.182,0.545,0,13.5,6.9,2.9,0,0,7.8,22.2,93,111,0,0,0,-0.003,0,0
"15","Anfernee Hardaway","154","PG",24,"ORL",82,82,3015,623,1215,0.513,89,283,0.314,534,932,0.573,445,580,0.767,129,225,354,582,166,41,229,160,1780,24.6,0.605,0.549,0.477,0.233,5.1,8.5,6.8,32.2,2.9,1,13.5,25.5,122,107,11,3.4,14.4,0.229,0,574
"16","Anthony Avent","19","PF",26,"VAN",71,32,1586,179,466,0.384,0,0,NA,179,466,0.384,57,77,0.74,108,247,355,69,30,42,107,202,415,6.9,0.415,0.384,0.165,0,7.7,18.9,13.1,7.4,1,2,17.6,17.5,82,108,-2.8,1.6,-1.2,-0.037,0,0
"17","Anthony Bonner","35","PF",27,"ORL",4,0,43,5,15,0.333,0,0,NA,5,15,0.333,3,7,0.429,6,13,19,4,3,0,3,11,13,11.3,0.36,0.333,0.467,0,16.6,34.4,25.7,13.5,3.6,0,14.2,22.2,88,96,-0.1,0.1,0,0.04,0,0
