"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.J. Guyton","146","PG",24,"GSW",2,0,9,0,4,0,0,1,0,0,3,0,0,0,NA,0,0,0,2,1,0,1,0,0,-9,0,0,0,0.25,0,0,0,28.7,5.7,0,20,23.6,24,107,-0.1,0,-0.1,-0.45,0,0
"2","Aaron McKie","250","SF",30,"PHI",80,40,2374,286,666,0.429,37,112,0.33,249,554,0.449,112,134,0.836,61,289,350,278,131,9,109,177,721,13.7,0.497,0.457,0.201,0.168,3,14.5,8.7,18.6,2.9,0.3,13.1,15.8,104,102,2.1,3,5.1,0.104,0,0
"3","Aaron Williams","408","C",31,"NJN",81,0,1597,199,439,0.453,0,1,0,199,438,0.454,102,130,0.785,137,194,331,88,27,57,85,206,500,11.9,0.504,0.453,0.296,0.002,9.8,13.9,11.8,9,0.9,2.7,14.6,16.4,103,100,1.2,2.4,3.7,0.11,0,0
"4","Adam Harrington","154","SG",22,"TOT",19,0,111,11,37,0.297,5,14,0.357,6,23,0.261,3,4,0.75,1,7,8,12,2,1,2,8,30,7.4,0.387,0.365,0.108,0.378,1,7.5,4.1,18,0.9,0.7,4.9,16.5,92,107,0,0.1,0,0.017,0,0
"5","Adonal Foyle","127","C",27,"GSW",82,0,1787,185,345,0.536,0,1,0,185,344,0.538,70,104,0.673,176,314,490,37,40,205,73,214,440,15.3,0.563,0.536,0.301,0.003,10.6,18.5,14.6,3.1,1.1,7.6,15.7,11,113,104,2.3,1.7,4,0.106,0,0
"6","Adrian Griffin","143","SG",28,"DAL",74,48,1373,146,337,0.433,6,24,0.25,140,313,0.447,27,32,0.844,88,176,264,105,77,6,47,157,325,11.5,0.463,0.442,0.095,0.071,7.1,14.1,10.6,11,2.9,0.3,11.8,13.2,103,101,0.9,1.9,2.9,0.1,0,0
"7","Al Harrington","155","SF",22,"IND",82,37,2467,389,896,0.434,13,46,0.283,376,850,0.442,211,274,0.77,159,352,511,125,71,33,163,280,1002,12.4,0.493,0.441,0.306,0.051,7.4,15.7,11.6,8.8,1.5,1,13.8,21.6,97,102,0.7,3.2,3.9,0.075,0,0
"8","Alan Henderson","165","C",30,"ATL",82,3,1494,153,327,0.468,0,2,0,153,325,0.471,88,138,0.638,156,242,398,41,33,32,61,168,394,12.1,0.508,0.468,0.422,0.006,12.4,17.8,15.2,4.5,1.2,1.5,13.6,13.8,106,106,1.5,1.1,2.6,0.083,0,0
"9","Allan Houston","172","SG",31,"NYK",82,82,3108,652,1465,0.445,178,450,0.396,474,1015,0.467,363,395,0.919,26,205,231,220,54,7,178,191,1845,17.7,0.563,0.506,0.27,0.307,1,7.9,4.4,13.2,0.9,0.2,9.8,27,109,110,6.6,0.6,7.2,0.111,0,0
"10","Allen Iverson","181","SG",27,"PHI",82,82,3485,804,1940,0.414,84,303,0.277,720,1637,0.44,570,736,0.774,68,276,344,454,225,13,286,149,2262,21.2,0.5,0.436,0.379,0.156,2.3,9.5,5.8,25.1,3.4,0.3,11.2,32.9,103,102,5,4.2,9.2,0.127,60,962
"11","Alton Ford","120","PF",21,"PHO",11,0,31,3,9,0.333,0,0,NA,3,9,0.333,1,3,0.333,0,6,6,1,0,0,2,7,7,-2.2,0.339,0.333,0.333,0,0,22.1,10.9,4.9,0,0,16.2,17.8,64,104,-0.1,0,-0.1,-0.113,0,0
"12","Alvin Williams","409","PG",28,"TOR",78,78,2638,396,905,0.438,48,146,0.329,348,759,0.458,187,239,0.782,55,190,245,416,111,21,128,170,1027,16.7,0.508,0.464,0.264,0.161,2.3,8.6,5.3,27.7,2.2,0.6,11.2,19.7,108,108,4.4,1.2,5.5,0.101,0,0
"13","Amal McCaskill","246","C",29,"ATL",11,0,70,4,17,0.235,0,0,NA,4,17,0.235,3,4,0.75,7,15,22,5,3,1,2,13,11,7.3,0.293,0.235,0.235,0,11.9,23.5,17.9,10.8,2.3,1,9.6,13.6,85,102,-0.1,0.1,0,0.015,0,0
"14","Amar'e Stoudemire","363","PF",20,"PHO",82,71,2570,392,830,0.472,2,10,0.2,390,820,0.476,320,484,0.661,250,471,721,78,62,87,189,269,1106,16.2,0.53,0.473,0.583,0.012,10.9,20.9,15.9,5,1.3,2.5,15.3,21.5,103,101,2.6,3.6,6.2,0.116,0,0
"15","Andre Miller","255","PG",26,"LAC",80,80,2913,377,928,0.406,23,108,0.213,354,820,0.432,311,391,0.795,84,232,316,537,99,11,206,203,1088,15.2,0.495,0.419,0.421,0.116,3.3,9,6.1,31.3,1.8,0.3,15.8,20.3,105,109,3.6,1,4.6,0.076,0,0
"16","Andrei Kirilenko","210","SF",21,"UTA",80,11,2213,315,642,0.491,37,114,0.325,278,528,0.527,296,370,0.8,147,273,420,138,118,175,136,185,963,21.1,0.598,0.519,0.576,0.178,8.4,14.4,11.5,10.6,2.9,6.1,14.5,19.6,116,98,5.3,3.8,9.2,0.199,0,0
"17","Andrew DeClercq","97","C",29,"ORL",77,21,1327,149,279,0.534,0,0,NA,149,279,0.534,67,104,0.644,142,197,339,52,39,36,84,258,365,11.3,0.562,0.534,0.373,0,11.9,17.5,14.6,6.2,1.5,2,20.5,13.8,106,104,1.3,1.3,2.6,0.095,0,0
"18","Anfernee Hardaway","151","SG",31,"PHO",58,51,1777,256,573,0.447,26,73,0.356,230,500,0.46,77,97,0.794,66,192,258,235,66,26,145,150,615,13,0.499,0.469,0.169,0.127,4.2,12.3,8.2,21.5,1.9,1.1,19.1,19.2,97,103,0.4,1.9,2.3,0.062,0,0
"19","Ansu Sesay","344","SF",26,"SEA",45,4,448,41,107,0.383,0,0,NA,41,107,0.383,12,21,0.571,34,39,73,23,14,5,25,62,94,6.1,0.404,0.383,0.196,0,8.8,10.4,9.6,8.1,1.7,0.9,17.7,14.8,86,106,-0.4,0.4,-0.1,-0.007,0,0
"20","Antawn Jamison","191","SF",26,"GSW",82,82,3226,691,1471,0.47,65,209,0.311,626,1262,0.496,375,475,0.789,195,383,578,156,76,45,177,197,1822,19,0.542,0.492,0.323,0.142,6.5,12.5,9.5,8.6,1.2,0.9,9.5,24.5,113,111,8.2,0.3,8.5,0.126,0,0
