"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"19","Anthony Mason","229","PF",28,"NYK",77,11,2496,287,507,0.566,0,1,0,287,506,0.567,191,298,0.641,182,468,650,240,69,21,123,253,765,14.9,0.599,0.566,0.588,0.002,8.9,21.2,15.3,15,1.5,0.6,16.2,14,119,102,4.2,4.4,8.6,0.166,0,0
"20","Anthony Miller","240","PF",23,"LAL",46,1,527,70,132,0.53,2,5,0.4,68,127,0.535,47,76,0.618,67,85,152,35,20,7,38,77,189,14.7,0.571,0.538,0.576,0.038,14.1,17.8,15.9,9.6,1.9,0.9,18.7,16.6,111,108,0.6,0.6,1.2,0.111,0,0
"21","Anthony Peeler","274","SG",25,"LAL",73,24,1559,285,659,0.432,84,216,0.389,201,443,0.454,102,128,0.797,62,106,168,122,52,13,82,143,756,13.8,0.528,0.496,0.194,0.328,4.4,7.5,6,12.2,1.7,0.6,10.3,22,108,113,1.6,0.8,2.4,0.073,0,0
"22","Anthony Tucker","364","SF",25,"WSB",62,13,982,96,210,0.457,0,1,0,96,209,0.459,51,83,0.614,44,126,170,68,46,11,56,129,243,9.2,0.493,0.457,0.395,0.005,5,15.3,10,9.9,2.4,0.8,18.5,13.5,97,110,-0.2,0.9,0.6,0.03,0,0
"23","Antoine Carr","56","C",33,"UTA",78,4,1677,290,546,0.531,1,4,0.25,289,542,0.533,165,201,0.821,81,184,265,67,24,68,87,253,746,13.9,0.588,0.532,0.368,0.007,6.4,13,9.9,6.2,0.7,3.3,12.1,19.5,113,108,2.4,1.9,4.3,0.123,0,0
"24","Antonio Davis","80","PF",26,"IND",44,1,1030,109,245,0.445,0,0,NA,109,245,0.445,117,174,0.672,105,175,280,25,19,29,64,134,335,11.9,0.521,0.445,0.71,0,12.6,20.1,16.4,3.7,1,2.2,16.6,17.1,105,105,0.5,1.5,2,0.095,0,0
"25","Antonio Harvey","156","PF",24,"LAL",59,8,572,77,176,0.438,1,1,1,76,175,0.434,24,45,0.533,39,63,102,23,15,41,25,87,179,10.3,0.457,0.44,0.256,0.006,7.5,12.2,9.9,5.8,1.3,5,11.3,16.6,97,109,-0.2,0.6,0.4,0.032,0,0
"26","Antonio Lang","203","SF",22,"PHO",12,0,53,4,10,0.4,0,0,NA,4,10,0.4,3,4,0.75,3,1,4,1,0,2,5,11,11,0.3,0.468,0.4,0.4,0,6.5,2.2,4.3,2.4,0,2.8,29.8,13.7,78,116,-0.1,0,-0.1,-0.083,0,0
"27","Armen Gilliam","133","PF",30,"NJN",82,30,2472,455,905,0.503,0,2,0,455,903,0.504,302,392,0.77,192,421,613,99,67,89,152,171,1212,18.1,0.562,0.503,0.433,0.002,8.5,18.7,13.6,7.2,1.4,2.5,12.4,21.8,111,107,3.6,3,6.6,0.128,0,0
"28","Askia Jones","182","SG",23,"MIN",11,0,139,15,44,0.341,2,12,0.167,13,32,0.406,13,16,0.813,6,5,11,16,6,0,9,19,45,8.3,0.441,0.364,0.364,0.273,5.4,4.4,4.9,19.3,2.3,0,15,19.7,94,115,-0.1,0,-0.1,-0.021,0,0
"29","Avery Johnson","178","PG",29,"SAS",82,82,3011,448,863,0.519,3,22,0.136,445,841,0.529,202,295,0.685,49,159,208,670,114,13,207,154,1101,15.7,0.554,0.521,0.342,0.025,1.9,5.7,3.9,33.4,1.9,0.3,17.3,17.5,114,109,5.1,3,8,0.128,0,0
"30","B.J. Armstrong","13","PG",27,"CHI",82,82,2577,418,894,0.468,108,253,0.427,310,641,0.484,206,233,0.884,25,161,186,244,84,8,103,159,1150,15.1,0.577,0.528,0.261,0.283,1.1,7.4,4.3,14.7,1.7,0.2,9.4,19,119,108,5.4,2.8,8.1,0.152,0,0
"31","B.J. Tyler","367","PG",23,"PHI",55,8,809,72,189,0.381,16,51,0.314,56,138,0.406,35,50,0.7,13,49,62,174,36,2,97,58,195,8.5,0.462,0.423,0.265,0.27,1.9,7.1,4.5,32.8,2.3,0.2,31.5,17,87,112,-1.2,0.5,-0.7,-0.039,0,0
"32","Benoit Benjamin","25","C",30,"NJN",61,57,1598,271,531,0.51,0,0,NA,271,531,0.51,133,175,0.76,94,346,440,38,23,64,125,151,675,13.9,0.555,0.51,0.33,0,6.4,23.7,15.1,4.2,0.7,2.8,17.1,20.1,100,106,0.1,2.1,2.2,0.066,0,0
"33","Bill Cartwright","57","C",37,"SEA",29,19,430,27,69,0.391,0,0,NA,27,69,0.391,15,24,0.625,25,62,87,10,6,3,18,70,69,4,0.434,0.391,0.348,0,7,16.8,12,3,0.7,0.5,18.5,9.8,91,109,-0.2,0.4,0.2,0.021,0,0
"34","Bill Curley","76","PF",22,"DET",53,1,595,58,134,0.433,0,0,NA,58,134,0.433,27,36,0.75,54,70,124,25,21,21,25,128,143,9,0.477,0.433,0.269,0,10.6,13.9,12.2,6.2,1.8,2.6,14.3,13.2,103,112,0.1,0.4,0.5,0.042,0,0
"35","Bill Wennington","378","C",31,"CHI",73,1,956,156,317,0.492,0,4,0,156,313,0.498,51,63,0.81,64,126,190,40,22,17,39,198,363,11.6,0.527,0.492,0.199,0.013,7.9,15.5,11.7,6.5,1.2,1.3,10.2,17.9,110,105,1,1.3,2.3,0.116,0,0
"36","Billy Owens","270","SG",25,"MIA",70,60,2296,403,820,0.491,2,22,0.091,401,798,0.503,194,313,0.62,203,299,502,246,80,30,204,205,1002,15.6,0.523,0.493,0.382,0.027,10.2,15.6,12.8,17.3,1.8,1,17.6,22.3,103,109,1.2,2.1,3.2,0.067,0,0
"37","Bimbo Coles","68","PG",26,"MIA",68,65,2207,261,607,0.43,16,76,0.211,245,531,0.461,141,174,0.81,46,145,191,416,99,13,156,185,679,12.5,0.497,0.443,0.287,0.125,2.4,7.9,5.1,27.9,2.3,0.5,18.6,16.8,105,111,1.2,1.6,2.8,0.06,0,0
"38","Bison Dele","89","C",25,"DEN",63,10,1261,196,333,0.589,0,0,NA,196,333,0.589,106,162,0.654,98,200,298,53,38,43,114,210,498,13.9,0.616,0.589,0.486,0,9.6,18.5,14.2,6.8,1.6,2.5,22,18.5,105,107,0.8,1.5,2.3,0.089,0,0
"39","Blue Edwards","103","SF",29,"TOT",67,7,1112,181,393,0.461,22,75,0.293,159,318,0.5,75,90,0.833,50,80,130,77,43,16,81,143,459,11.6,0.531,0.489,0.229,0.191,5.5,8.5,7,10.7,2,1.1,15.8,20.5,101,109,0.2,1,1.2,0.053,0,0
"40","Bo Outlaw","268","PF",23,"LAC",81,31,1655,170,325,0.523,0,5,0,170,320,0.531,82,186,0.441,121,192,313,84,90,151,78,227,422,13.3,0.519,0.523,0.572,0.015,8.1,14.6,11.1,7.6,2.8,6.7,16.1,12.7,102,106,0.3,2.2,2.5,0.071,0,0
"41","Bob Martin","226","C",25,"LAC",1,0,14,1,5,0.2,0,0,NA,1,5,0.2,0,0,NA,2,0,2,1,0,1,0,2,2,3.3,0.2,0.2,0,0,15.8,0,8.4,10.2,0,5.2,0,15.5,76,117,0,0,0,-0.107,0,0
"42","Bobby Hurley","173","PG",23,"SAC",68,6,1105,103,284,0.363,21,76,0.276,82,208,0.394,58,76,0.763,14,56,70,226,29,0,110,79,285,7.7,0.449,0.4,0.268,0.268,1.5,5.8,3.7,30.6,1.4,0,25.7,17.2,91,111,-1.1,0.8,-0.3,-0.014,0,0
"43","Bobby Phills","283","SG",25,"CLE",80,79,2500,338,816,0.414,19,55,0.345,319,761,0.419,183,235,0.779,90,175,265,180,115,25,113,206,878,12.2,0.477,0.426,0.288,0.067,4.4,9,6.6,12.9,2.6,0.8,10.9,19.8,101,105,0.5,3.6,4,0.078,0,0
"44","Brad Lohaus","210","PF",30,"MIA",61,1,730,97,231,0.42,63,155,0.406,34,76,0.447,10,15,0.667,28,74,102,43,20,25,29,85,267,12.7,0.562,0.556,0.065,0.671,4.4,12.1,8.2,8.9,1.4,2.6,10.9,16.1,113,110,0.9,0.6,1.5,0.099,0,0
