"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.C. Green","98","PF",22,"LAL",82,1,1542,209,388,0.539,1,6,0.167,208,382,0.545,102,167,0.611,160,221,381,54,49,49,99,229,521,11.8,0.564,0.54,0.43,0.015,12.4,15.5,14,4.2,1.5,1.7,17.7,14.7,108,105,1.4,2,3.3,0.103,0,0
"2","Adrian Dantley","62","SF",29,"UTA",76,75,2744,818,1453,0.563,1,11,0.091,817,1442,0.567,630,796,0.791,178,217,395,264,64,4,231,206,2267,24.6,0.629,0.563,0.548,0.008,7.2,8.5,7.8,16.7,1.1,0.1,11.4,30,121,109,10.4,2.3,12.8,0.223,73,765
"3","Al Wood","319","SG",27,"SEA",78,34,1749,355,817,0.435,5,37,0.135,350,780,0.449,187,239,0.782,80,164,244,114,57,19,107,171,902,13.5,0.489,0.438,0.293,0.045,5.3,11.4,8.3,10.3,1.6,0.7,10.4,24.6,102,107,0.7,1.8,2.5,0.068,0,0
"4","Albert King","151","SF",26,"NJN",73,69,1998,438,961,0.456,4,23,0.174,434,938,0.463,167,203,0.823,116,250,366,181,58,24,181,205,1047,13.3,0.498,0.458,0.211,0.024,6.5,14.1,10.3,13.4,1.3,0.7,14.7,24.6,99,108,0,1.9,1.9,0.045,0,0
"5","Alex English","80","SF",32,"DEN",81,81,3024,951,1888,0.504,1,5,0.2,950,1883,0.505,511,593,0.862,192,213,405,320,73,29,249,235,2414,21.7,0.562,0.504,0.314,0.003,6.3,7.7,7,17,1.1,0.5,10.4,30.5,113,110,7.6,2.3,9.8,0.156,5,407
"6","Alex Stivrins","258","SF",23,"SEA",3,0,14,1,4,0.25,0,0,NA,1,4,0.25,1,4,0.25,3,0,3,1,0,0,3,2,3,-5.9,0.26,0.25,1,0,24.7,0,12.7,9.3,0,0,34.2,26.2,57,114,-0.1,0,-0.1,-0.347,0,0
"7","Alfredrick Hughes","121","SG",23,"SAS",68,0,866,152,372,0.409,3,17,0.176,149,355,0.42,49,84,0.583,49,64,113,61,26,5,63,79,356,8.2,0.435,0.413,0.226,0.046,6.6,8.2,7.4,9.6,1.4,0.3,13.3,21.9,89,111,-1,0.5,-0.5,-0.029,0,0
"8","Allen Leavell","158","PG",28,"HOU",74,12,1190,212,458,0.463,24,67,0.358,188,391,0.481,135,158,0.854,6,61,67,234,58,8,88,126,583,15.6,0.553,0.489,0.345,0.146,0.5,5.6,3,25.4,2.3,0.4,14.3,20.2,113,110,2.1,0.9,3,0.122,0,0
"9","Alton Lister","163","C",27,"MIL",81,19,1812,318,577,0.551,0,2,0,318,575,0.553,160,266,0.602,199,393,592,101,49,142,161,300,796,16.4,0.573,0.551,0.461,0.003,12.4,23.9,18.2,7.6,1.3,4.6,18.8,18.9,106,98,1.6,3.8,5.5,0.144,0,0
"10","Alvan Adams","2","C",31,"PHO",78,45,2005,341,679,0.502,0,2,0,341,677,0.504,159,203,0.783,148,329,477,324,103,46,206,272,841,15.3,0.547,0.502,0.299,0.003,8.9,18.1,13.7,22.5,2.4,1.3,21.1,19.4,104,105,1.2,2.7,3.9,0.094,0,0
"11","Alvin Robertson","232","SG",23,"SAS",82,82,2878,562,1093,0.514,8,29,0.276,554,1064,0.521,260,327,0.795,184,332,516,448,301,40,256,296,1392,19.5,0.563,0.518,0.299,0.027,7.5,12.8,10.2,21.8,4.8,0.8,17.1,20.9,109,103,4,4.6,8.6,0.143,0,205
"12","Andrew Toney","276","SG",28,"PHI",6,0,84,11,36,0.306,0,2,0,11,34,0.324,3,8,0.375,2,3,5,12,2,0,7,8,25,2.1,0.316,0.306,0.222,0.056,2.7,4,3.3,19.5,1.1,0,15,22.3,74,112,-0.3,0,-0.2,-0.128,0,0
"13","Antoine Carr","36","PF",24,"ATL",17,0,258,49,93,0.527,0,0,NA,49,93,0.527,18,27,0.667,16,36,52,14,7,15,14,51,116,14.4,0.553,0.527,0.29,0,6.9,15.3,11.1,8,1.3,3.4,11.8,18.8,110,104,0.3,0.4,0.7,0.127,0,0
"14","Artis Gilmore","92","C",36,"SAS",71,71,2395,423,684,0.618,0,1,0,423,683,0.619,338,482,0.701,166,434,600,102,39,108,186,239,1184,17.1,0.661,0.618,0.705,0.001,8.1,20.1,14.3,5.8,0.8,2.5,17.2,18.2,117,108,4.8,2.4,7.1,0.143,0,0
"15","Ben McDonald","183","SF",23,"CLE",21,0,266,28,58,0.483,0,1,0,28,57,0.491,5,8,0.625,15,23,38,9,7,1,10,30,61,6.7,0.496,0.483,0.138,0.017,6.2,9.5,7.9,4.4,1.2,0.2,14,11,100,111,0,0.2,0.2,0.033,0,0
"16","Ben Poquette","220","PF",30,"CLE",81,3,1496,166,348,0.477,2,10,0.2,164,338,0.485,72,100,0.72,121,252,373,78,33,32,68,187,406,10.4,0.518,0.48,0.287,0.029,8.9,18.6,13.8,6.8,1,1.2,14.8,12.6,106,108,0.9,1.4,2.3,0.075,0,0
"17","Benoit Benjamin","15","C",21,"LAC",79,37,2088,324,661,0.49,1,3,0.333,323,658,0.491,229,307,0.746,161,439,600,79,64,206,145,286,878,16.1,0.551,0.491,0.464,0.005,8.4,23.6,15.9,5.4,1.4,5.3,15.4,18.1,106,107,1.7,2.3,4,0.093,0,0
"18","Bernard Thompson","268","SG",23,"PHO",61,20,1281,195,399,0.489,0,2,0,195,397,0.491,127,157,0.809,58,83,141,132,51,10,90,151,517,11.8,0.552,0.489,0.393,0.005,5.4,7.2,6.3,14,1.8,0.4,16.1,17.4,107,109,1.2,1,2.1,0.08,0,0
"19","Bill Cartwright","40","C",28,"NYK",2,0,36,3,7,0.429,0,0,NA,3,7,0.429,6,10,0.6,2,8,10,5,1,1,6,6,12,8.9,0.526,0.429,1.429,0,6,26.4,15.7,18.9,1.4,1.7,34.5,20.2,83,101,-0.1,0.1,0,-0.016,0,0
"20","Bill Garnett","89","PF",25,"IND",80,2,1197,112,239,0.469,0,2,0,112,237,0.473,116,162,0.716,106,169,275,95,39,22,91,174,340,10.5,0.548,0.469,0.678,0.008,9.7,15.2,12.5,10.2,1.6,1.1,22.7,13.8,103,106,0.5,1.5,2,0.078,0,0
"21","Bill Hanzlik","108","SF",28,"DEN",79,0,1982,331,741,0.447,8,41,0.195,323,700,0.461,318,405,0.785,88,176,264,316,107,16,165,277,988,15.3,0.537,0.452,0.547,0.055,4.4,9.7,7,20.7,2.4,0.4,15.2,21.1,108,106,2.4,2.3,4.7,0.115,0,0
"22","Bill Laimbeer","156","C",28,"DET",82,82,2891,545,1107,0.492,4,14,0.286,541,1093,0.495,266,319,0.834,305,770,1075,146,59,65,133,291,1360,17.6,0.545,0.494,0.288,0.013,10.9,28.9,19.7,6.6,0.9,1.3,9.6,18.7,115,105,5.4,3.8,9.2,0.153,0,0
"23","Bill Martin","174","SF",23,"IND",66,0,691,143,298,0.48,0,8,0,143,290,0.493,46,54,0.852,42,60,102,52,21,7,58,108,332,11.5,0.516,0.48,0.181,0.027,6.6,9.4,8,11.3,1.4,0.6,15.3,22.6,98,108,0,0.7,0.6,0.045,0,0
