"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","Adrian Dantley","58","SF",26,"UTA",22,22,887,233,402,0.58,0,0,NA,233,402,0.58,210,248,0.847,58,82,140,105,20,0,81,62,676,24.4,0.661,0.58,0.617,0,6.9,9.2,8,18.8,1,0,13.7,26.1,124,109,3.8,0.5,4.3,0.232,0,0
"2","Al Wood","312","SF",24,"SDC",76,47,1822,343,740,0.464,15,50,0.3,328,690,0.475,124,161,0.77,96,140,236,134,55,36,111,188,825,13,0.509,0.474,0.218,0.068,5.6,9.5,7.4,10.1,1.4,1.2,12,19.7,105,111,1.9,0.4,2.3,0.061,0,0
"3","Albert King","151","SF",23,"NJN",79,75,2447,582,1226,0.475,6,23,0.261,576,1203,0.479,176,227,0.775,157,299,456,291,95,41,245,278,1346,15.6,0.508,0.477,0.185,0.019,7.3,13.6,10.5,18.2,1.8,1,15.6,25.2,101,100,1.7,3.9,5.7,0.112,0,0
"4","Alex English","83","SF",29,"DEN",82,82,2988,959,1857,0.516,2,12,0.167,957,1845,0.519,406,490,0.829,263,338,601,397,116,126,263,235,2326,24.1,0.561,0.517,0.264,0.006,8.9,11.5,10.2,19.5,1.7,2.1,11.3,28.9,113,109,8.7,1.6,10.3,0.166,69,720
"5","Allan Bristow","25","SF",31,"DAL",37,0,371,44,99,0.444,6,13,0.462,38,86,0.442,10,14,0.714,24,35,59,70,6,1,31,46,104,10.2,0.494,0.475,0.141,0.131,6.8,10.3,8.6,23.2,0.8,0.1,22.8,14.5,102,112,0.2,0,0.2,0.03,0,0
"6","Allen Leavell","162","PG",25,"HOU",79,76,2602,439,1059,0.415,42,175,0.24,397,884,0.449,247,297,0.832,64,131,195,530,165,14,198,215,1167,15.8,0.49,0.434,0.28,0.165,2.5,5.7,4,30.1,3,0.3,14.3,21.3,103,108,2.3,1.5,3.8,0.071,0,0
"7","Alton Lister","167","PF",24,"MIL",80,37,1885,272,514,0.529,0,0,NA,272,514,0.529,130,242,0.537,168,400,568,111,50,177,186,328,674,13.8,0.543,0.529,0.471,0,10.3,22.3,16.6,8,1.3,5.2,23.1,17.7,95,96,-0.2,3.9,3.8,0.096,1,364
"8","Alvan Adams","2","C",28,"PHO",80,75,2447,477,981,0.486,1,3,0.333,476,978,0.487,180,217,0.829,161,387,548,376,114,74,242,287,1135,16.8,0.527,0.487,0.221,0.003,7.6,16.7,12.4,21.8,2.2,1.7,18.4,22,102,98,2,4.5,6.5,0.128,0,0
"9","Alvin Scott","244","SF",27,"PHO",81,9,1139,124,259,0.479,0,2,0,124,257,0.482,81,110,0.736,60,164,224,97,48,31,64,133,329,11.8,0.535,0.479,0.425,0.008,6.1,15.2,10.9,10.8,2,1.5,17.2,13.3,106,99,0.9,2,2.9,0.121,0,0
"10","Andrew Toney","275","SG",25,"PHI",81,81,2474,626,1250,0.501,22,76,0.289,604,1174,0.514,324,411,0.788,42,183,225,365,80,17,271,255,1598,17.9,0.558,0.51,0.329,0.061,1.9,7.5,4.8,22.5,1.5,0.4,15.9,27.3,108,104,4.6,2.7,7.3,0.141,0,0
