"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.J. Price","357","PG",25,"IND",44,1,568,59,174,0.339,26,88,0.295,33,86,0.384,28,35,0.8,13,48,61,86,20,2,32,30,172,11.5,0.454,0.414,0.201,0.506,2.6,9.4,6,23.9,1.9,0.3,14.5,17.7,100,106,0.2,0.5,0.7,0.063,0,0
"2","Aaron Gray","177","C",27,"TOR",49,40,813,83,161,0.516,0,0,NA,83,161,0.516,25,47,0.532,83,198,281,27,22,17,51,127,191,11.1,0.526,0.516,0.292,0,12.1,28.3,20.3,5.5,1.5,1.7,21.9,13.5,98,100,0.1,1.3,1.4,0.082,0,0
"3","Al Harrington","191","PF",31,"DEN",64,1,1761,345,773,0.446,101,303,0.333,244,470,0.519,119,176,0.676,72,318,390,88,58,12,112,181,910,15.3,0.535,0.512,0.228,0.392,4.9,20.4,12.9,8.2,1.7,0.5,11.6,24.4,103,105,1.6,1.6,3.2,0.088,0,0
"4","Al Horford","216","C",25,"ATL",11,11,348,57,103,0.553,0,1,0,57,102,0.559,22,30,0.733,26,51,77,24,10,14,16,21,136,19,0.585,0.553,0.291,0.01,8.8,17.1,13,11.7,1.5,3.1,12.1,17.9,116,100,0.8,0.6,1.3,0.18,0,0
"5","Al Jefferson","236","C",27,"UTA",61,61,2075,516,1048,0.492,1,4,0.25,515,1044,0.493,137,177,0.774,133,452,585,134,47,101,62,155,1170,22.8,0.52,0.493,0.169,0.004,7.3,25.3,16.2,12.1,1.2,3.9,5.2,25.7,112,103,4.9,2.5,7.5,0.173,0,0
"6","Al-Farouq Aminu","11","SF",21,"NOH",66,21,1477,150,365,0.411,13,47,0.277,137,318,0.431,86,114,0.754,95,213,308,66,59,34,91,136,399,10.6,0.481,0.429,0.312,0.129,7.8,16.9,12.4,7.2,2.2,1.9,18,16.2,93,103,-0.4,1.8,1.4,0.044,0,0
"7","Alan Anderson","14","SF",29,"TOR",17,12,461,55,142,0.387,24,61,0.393,31,81,0.383,29,34,0.853,8,26,34,26,5,3,25,35,163,8.7,0.519,0.472,0.239,0.43,2.1,6.5,4.3,9.5,0.6,0.5,13.7,18.6,99,110,0.1,0.2,0.3,0.032,0,0
"8","Alec Burks","70","SG",20,"UTA",59,0,939,153,357,0.429,15,45,0.333,138,312,0.442,104,143,0.727,57,75,132,55,27,5,51,84,425,14,0.506,0.45,0.401,0.126,6.9,9.3,8.1,9.5,1.5,0.4,10.8,22.5,105,109,1.1,0.4,1.5,0.076,0,0
"9","Alonzo Gee","164","SG",24,"CLE",63,31,1827,227,551,0.412,44,137,0.321,183,414,0.442,167,212,0.788,101,221,322,113,83,17,114,149,665,13.2,0.516,0.452,0.385,0.249,6.1,14.3,10,10.6,2.4,0.7,15,18.7,102,108,1.2,1.2,2.4,0.063,0,0
"10","Amar'e Stoudemire","407","PF",29,"NYK",47,47,1543,316,654,0.483,5,21,0.238,311,633,0.491,186,243,0.765,106,261,367,52,38,45,112,138,823,17.7,0.541,0.487,0.372,0.032,7.9,19.8,13.7,6.3,1.3,2.3,12.8,25.4,104,101,1.8,2.3,4.1,0.128,0,0
"11","Amir Johnson","243","PF",24,"TOR",64,43,1553,196,340,0.576,2,5,0.4,194,335,0.579,58,84,0.69,149,259,408,79,33,69,94,209,452,14.4,0.6,0.579,0.247,0.015,11.4,19.4,15.4,8.7,1.1,3.6,20,14.3,109,102,1.9,2,4,0.122,0,0
"12","Anderson Varejao","435","C",29,"CLE",25,25,785,114,222,0.514,0,4,0,114,218,0.523,43,64,0.672,109,178,287,43,35,17,45,62,271,18.9,0.542,0.514,0.288,0.018,15.2,26.8,20.8,9.7,2.3,1.6,15.2,16.9,110,103,1.2,0.9,2.1,0.131,0,0
"13","Andray Blatche","49","PF",25,"WAS",26,13,626,93,245,0.38,2,7,0.286,91,238,0.382,33,49,0.673,42,108,150,28,20,17,37,54,221,10.6,0.415,0.384,0.2,0.029,7.5,19.6,13.5,7.3,1.7,2.1,12.2,21.7,87,105,-0.8,0.6,-0.1,-0.011,0,0
"14","Andre Emmett","132","SF",29,"NJN",6,0,45,4,7,0.571,0,1,0,4,6,0.667,5,8,0.625,2,4,6,1,2,1,2,2,13,13.3,0.618,0.571,1.143,0.143,5,10.6,7.7,3.6,2.4,1.7,16,12.7,113,109,0.1,0,0.1,0.089,0,0
"15","Andre Iguodala","225","SF",28,"PHI",62,62,2209,287,632,0.454,76,193,0.394,211,439,0.481,121,196,0.617,56,325,381,339,107,30,115,92,771,17.6,0.537,0.514,0.31,0.305,2.8,16.4,9.6,23.7,2.6,1,13.8,17.7,108,98,3.1,4.2,7.3,0.158,0,0
"16","Andre Miller","308","SG",35,"DEN",66,7,1809,242,552,0.438,18,83,0.217,224,469,0.478,137,169,0.811,53,168,221,441,63,9,177,133,639,14.8,0.51,0.455,0.306,0.15,3.5,10.5,7.1,36.5,1.8,0.4,22,19.8,104,108,1.9,1,2.9,0.078,0,0
"17","Andrea Bargnani","30","C",26,"TOR",31,31,1032,209,484,0.432,34,115,0.296,175,369,0.474,151,173,0.873,24,148,172,61,18,15,69,52,603,17.9,0.538,0.467,0.357,0.238,2.8,16.6,9.8,11.6,0.9,1.2,11,28.7,104,106,1.3,0.9,2.2,0.104,0,0
"18","Andres Nocioni","331","SF",32,"PHI",11,1,56,5,20,0.25,1,6,0.167,4,14,0.286,6,11,0.545,1,13,14,1,1,1,5,4,17,1.8,0.342,0.275,0.55,0.3,2,25.9,13.9,2.6,1,1.3,16.8,25,64,98,-0.3,0.1,-0.2,-0.139,0,0
"19","Andrew Bogut","52","C",27,"MIL",12,12,364,61,136,0.449,0,1,0,61,135,0.452,14,23,0.609,22,78,100,31,12,24,24,36,136,14.9,0.465,0.449,0.169,0.007,6.5,24.3,15.1,13.7,1.7,5,14.1,20.6,94,100,-0.1,0.6,0.5,0.062,0,0
"20","Andrew Bynum","75","C",24,"LAL",60,60,2112,444,796,0.558,1,5,0.2,443,791,0.56,234,338,0.692,192,517,709,85,27,116,152,104,1123,22.9,0.594,0.558,0.425,0.006,10.6,26.1,18.7,7.4,0.7,4,13.9,23.8,112,100,4.8,3.3,8,0.183,0,0
"21","Andrew Goudelock","175","SG",23,"LAL",40,0,419,68,174,0.391,28,75,0.373,40,99,0.404,11,12,0.917,5,26,31,20,4,0,21,32,175,8.4,0.488,0.471,0.069,0.431,1.4,6.6,4.1,8,0.5,0,10.5,21.9,95,110,0,0.1,0.1,0.011,0,0
"22","Andris Biedrins","44","C",25,"GSW",47,35,739,39,64,0.609,0,0,NA,39,64,0.609,1,9,0.111,45,131,176,16,23,45,14,125,79,8.8,0.581,0.609,0.141,0,6.9,20,13.5,3,1.6,4.7,17.1,5.1,118,105,0.6,0.7,1.3,0.085,0,0
"23","Antawn Jamison","235","PF",35,"CLE",65,65,2151,421,1044,0.403,91,267,0.341,330,777,0.425,185,271,0.683,123,285,408,131,51,43,90,164,1118,16.1,0.481,0.447,0.26,0.256,6.3,15.7,10.8,11.9,1.2,1.5,7.2,26.2,103,109,2.1,1,3.1,0.07,0,0
"24","Anthony Carter","82","PG",36,"TOR",24,0,209,17,53,0.321,5,17,0.294,12,36,0.333,8,10,0.8,5,28,33,34,8,4,17,20,47,8.7,0.409,0.368,0.189,0.321,2.8,15.5,9.3,25.9,2.1,1.6,22.8,16.8,85,103,-0.3,0.3,0,0.001,0,0
