"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","Aaron McKie","276","SG",32,"PHI",68,3,1118,61,142,0.43,20,62,0.323,41,80,0.513,10,16,0.625,20,152,172,103,48,17,31,116,152,8.4,0.51,0.5,0.113,0.437,2,15.5,8.7,13.4,2.2,1.2,17.2,7.1,107,104,0.5,1.5,2,0.085,0,0
"2","Aaron Williams","450","C",33,"TOT",42,4,315,29,63,0.46,0,0,NA,29,63,0.46,15,17,0.882,17,43,60,8,5,8,17,70,73,5.9,0.518,0.46,0.27,0,6.2,16.3,11.1,4.2,0.8,2,19.4,12.9,95,106,-0.1,0.3,0.3,0.039,0,0
"3","Adonal Foyle","140","C",29,"GSW",78,50,1700,156,311,0.502,0,0,NA,156,311,0.502,40,72,0.556,165,264,429,56,26,159,58,201,352,12.7,0.514,0.502,0.232,0,10.1,17.7,13.7,4.9,0.8,6.7,14.5,10.4,108,104,1.2,2.2,3.4,0.096,0,0
"4","Adrian Griffin","162","SF",30,"CHI",69,1,667,58,161,0.36,2,9,0.222,56,152,0.368,33,44,0.75,52,94,146,53,43,4,30,78,151,10.7,0.419,0.366,0.273,0.056,8.8,15.7,12.2,12.6,3.3,0.4,14.3,14.1,96,97,-0.1,1.4,1.3,0.095,0,0
"5","Al Harrington","172","SF",24,"ATL",66,66,2550,453,986,0.459,16,74,0.216,437,912,0.479,236,351,0.672,145,316,461,208,85,16,204,249,1158,14.4,0.508,0.468,0.356,0.075,6.3,15.2,10.5,14.5,1.8,0.5,15.2,23.6,99,111,0.6,1,1.6,0.03,0,0
"6","Al Jefferson","219","PF",20,"BOS",71,1,1051,195,369,0.528,0,3,0,195,366,0.533,85,135,0.63,119,193,312,24,22,55,66,195,475,16.6,0.554,0.528,0.366,0.008,13.5,21,17.3,3.9,1.1,3.9,13.3,21.2,108,104,1.3,1.4,2.7,0.123,0,0
"7","Alan Henderson","184","PF",32,"DAL",78,10,1203,116,220,0.527,0,2,0,116,218,0.532,41,76,0.539,164,184,348,21,29,37,49,149,273,12.4,0.539,0.527,0.345,0.009,15.6,16.8,16.2,2.6,1.2,2.3,16.2,11.3,114,104,1.5,1.5,3.1,0.122,0,0
"8","Aleksandar Radojevic","346","C",28,"UTA",12,6,128,6,19,0.316,0,0,NA,6,19,0.316,7,10,0.7,9,19,28,6,0,2,15,32,19,-1.5,0.406,0.316,0.526,0,8.5,18.9,13.6,7,0,1.3,39.1,13.8,67,111,-0.4,0.1,-0.3,-0.117,0,0
"9","Alex Garcia","147","SG",24,"NOH",8,3,146,18,52,0.346,5,18,0.278,13,34,0.382,3,4,0.75,7,8,15,18,4,1,8,15,44,8.4,0.409,0.394,0.077,0.346,5.5,6.8,6.1,22.1,1.5,0.6,13,19.7,91,111,-0.1,0.1,-0.1,-0.018,0,0
"10","Allan Houston","191","SG",33,"NYK",20,11,532,85,205,0.415,31,80,0.388,54,125,0.432,36,43,0.837,4,19,23,42,8,2,21,40,237,12.5,0.529,0.49,0.21,0.39,0.9,4.2,2.5,13.4,0.8,0.3,8.6,21,108,114,0.7,0,0.7,0.064,0,0
