"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","Adrian Dantley","60","SF",28,"UTA",55,46,1971,512,964,0.531,0,0,NA,512,964,0.531,438,545,0.804,148,175,323,186,57,8,171,133,1462,21.9,0.607,0.531,0.565,0,8,9,8.5,15.2,1.3,0.2,12.4,27.7,117,107,5.6,2.3,8,0.194,0,0
"2","Al Wood","314","SG",26,"SEA",80,79,2545,515,1061,0.485,7,33,0.212,508,1028,0.494,166,214,0.776,99,180,279,236,84,52,120,187,1203,14.3,0.521,0.489,0.202,0.031,4.5,8.2,6.4,14.7,1.6,1.2,9.4,21,106,110,2.2,2.1,4.2,0.08,0,0
"3","Albert King","148","SF",25,"NJN",42,7,860,226,460,0.491,0,8,0,226,452,0.5,85,104,0.817,70,89,159,58,41,9,65,110,537,17.7,0.531,0.491,0.226,0.017,8.8,12,10.4,10.2,2.3,0.6,11.4,26.8,107,108,1,0.9,1.9,0.106,0,0
"4","Alex English","82","SF",31,"DEN",81,81,2924,939,1812,0.518,1,5,0.2,938,1807,0.519,383,462,0.829,203,255,458,344,101,46,251,259,2262,21.6,0.561,0.518,0.255,0.003,7,9.9,8.3,17.9,1.5,0.9,11.1,29.3,113,111,6.8,2.1,8.9,0.146,73,763
"5","Allen Leavell","157","PG",27,"HOU",42,0,536,88,209,0.421,8,37,0.216,80,172,0.465,44,57,0.772,8,29,37,102,23,4,51,61,228,11.4,0.487,0.44,0.273,0.177,1.7,6,3.9,24.4,2,0.4,17.9,21,100,109,0.1,0.5,0.6,0.051,0,0
"6","Alton Lister","161","C",26,"MIL",81,80,2091,322,598,0.538,0,1,0,322,597,0.539,154,262,0.588,219,428,647,127,49,167,183,287,798,15,0.559,0.538,0.438,0.002,11.7,22.6,17.2,8.1,1.1,4.7,20.4,17.5,103,99,1,4.3,5.3,0.121,0,0
"7","Alvan Adams","2","PF",30,"PHO",82,69,2136,476,915,0.52,0,0,NA,476,915,0.52,250,283,0.883,153,347,500,308,115,48,197,254,1202,19.8,0.578,0.52,0.309,0,8.2,18.1,13.3,21.8,2.5,1.3,15.9,23.6,111,104,3.5,3.3,6.8,0.152,0,0
"8","Alvin Robertson","224","SG",22,"SAS",79,9,1685,299,600,0.498,4,11,0.364,295,589,0.501,124,169,0.734,116,149,265,275,127,24,167,217,726,15.3,0.538,0.502,0.282,0.018,8,9.7,8.9,21.5,3.5,0.8,19.8,20,104,107,1.1,2,3.1,0.087,0,0
"9","Alvin Scott","240","SF",29,"PHO",77,18,1238,111,259,0.429,1,5,0.2,110,254,0.433,53,74,0.716,46,115,161,127,39,25,60,125,276,8,0.473,0.431,0.286,0.019,4.3,10.4,7.4,12.9,1.5,1.1,17.1,11.6,98,108,-0.1,1.2,1.2,0.045,0,0
"10","Andrew Toney","273","SG",27,"PHI",70,65,2237,450,914,0.492,39,105,0.371,411,809,0.508,306,355,0.862,35,142,177,363,65,24,224,211,1245,16.2,0.582,0.514,0.388,0.115,1.8,7.1,4.5,24.3,1.4,0.6,17.3,23.3,112,111,4,1.5,5.5,0.118,1,264
"11","Antoine Carr","36","PF",23,"ATL",62,15,1195,198,375,0.528,2,6,0.333,196,369,0.531,101,128,0.789,79,153,232,80,29,78,108,219,499,13,0.578,0.531,0.341,0.016,7.3,13.8,10.6,9.5,1.2,3.7,20,18.6,104,106,0.6,1.5,2.1,0.084,0,0
"12","Artis Gilmore","93","C",35,"SAS",81,81,2756,532,854,0.623,0,2,0,532,852,0.624,484,646,0.749,231,615,846,131,40,173,241,306,1548,20.3,0.68,0.623,0.756,0.002,9.8,24.5,17.4,6.4,0.7,3.5,17.5,20,121,106,7.1,3.3,10.5,0.183,0,0
"13","Audie Norris","198","C",24,"POR",78,13,1117,133,245,0.543,0,3,0,133,242,0.55,135,203,0.665,90,160,250,47,42,33,100,221,401,10.6,0.6,0.543,0.829,0.012,9.1,16,12.5,5.2,1.7,1.6,23,15.4,105,106,0.6,1.4,1.9,0.083,0,0
"14","Ben Poquette","214","PF",29,"CLE",79,6,1656,210,457,0.46,3,17,0.176,207,440,0.47,109,137,0.796,148,325,473,79,47,58,70,220,532,12.6,0.514,0.463,0.3,0.037,9.7,21.2,15.5,6.4,1.3,1.9,11.9,14.2,109,106,1.4,2.1,3.5,0.102,0,0
"15","Bernard King","149","SF",28,"NYK",55,55,2063,691,1303,0.53,1,10,0.1,690,1293,0.534,426,552,0.772,114,203,317,204,71,15,204,191,1809,25.2,0.585,0.531,0.424,0.008,6.2,11.8,8.9,18.6,1.7,0.4,11.7,35.1,113,111,5.7,1.5,7.1,0.166,0,218
