"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","Adrian Dantley","56","SF",27,"UTA",79,79,2984,802,1438,0.558,1,4,0.25,801,1434,0.559,813,946,0.859,179,269,448,310,61,4,263,201,2418,24.6,0.652,0.558,0.658,0.003,6.7,9,7.9,16.2,0.9,0.1,12.4,28.2,126,112,13,1.6,14.6,0.235,52,652
"2","Al Wood","307","SG",25,"SEA",81,81,2236,467,945,0.494,3,21,0.143,464,924,0.502,223,271,0.823,94,181,275,166,64,32,126,207,1160,14.9,0.545,0.496,0.287,0.022,4.8,9.2,7,11.2,1.4,0.8,10.6,22.1,109,110,2.7,1.7,4.4,0.094,0,0
"3","Albert King","145","SF",24,"NJN",79,53,2103,465,946,0.492,3,22,0.136,462,924,0.5,232,295,0.786,125,263,388,203,91,33,208,258,1165,15.6,0.541,0.493,0.312,0.023,6.7,14.5,10.5,14,2,0.9,16.2,24.3,104,105,1.5,2.8,4.3,0.099,0,0
"4","Alex English","79","SF",30,"DEN",82,77,2870,907,1714,0.529,1,7,0.143,906,1707,0.531,352,427,0.824,216,248,464,406,83,95,222,252,2167,22.2,0.57,0.529,0.249,0.004,7.7,9.3,8.5,20.9,1.3,1.7,10.5,27.9,114,113,7.2,1,8.2,0.136,0,0
"5","Allen Leavell","157","PG",26,"HOU",82,27,2009,349,731,0.477,11,71,0.155,338,660,0.512,238,286,0.832,31,86,117,459,107,12,184,199,947,15.9,0.553,0.485,0.391,0.097,1.7,4.6,3.1,29.7,2.4,0.3,17.7,20.4,110,110,2.8,1.6,4.3,0.104,0,0
"6","Alton Lister","162","PF",25,"MIL",82,72,1955,256,512,0.5,0,0,NA,256,512,0.5,114,182,0.626,156,447,603,110,41,140,153,327,626,12.5,0.529,0.5,0.355,0,9.4,25,17.5,7.7,1,4.2,20.5,16.1,98,99,-0.1,4.1,4,0.098,0,0
"7","Alvan Adams","2","C",29,"PHO",70,13,1452,269,582,0.462,0,4,0,269,578,0.465,132,160,0.825,118,201,319,219,73,31,117,195,670,16.6,0.513,0.462,0.275,0.007,9.5,16.3,12.9,20.3,2.4,1.2,15.2,21.7,107,106,1.5,1.8,3.3,0.109,0,0
"8","Alvin Scott","239","SF",28,"PHO",65,5,735,55,124,0.444,1,2,0.5,54,122,0.443,56,72,0.778,29,71,100,48,19,20,42,85,167,7.6,0.536,0.448,0.581,0.016,4.6,11.4,8,7.6,1.2,1.6,21.2,11,102,109,0.1,0.6,0.8,0.049,0,0
"9","Andrew Toney","267","SG",26,"PHI",78,72,2556,593,1125,0.527,12,38,0.316,581,1087,0.534,390,465,0.839,57,136,193,373,70,23,297,251,1588,17.3,0.597,0.532,0.413,0.034,2.6,5.9,4.3,23.7,1.3,0.5,18.3,26.3,110,109,4.2,2.2,6.4,0.12,0,0
"10","Anthony Roberts","224","SF",28,"DEN",19,0,197,34,91,0.374,0,0,NA,34,91,0.374,13,18,0.722,20,31,51,13,5,1,17,43,81,6.7,0.409,0.374,0.198,0,10.4,17,13.6,8,1.1,0.3,14.7,22.2,86,112,-0.3,0.1,-0.2,-0.058,0,0
