"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.J. Guyton","160","PG",23,"CHI",45,6,607,88,244,0.361,46,123,0.374,42,121,0.347,22,27,0.815,12,32,44,81,10,7,37,23,244,11.8,0.477,0.455,0.111,0.504,2.3,6.3,4.2,23.6,0.9,0.9,12.6,22.2,97,112,0,0,0.1,0.006,0,0
"2","Aaron McKie","265","SG",29,"PHI",48,16,1471,220,490,0.449,51,128,0.398,169,362,0.467,96,122,0.787,26,166,192,179,56,14,93,74,587,15.8,0.54,0.501,0.249,0.261,2,12.7,7.4,21.7,2.1,0.7,14.6,19.8,106,101,1.8,2.1,3.9,0.128,0,0
"3","Aaron Williams","426","PF",30,"NJN",82,13,1546,231,439,0.526,0,2,0,231,437,0.529,130,186,0.699,115,224,339,77,29,76,79,212,592,15.2,0.568,0.526,0.424,0.005,8.3,16.4,12.3,8.1,1,3.5,13.2,17.4,111,100,2.4,2.5,5,0.154,0,0
"4","Adonal Foyle","141","C",26,"GSW",79,36,1485,171,385,0.444,0,0,NA,171,385,0.444,37,93,0.398,150,234,384,41,36,168,76,179,379,12.5,0.445,0.444,0.242,0,10.6,17.3,13.9,4.3,1.2,7.7,15.1,14.2,93,104,-0.4,1.6,1.2,0.039,0,0
"5","Adrian Griffin","157","SG",27,"DAL",58,34,1383,179,359,0.499,16,54,0.296,163,305,0.534,41,49,0.837,68,161,229,106,75,12,42,142,415,14.2,0.545,0.521,0.136,0.15,5.6,12.7,9.2,11.3,2.8,0.6,9.9,13.8,115,106,2.3,1.2,3.5,0.121,0,0
"6","Al Harrington","168","PF",21,"IND",44,1,1313,230,484,0.475,1,3,0.333,229,481,0.476,115,144,0.799,96,180,276,54,41,21,78,166,576,14.3,0.526,0.476,0.298,0.006,8.5,15.1,11.9,7.3,1.6,1.1,12.5,21.6,103,104,1.2,1.4,2.6,0.094,0,0
"7","Alan Henderson","177","PF",29,"ATL",26,1,422,59,116,0.509,1,1,1,58,115,0.504,24,45,0.533,31,66,97,11,11,15,21,40,143,13.4,0.527,0.513,0.388,0.009,8.4,17.9,13.1,4.4,1.4,2.6,13.4,16.8,102,105,0.3,0.4,0.7,0.074,0,0
"8","Allan Houston","184","SG",30,"NYK",77,77,2914,568,1301,0.437,136,346,0.393,432,955,0.452,295,339,0.87,37,215,252,190,54,10,170,182,1567,15.2,0.54,0.489,0.261,0.266,1.5,8.6,5,12.6,1,0.3,10.5,25.9,104,110,3.6,1.1,4.7,0.077,0,0
"9","Allen Iverson","191","SG",26,"PHI",60,59,2622,665,1669,0.398,78,268,0.291,587,1401,0.419,475,585,0.812,44,225,269,331,168,13,237,102,1883,21.9,0.489,0.422,0.351,0.161,1.9,9.6,5.8,27.6,3.5,0.4,11,37.8,101,100,2.6,4.3,6.9,0.126,57,954
"10","Alonzo Mourning","283","C",31,"MIA",75,74,2455,447,866,0.516,1,3,0.333,446,863,0.517,283,431,0.657,182,450,632,87,27,186,182,258,1178,18.9,0.558,0.517,0.498,0.003,8.7,21.3,15,6.8,0.6,5.8,14.7,24.1,104,97,2.6,4.8,7.4,0.145,0,0
"11","Alton Ford","133","PF",20,"PHO",53,0,452,61,118,0.517,0,0,NA,61,118,0.517,42,57,0.737,32,75,107,7,6,7,32,99,164,10,0.573,0.517,0.483,0,7.9,19,13.4,2.4,0.7,1.1,18.3,17.3,103,105,0.3,0.5,0.8,0.083,0,0
"12","Alvin Jones","210","PF",23,"PHI",23,2,126,8,20,0.4,0,0,NA,8,20,0.4,10,20,0.5,13,23,36,3,3,9,11,35,26,6.2,0.451,0.4,1,0,11.8,20.5,16.2,3.7,1.3,5.4,27.6,14.5,82,96,-0.2,0.3,0.1,0.034,0,0
"13","Alvin Williams","427","PG",27,"TOR",82,82,2927,403,971,0.415,62,193,0.321,341,778,0.438,103,140,0.736,58,223,281,468,135,26,150,191,971,13.8,0.47,0.447,0.144,0.199,2.2,9,5.5,26.6,2.5,0.7,12.7,18.4,102,104,2.2,3.1,5.2,0.086,0,0
"14","Amal McCaskill","258","C",28,"SAS",27,0,153,20,49,0.408,0,0,NA,20,49,0.408,12,26,0.462,16,20,36,4,6,10,14,23,52,10.2,0.43,0.408,0.531,0,12.4,14.5,13.5,4.3,2.1,4.6,18.8,22.6,84,97,-0.3,0.3,0,0.01,0,0
"15","Andre Miller","270","PG",25,"CLE",81,81,3023,474,1045,0.454,22,87,0.253,452,958,0.472,365,447,0.817,108,271,379,882,126,34,245,228,1335,21.8,0.538,0.464,0.428,0.083,4.2,10.4,7.4,49.8,2.2,0.8,16.5,22.6,115,109,8.7,1.5,10.3,0.163,0,0
"16","Andrei Kirilenko","219","SF",20,"UTA",82,40,2151,285,633,0.45,25,100,0.25,260,533,0.488,285,371,0.768,149,253,402,94,116,159,108,156,880,18.8,0.553,0.47,0.586,0.158,8.3,14.2,11.2,7.4,2.9,5.9,11.9,19,113,100,4,3.3,7.3,0.164,0,0
"17","Andrew DeClercq","109","C",28,"ORL",61,14,633,67,149,0.45,0,0,NA,67,149,0.45,28,50,0.56,74,89,163,22,23,24,34,130,162,10.1,0.474,0.45,0.336,0,13,15.8,14.4,5.2,1.9,2.7,16.6,14.5,100,103,0.2,0.8,1,0.073,0,0
