"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.J. Price","335","PG",23,"IND",56,2,865,145,354,0.41,60,174,0.345,85,180,0.472,60,75,0.8,12,76,88,106,35,3,59,53,410,14,0.53,0.494,0.212,0.492,1.5,9.7,5.6,20.5,2,0.2,13.2,22.7,102,108,0.4,0.8,1.2,0.065,0,0
"2","Aaron Brooks","62","PG",25,"HOU",82,82,2919,575,1331,0.432,209,525,0.398,366,806,0.454,245,298,0.822,54,161,215,434,69,14,232,199,1604,16,0.549,0.511,0.224,0.394,2,6.6,4.2,25.6,1.2,0.3,13.7,25.7,108,112,3.9,1.6,5.5,0.091,0,0
"3","Aaron Gray","166","C",25,"TOT",32,0,311,42,82,0.512,0,0,NA,42,82,0.512,20,28,0.714,45,61,106,22,9,11,18,54,104,16.6,0.551,0.512,0.341,0,16.7,23.1,19.8,10.6,1.5,2.7,16,16.4,115,106,0.5,0.4,0.9,0.142,0,0
"4","Acie Law","253","PG",25,"TOT",26,1,234,35,75,0.467,5,16,0.313,30,59,0.508,38,49,0.776,3,14,17,26,11,1,17,16,113,16,0.585,0.5,0.653,0.213,1.4,6.6,4.1,17.5,2.3,0.4,15,21.7,111,109,0.3,0.2,0.6,0.115,0,0
"5","Adam Morrison","297","SF",25,"LAL",31,0,241,32,85,0.376,5,21,0.238,27,64,0.422,5,8,0.625,10,22,32,18,3,2,10,17,74,7.4,0.418,0.406,0.094,0.247,4.7,10.1,7.4,11.3,0.6,0.6,10.2,18.3,92,108,-0.2,0.2,0,0.009,0,0
"6","Al Harrington","178","PF",29,"NYK",72,15,2195,448,1030,0.435,140,409,0.342,308,621,0.496,240,317,0.757,88,317,405,110,62,26,132,209,1276,16.8,0.546,0.503,0.308,0.397,4.5,16.7,10.5,8.6,1.4,0.9,10.1,26.8,106,111,2.2,1.3,3.5,0.077,0,0
"7","Al Horford","199","C",23,"ATL",81,81,2845,467,847,0.551,1,1,1,466,846,0.551,213,270,0.789,236,563,799,189,59,91,122,225,1148,19.4,0.594,0.552,0.319,0.001,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,121,105,6.9,3.9,10.9,0.183,0,0
"8","Al Jefferson","227","C",25,"MIN",76,76,2463,560,1125,0.498,0,4,0,560,1121,0.5,181,266,0.68,180,523,703,137,63,98,136,205,1301,19,0.524,0.498,0.236,0.004,8,24.2,16,10,1.3,3,9.9,24.3,106,108,2.3,2.3,4.6,0.09,0,0
"9","Al Thornton","392","SF",26,"TOT",75,46,2079,320,676,0.473,11,31,0.355,309,645,0.479,153,211,0.725,116,178,294,90,45,35,102,206,804,11.8,0.523,0.482,0.312,0.046,6.4,10,8.2,7.1,1.1,1.3,11.7,19,104,112,1.2,1,2.2,0.05,0,0
"10","Alando Tucker","396","SF",25,"TOT",15,0,96,17,39,0.436,1,7,0.143,16,32,0.5,16,21,0.762,6,4,10,4,0,0,5,6,51,13.4,0.529,0.449,0.538,0.179,7.4,4.6,5.9,6.4,0,0,9.4,24.4,109,118,0.1,0,0.1,0.061,0,0
