"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.C. Green","154","PF",36,"LAL",82,82,1929,173,387,0.447,1,4,0.25,172,383,0.449,66,95,0.695,160,326,486,80,53,18,53,127,413,11.2,0.482,0.448,0.245,0.01,9,17.9,13.5,5.9,1.4,0.7,11,11,108,99,1.7,3.3,5,0.124,0,0
"2","A.J. Bramlett","47","C",23,"CLE",8,0,61,4,21,0.19,0,0,NA,4,21,0.19,0,0,NA,12,10,22,0,1,0,3,13,8,-0.4,0.19,0.19,0,0,21.7,18.5,20.1,0,0.8,0,12.5,17.1,64,106,-0.2,0.1,-0.2,-0.129,0,0
"3","Aaron McKie","264","SG",27,"PHI",82,14,1952,244,593,0.411,44,121,0.364,200,472,0.424,121,146,0.829,47,199,246,240,108,18,113,194,653,13.2,0.497,0.449,0.246,0.204,2.6,11.4,7,19.5,2.9,0.7,14.7,17.3,102,100,1.3,3,4.3,0.105,0,0
"4","Aaron Williams","422","PF",28,"WAS",81,0,1545,235,450,0.522,0,3,0,235,447,0.526,146,201,0.726,159,250,409,58,41,92,80,234,616,17.7,0.572,0.522,0.447,0.007,11.7,18.9,15.2,6.2,1.4,4.3,12.9,17.8,114,104,3.2,1.6,4.8,0.15,0,0
"5","Adam Keefe","210","C",29,"UTA",62,3,604,53,130,0.408,0,1,0,53,129,0.411,29,36,0.806,45,91,136,34,17,13,46,90,135,7.6,0.463,0.408,0.277,0.008,9.3,18,13.7,8.5,1.5,1.7,24,14.7,89,102,-0.4,0.8,0.4,0.03,0,0
"6","Adonal Foyle","136","C",24,"GSW",76,59,1654,193,380,0.508,0,0,NA,193,380,0.508,34,90,0.378,174,250,424,42,26,136,71,218,420,12.3,0.5,0.508,0.237,0,10.4,16.9,13.5,4,0.8,5.8,14.5,12.5,101,107,0.7,1.2,1.9,0.055,0,0
"7","Adrian Griffin","155","SG",25,"BOS",72,47,1927,175,413,0.424,16,57,0.281,159,356,0.447,119,158,0.753,128,244,372,177,116,15,93,222,485,12.6,0.503,0.443,0.383,0.138,7.2,15.2,11,13.4,3.1,0.6,16.2,13,107,104,1.8,2.1,3.9,0.098,0,0
"8","Al Harrington","165","PF",19,"IND",50,0,854,121,264,0.458,8,34,0.235,113,230,0.491,78,111,0.703,47,112,159,38,25,9,65,130,328,10.8,0.524,0.473,0.42,0.129,6.4,14.2,10.4,7.1,1.5,0.7,17.2,20.1,97,104,0.1,0.9,1,0.057,0,0
"9","Alan Henderson","171","PF",27,"ATL",82,82,2775,429,930,0.461,1,10,0.1,428,920,0.465,224,334,0.671,265,306,571,77,81,54,139,233,1083,14.7,0.503,0.462,0.359,0.011,10.5,12.1,11.3,4.6,1.5,1.3,11.4,19.4,105,108,2.9,1.4,4.3,0.074,0,0
"10","Aleksandar Radojevic","329","C",23,"TOR",3,0,24,2,7,0.286,0,0,NA,2,7,0.286,3,6,0.5,2,6,8,1,2,1,5,5,7,2.4,0.363,0.286,0.857,0,9,29,18.7,6.2,4.3,2.9,34.2,27,59,94,-0.2,0.1,-0.1,-0.202,0,0
