"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","A.C. Green","119","PF",25,"LAL",82,82,2510,401,758,0.529,4,17,0.235,397,741,0.536,282,359,0.786,258,481,739,103,94,55,119,172,1088,17.8,0.594,0.532,0.474,0.022,12.3,20,16.4,5.5,1.8,1.2,11.5,17,122,105,5.8,3.5,9.4,0.179,0,0
"2","Adrian Branch","32","SF",25,"POR",67,4,811,202,436,0.463,7,31,0.226,195,405,0.481,87,120,0.725,63,69,132,60,45,3,64,99,498,15.7,0.509,0.471,0.275,0.071,8.2,9.6,8.8,10.8,2.6,0.2,11.6,26.3,105,109,0.7,0.8,1.5,0.087,0,0
"3","Adrian Dantley","67","SF",32,"TOT",73,67,2422,470,954,0.493,0,1,0,470,953,0.493,460,568,0.81,117,200,317,171,43,13,163,186,1400,17.4,0.581,0.493,0.595,0.001,5.5,9,7.3,10.9,0.9,0.3,11.9,24.3,115,110,5.5,1.9,7.4,0.147,0,0
"4","Albert King","168","SF",29,"SAS",46,11,791,141,327,0.431,8,32,0.25,133,295,0.451,37,48,0.771,33,107,140,79,27,7,74,97,327,9.4,0.47,0.443,0.147,0.098,4.4,15.6,9.7,14.3,1.6,0.5,17.5,20.7,91,109,-0.7,0.7,0,-0.003,0,0
"5","Alex English","92","SF",35,"DEN",82,82,2990,924,1881,0.491,2,8,0.25,922,1873,0.492,325,379,0.858,148,178,326,383,66,12,198,174,2175,19,0.531,0.492,0.201,0.004,4.8,6.5,5.6,19.7,1,0.2,8.8,28.8,109,112,5.1,1.7,6.8,0.11,0,0
"6","Allen Leavell","179","SG",31,"HOU",55,3,627,65,188,0.346,5,41,0.122,60,147,0.408,44,60,0.733,13,40,53,127,25,5,62,61,179,7.7,0.417,0.359,0.319,0.218,2.3,6.8,4.6,26.8,1.9,0.5,22.4,17.7,88,108,-0.8,0.7,-0.1,-0.009,0,0
"7","Alton Lister","187","C",30,"SEA",82,82,1806,271,543,0.499,0,0,NA,271,543,0.499,115,178,0.646,207,338,545,54,28,180,117,310,657,13.7,0.529,0.499,0.328,0,12.4,21.6,16.9,4,0.7,6,15.8,16.3,107,106,1.3,2.3,3.7,0.097,0,0
"8","Alvin Robertson","257","SG",26,"SAS",65,65,2287,465,962,0.483,9,45,0.2,456,917,0.497,183,253,0.723,157,227,384,393,197,36,231,259,1122,17.2,0.523,0.488,0.263,0.047,7.2,11.4,9.2,25.5,4,0.9,17.7,22.2,103,105,1.3,3.1,4.4,0.093,0,0
"9","Andre Turner","316","PG",24,"MIL",4,0,13,3,6,0.5,0,0,NA,3,6,0.5,0,0,NA,0,3,3,0,2,0,4,2,6,3.6,0.5,0.5,0,0,0,27.1,13.3,0,7.5,0,40,31.9,54,92,-0.1,0,-0.1,-0.257,0,0
"10","Andrew Lang","178","C",22,"PHO",62,25,526,60,117,0.513,0,0,NA,60,117,0.513,39,60,0.65,54,93,147,9,17,48,28,112,159,11.6,0.554,0.513,0.513,0,11.4,18,14.9,2,1.5,5,16.3,12.9,109,102,0.4,0.9,1.4,0.124,0,0
"11","Anthony Bowie","29","SG",25,"SAS",18,5,438,72,144,0.5,1,5,0.2,71,139,0.511,10,15,0.667,25,31,56,29,18,4,22,43,155,10.6,0.515,0.503,0.104,0.035,6,8.1,7,9.3,1.9,0.5,12.7,15.3,104,111,0.2,0.3,0.5,0.054,0,0
"12","Anthony Frederick","101","SF",24,"IND",46,0,313,63,125,0.504,2,5,0.4,61,120,0.508,24,34,0.706,26,26,52,20,14,6,34,59,152,11.9,0.543,0.512,0.272,0.04,9.8,8.7,9.2,9.8,2.2,1.1,19.5,23.2,98,111,0,0.2,0.2,0.025,0,0
"13","Anthony Jones","157","SG",26,"TOT",33,0,196,29,79,0.367,4,16,0.25,25,63,0.397,14,16,0.875,14,14,28,17,11,3,5,20,76,13.4,0.442,0.392,0.203,0.203,8.1,7.8,8,13,2.8,0.9,5.5,20.1,104,108,0.1,0.2,0.3,0.078,0,0
"14","Anthony Taylor","299","PG",23,"MIA",21,7,368,60,151,0.397,0,2,0,60,149,0.403,24,32,0.75,11,23,34,43,22,5,20,37,144,11.1,0.436,0.397,0.212,0.013,3.2,7.3,5.2,18,2.9,0.8,10.8,20.4,97,109,-0.1,0.3,0.2,0.029,0,0
"15","Antoine Carr","42","PF",27,"ATL",78,12,1488,226,471,0.48,0,1,0,226,470,0.481,130,152,0.855,106,168,274,91,31,62,82,221,582,12.7,0.541,0.48,0.323,0.002,7.6,12.5,10,8.6,1,2.5,13.2,17,112,109,1.9,1.4,3.3,0.106,0,0
"16","Armen Gilliam","108","PF",24,"PHO",74,60,2120,468,930,0.503,0,0,NA,468,930,0.503,240,323,0.743,165,376,541,52,54,27,140,176,1176,15.7,0.548,0.503,0.347,0,8.7,18.1,13.6,3.4,1.2,0.7,11.6,22.7,108,106,2.3,2.7,5.1,0.115,0,0
