"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","Aaron Brooks","60","PG",23,"HOU",51,0,608,93,225,0.413,36,109,0.33,57,116,0.491,42,49,0.857,13,43,56,87,13,5,44,69,264,13.1,0.535,0.493,0.218,0.484,2.5,7.9,5.2,23.5,1.1,0.6,15.1,21.8,107,106,0.6,0.8,1.4,0.112,0,0
"2","Aaron Gray","161","C",23,"CHI",61,1,613,103,204,0.505,0,1,0,103,203,0.507,56,99,0.566,70,98,168,41,21,16,57,117,262,13.9,0.529,0.505,0.485,0.005,12.5,18.7,15.5,11.4,1.8,2,18.7,22,100,105,0.1,0.8,0.8,0.066,0,0
"3","Aaron Williams","431","C",36,"LAC",30,5,297,27,55,0.491,0,0,NA,27,55,0.491,14,18,0.778,15,46,61,9,12,15,13,44,68,10.3,0.54,0.491,0.327,0,5.8,18,11.9,4.9,2.1,3.8,17.1,11.8,101,105,0,0.4,0.4,0.072,0,0
"4","Acie Law","248","PG",23,"ATL",56,6,865,95,237,0.401,7,34,0.206,88,203,0.433,38,48,0.792,12,45,57,113,29,0,56,73,235,7.7,0.455,0.416,0.203,0.143,1.6,6,3.8,20.4,1.8,0,17.8,16.5,93,112,-0.5,0.4,-0.1,-0.007,0,0
"5","Adonal Foyle","136","C",32,"ORL",82,0,774,70,153,0.458,0,0,NA,70,153,0.458,16,34,0.471,71,137,208,18,16,45,32,94,156,9.9,0.464,0.458,0.222,0,11,19.6,15.5,3.4,1.1,4.2,16,11.8,99,102,0,1.3,1.3,0.08,0,0
"6","Adrian Griffin","167","SG-SF",33,"TOT",35,2,307,30,76,0.395,0,0,NA,30,76,0.395,5,9,0.556,28,31,59,27,17,2,21,27,65,8.7,0.406,0.395,0.118,0,10,11.4,10.7,13.4,2.8,0.5,20.8,14.5,88,107,-0.3,0.3,0,0.001,0,0
"7","Al Harrington","171","C",27,"GSW",81,59,2190,401,923,0.434,153,408,0.375,248,515,0.482,147,190,0.774,107,332,439,132,74,16,90,266,1102,15.6,0.547,0.517,0.206,0.442,5,16.9,10.7,8.9,1.6,0.5,8.2,21.1,113,110,3.7,1.7,5.4,0.118,0,0
"8","Al Horford","189","C",21,"ATL",81,77,2540,333,668,0.499,0,5,0,333,663,0.502,155,212,0.731,248,537,785,124,60,76,137,267,821,14.7,0.539,0.499,0.317,0.007,11.4,24.5,18,7.9,1.2,2.2,15.3,16,108,106,2.4,3,5.5,0.103,0,0
"9","Al Jefferson","215","C",23,"MIN",82,82,2919,721,1441,0.5,0,5,0,721,1436,0.502,284,394,0.721,308,603,911,117,74,119,167,222,1726,22.7,0.535,0.5,0.273,0.003,11.9,24.7,18.1,7.5,1.3,3.2,9.4,27.5,109,108,4.8,2.9,7.7,0.127,0,0
"10","Al Thornton","397","PF",24,"LAC",79,31,2158,374,871,0.429,43,130,0.331,331,741,0.447,214,288,0.743,98,260,358,98,46,43,128,195,1005,12.7,0.504,0.454,0.331,0.149,5.2,14,9.6,8.4,1.1,1.5,11.4,24.1,97,110,-0.5,1.6,1.1,0.025,0,0
