"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","Aaron McKie","269","PG",33,"LAL",14,0,121,3,12,0.25,0,2,0,3,10,0.3,1,2,0.5,3,17,20,11,5,0,2,7,7,6.1,0.272,0.25,0.167,0.167,2.9,16.5,9.7,12.5,2.2,0,13.4,5.6,90,105,0,0.1,0.1,0.041,0,0
"2","Aaron Miles","273","PG",22,"GSW",19,0,118,6,18,0.333,0,0,NA,6,18,0.333,4,4,1,0,14,14,24,4,1,11,13,16,6,0.405,0.333,0.222,0,0,13.6,6.6,29.5,1.7,0.6,35.8,11.6,82,107,-0.2,0.1,0,-0.015,0,0
"3","Aaron Williams","442","C",34,"TOT",48,5,791,91,176,0.517,0,0,NA,91,176,0.517,40,58,0.69,64,117,181,17,17,21,30,138,222,11.6,0.551,0.517,0.33,0,9.4,18.2,13.6,3.6,1.2,2.2,13,13.7,110,107,0.8,0.8,1.6,0.096,0,0
"4","Adonal Foyle","133","C",30,"GSW",77,72,1824,152,300,0.507,0,0,NA,152,300,0.507,41,67,0.612,143,281,424,33,44,125,80,215,345,10.3,0.524,0.507,0.223,0,8.5,17.6,13,2.8,1.2,5.1,19.5,10,100,103,0.3,2.5,2.8,0.075,0,0
"5","Adrian Griffin","160","SG",31,"DAL",52,45,1245,98,204,0.48,0,2,0,98,202,0.485,41,53,0.774,75,152,227,89,51,9,39,113,237,11.6,0.521,0.48,0.26,0.01,7.4,14.4,11,10.8,2.2,0.6,14.6,10,115,105,1.4,1.5,2.9,0.113,0,0
"6","Al Harrington","167","PF",25,"ATL",76,76,2782,551,1220,0.452,66,191,0.346,485,1029,0.471,243,350,0.694,132,391,523,238,85,14,195,301,1411,16,0.513,0.479,0.287,0.157,5.5,17.4,11.3,15.8,1.6,0.4,12.4,25.6,104,111,2.6,1.2,3.8,0.065,0,0
"7","Al Jefferson","212","PF",21,"BOS",59,7,1062,189,379,0.499,0,4,0,189,375,0.504,86,134,0.642,97,202,299,30,30,46,62,166,464,16.2,0.53,0.499,0.354,0.011,11.4,22.6,17.2,5,1.5,3.3,12.4,21.6,104,103,0.9,1.5,2.3,0.105,0,0
"8","Alan Anderson","8","SF",23,"CHA",36,7,564,75,181,0.414,24,58,0.414,51,123,0.415,33,41,0.805,23,47,70,32,11,4,32,48,207,10.4,0.52,0.481,0.227,0.32,4.4,10.3,7.2,9.3,1,0.6,13.9,18.2,101,111,0.2,0.3,0.4,0.037,0,0
"9","Alan Henderson","178","C",33,"CLE",51,3,531,47,91,0.516,0,0,NA,47,91,0.516,33,49,0.673,60,77,137,10,9,12,22,58,127,12.2,0.564,0.516,0.538,0,13.3,17.3,15.3,2.9,0.9,1.7,16.3,11.7,115,106,0.7,0.6,1.3,0.116,0,0
"10","Alex Acker","2","SG",23,"DET",5,0,35,4,16,0.25,1,5,0.2,3,11,0.273,0,0,NA,1,4,5,4,1,0,4,4,9,-2.4,0.281,0.281,0,0.313,3.4,13.7,8.5,17.9,1.6,0,20,27.2,61,105,-0.2,0,-0.2,-0.23,0,0
