"","Player","totals.Rk","totals.Pos","totals.Age","totals.Tm","totals.G","totals.GS","totals.MP","totals.FG","totals.FGA","totals.FG.","totals.3P","totals.3PA","totals.3P.","totals.2P","totals.2PA","totals.2P.","totals.FT","totals.FTA","totals.FT.","totals.ORB","totals.DRB","totals.TRB","totals.AST","totals.STL","totals.BLK","totals.TOV","totals.PF","totals.PTS","advanced.PER","advanced.TS.","advanced.eFG.","advanced.FTr","advanced.3PAr","advanced.ORB.","advanced.DRB.","advanced.TRB.","advanced.AST.","advanced.STL.","advanced.BLK.","advanced.TOV.","advanced.USG.","advanced.ORtg","advanced.DRtg","advanced.OWS","advanced.DWS","advanced.WS","advanced.WS.48","First","Pts.Won"
"1","Aaron McKie","264","SF",31,"PHI",75,41,2112,265,577,0.459,75,172,0.436,190,405,0.469,84,111,0.757,45,208,253,195,85,23,103,142,689,13.9,0.55,0.524,0.192,0.298,2.5,11.5,7.1,16.8,2.2,0.9,14.1,16.2,106,103,2.5,2.3,4.8,0.108,0,0
"2","Aaron Williams","427","C",32,"NJN",72,7,1337,172,342,0.503,1,3,0.333,171,339,0.504,105,155,0.677,101,193,294,81,34,46,89,187,450,13.2,0.549,0.504,0.453,0.009,8.9,17,13,10.4,1.4,2.7,17.8,17.5,102,98,1.1,2.3,3.4,0.122,0,0
"3","Adonal Foyle","136","C",28,"GSW",44,8,572,59,130,0.454,0,0,NA,59,130,0.454,19,35,0.543,54,113,167,17,6,46,21,68,137,13,0.471,0.454,0.269,0,10.6,22.3,16.4,4.8,0.6,5.8,12.6,13.4,101,100,0.3,0.8,1.1,0.093,0,0
"4","Adrian Griffin","158","SG",29,"HOU",19,1,133,5,18,0.278,1,2,0.5,4,16,0.25,0,4,0,1,18,19,10,7,2,3,17,11,4.5,0.278,0.306,0.222,0.111,0.9,15.2,8.4,11.6,2.9,1.2,13.2,8.2,72,96,-0.2,0.2,0.1,0.031,0,0
"5","Al Harrington","168","PF",23,"IND",79,15,2441,421,909,0.463,21,77,0.273,400,832,0.481,185,252,0.734,163,345,508,131,80,22,163,250,1048,14.9,0.514,0.475,0.277,0.085,7.8,16.9,12.3,10.3,1.8,0.7,13.8,22.9,100,98,1.8,4.1,5.9,0.116,0,0
"6","Alan Henderson","178","PF",31,"ATL",6,0,68,10,21,0.476,0,0,NA,10,21,0.476,4,6,0.667,11,10,21,2,1,2,3,1,24,18.2,0.508,0.476,0.286,0,18.5,16.5,17.5,5.2,0.8,2.2,11.3,17.8,110,107,0.1,0,0.2,0.109,0,0
"7","Alex Garcia","142","SG",23,"SAS",2,0,13,1,7,0.143,0,0,NA,1,7,0.143,1,2,0.5,0,0,0,0,2,0,1,0,3,-4.7,0.19,0.143,0.286,0,0,0,0,0,8.3,0,11.3,31.6,40,87,-0.1,0,-0.1,-0.319,0,0
"8","Allan Houston","185","SG",32,"NYK",50,50,1799,340,781,0.435,87,202,0.431,253,579,0.437,157,172,0.913,20,101,121,99,38,2,102,105,924,14.8,0.539,0.491,0.22,0.259,1.3,6.4,3.9,10.3,1.1,0.1,10.6,24.7,104,108,2.5,0.6,3.1,0.083,0,0
"9","Allen Iverson","195","SG",28,"PHI",48,47,2040,435,1125,0.387,57,199,0.286,378,926,0.408,339,455,0.745,34,144,178,324,115,5,209,87,1266,19.3,0.478,0.412,0.404,0.177,2,8.2,5.1,34.4,3.1,0.2,13.6,35.3,96,102,0.5,2.3,2.8,0.066,0,0
"10","Alonzo Mourning","281","C",33,"NJN",12,0,215,33,71,0.465,0,0,NA,33,71,0.465,30,34,0.882,8,19,27,8,2,6,10,32,96,13.3,0.558,0.465,0.479,0,4.4,10.4,7.4,6.6,0.5,2.2,10.4,20.9,109,102,0.4,0.3,0.6,0.14,0,0
